nn_serotype,auc,threshold,sensitivity,specificity,k
6C,0.5807080144607717,0.6003674692397807,0.7627118644067796,0.5313019390581717,1000
14,0.937655304034653,0.3168070752032348,0.9027962716378163,0.9027043017040334,1000
23F,0.7814160169127925,0.2312053839142007,0.8365817091454273,0.7537684457589622,1000
12F,0.9613960800311788,0.2276138184907645,0.9557046979865772,0.9091566460838479,1000
9V,0.6528828706635583,0.6069111957908658,0.5257731958762887,0.8088159121516627,1000
3,0.9961616578874583,0.3541737079078861,0.9690721649484536,0.9853651598084511,1000
6A,0.8314577135011414,0.3430876353050215,0.7142857142857143,0.8351709479766867,1000
19A,0.9531526771314832,0.2648364358967162,0.9484425349087003,0.8415913146264521,1000
6B,0.8616409299340926,0.35819849378403135,0.6594059405940594,0.9297276762787818,1000
35B,0.5454557417842258,0.5610895799479314,0.8727272727272727,0.3255691538360311,1000
19F,0.875537471195161,0.3453231417563712,0.869639210347175,0.8104769920160134,1000
18C,0.6147575250836106,0.6589771226754557,0.8076923076923077,0.6168478260869565,1000
5,0.9104113375522156,0.49381628769845737,0.7038461538461539,0.9626730652011959,1000
22F,0.9627292076554136,0.31806914272741565,0.8596491228070176,0.94836759844291,1000
10A,0.9495118837578149,0.48685979865355594,0.9320531757754801,0.9492563507911067,1000
15B/C,0.8883860783282128,0.28467246897357945,0.9622641509433962,0.7042231075697211,1000
4,0.7547907697590024,0.5009364080202128,0.7096774193548387,0.7094909224088317,1000
23A,0.5252064172913905,0.5819858371638462,0.9298245614035088,0.41740088105726875,1000
17F,0.547252252252253,0.6390386204426506,0.78,0.5630630630630631,1000
15A,0.9105221114116846,0.4047514539608735,0.8838174273858921,0.8314950059607891,1000
16F,0.8945492416159722,0.47896686042597925,0.9166666666666666,0.7591780299418327,1000
23B,0.3712652512249005,0.6802494100880374,0.02197802197802198,0.9954606590450572,1000
34,0.7303316675507396,0.6782262230327354,0.7790697674418605,0.7250900360144058,1000
20A,0.38135593220338987,0.7141778197599338,0.5,0.711864406779661,1000
33B,0.42857142857142855,0.6312774640135338,1,0.42857142857142855,1000
7F,0.6052039914108874,0.6060451044775794,0.6666666666666666,0.5724137931034483,1000
33F,0.8792307636156366,0.6121884887007834,0.8104575163398693,0.9709818255660473,1000
9N,0.8614857010399883,0.2649151406081633,0.7851239669421488,0.9150522399933326,1000
11,1,0.6282148341933562,1,1,1000
11A,0.6668487878465191,0.598557412021068,0.9430379746835443,0.6075036075036075,1000
8,0.9920926682084658,0.21414025574159917,1,0.9698344669811421,1000
21,0.5858867223769744,0.6236536611256323,0.7804878048780488,0.5376044568245125,1000
31,0.334682860998651,0.6020438784158119,1,0.22807017543859648,1000
1,0.8531327458615855,0.2138553521725709,0.9812734082397003,0.644887765631309,1000
15B,0.9054626977207579,0.2734910466693419,1,0.7236268526591108,1000
13,0.33721252424494363,0.5940560478155695,0.9583333333333334,0.24106400665004157,1000
7C,0.8151345697389001,0.7630122545306546,0.6268656716417911,0.9919137466307277,1000
24F,0.7545252225519266,0.5675206371070165,0.9,0.5534124629080118,1000
35F,0.5069182389937108,0.6860302843507289,0.4,0.7861635220125787,1000
15C,0.8821393523061829,0.36381761635981236,1,0.831207065750736,1000
35C,1,0.6448997709951219,1,1,1000
18A,0.6595744680851063,0.6568407417656729,1,0.6595744680851063,1000
28F,0.4375,0.5357149104575414,1,0.25,1000
28F,0.4375,0.6794362469504072,0.75,0.5,1000
28A,0.7631578947368421,0.6457799589022063,1,0.7631578947368421,1000
24,0.18805627332759112,0.5765793408228032,0.9629629629629629,0.1925064599483204,1000
20B,0.46178861788617914,0.5815678137646001,0.8,0.4715447154471545,1000
2,1,0.6585402073669075,1,1,1000
19B,0.55,0.667652842509759,1,0.55,1000
10F,0.49579831932773105,0.6441977439827309,1,0.42857142857142855,1000
33D,0.8461538461538461,0.6212147158765888,1,0.8461538461538461,1000
38,0.5217391304347826,0.6192843913999995,1,0.5217391304347826,1000
