nn_serotype,auc,threshold,sensitivity,specificity
6C,0.9269611680111332,0.014819770999999999,0.9375,0.8673317766928466
12B,0.8226447924434516,6.246268750000001e-4,0.8888888888888888,0.8791946308724832
45,0.9618340842830652,0.12106532,1,0.8664192949907236
14,0.8754026993912116,0.0095679165,0.8260869565217391,0.9299059714250825
23F,0.8831408119821145,0.00163799525,0.8765432098765432,0.8689031371651019
12F,0.9456456628565008,3.8447975999999996e-4,0.9298245614035088,0.9597822141560799
6A,0.8778918485457377,8.8110566e-4,0.875,0.8181818181818182
15B/C,0.6975039103232608,0.0622091,0.6071428571428571,0.7572992700729927
19F,0.9362655879743627,0.00539723035,0.9333333333333333,0.9143068274788209
3,0.9986846659743859,0.05553937,1,0.9928464289835006
35B/35D,0.9933155080213903,0.113934875,1,0.9411764705882353
16F,0.9716721387016755,0.045907527000000004,0.9777777777777777,0.9281363400725765
9V,0.8000668186463776,0.011484474,0.65,0.9410423708827922
35B,0.8351670968035037,8.7201595e-5,0.7941176470588235,0.8144586588821155
35C,0.9016512870325416,0.090972423,0.9655172413793104,0.8274647887323944
7C,0.8041271176258746,1.5437602999999998e-5,0.7857142857142857,0.8062797869358004
6B,0.7688250110604986,0.012810736999999999,0.5982905982905983,0.9185399051350794
48,0.9794117647058823,0.2058613,1,0.9534313725490197
15B,0.8952974124414674,0.005769372,0.9310344827586207,0.8466603951081844
10B,0.9823420074349445,0.12089788800000001,1,0.9693308550185874
29,0.9424664602683203,0.17349121,0.9166666666666666,0.8730650154798761
4,0.9392203042309731,0.0056809485,0.9545454545454546,0.8512648582749162
28F,0.8930298719772445,0.026422649,0.8947368421052632,0.8864864864864865
17F,0.9918477683033181,0.11013194800000001,1,0.9743312352478364
24,0.6899340564820631,1.03324655e-4,0.7058823529411765,0.652315190901706
33B,0.8763913298183982,0.099708765,1,0.7803163444639719
35A,0.9504662004661998,0.0701592875,1,0.9424242424242424
10A,0.9518158696359579,0.003989011000000001,0.9607843137254902,0.9246354952237306
19B,0.9652321247034902,0.140915125,1,0.9303964757709251
19A,0.8095233331709984,0.0116217735,0.6666666666666666,0.9049154146456879
22F,0.8710870774160481,0.0016783178000000002,0.8235294117647058,0.9465218004797517
23B,0.9334970530452052,0.009925871999999999,0.90625,0.9418467583497053
11C,0.5104752171691364,0.23189798,0.21052631578947367,0.9320388349514563
35F,0.9854354714167801,0.08093807,1,0.9730010384215991
15C,0.802165105089909,0.0025410652000000004,0.7727272727272727,0.8796657381615599
7F,0.997021508340449,0.16785622,1,0.9944060833843196
21,0.781894516459494,0.055280358,0.7142857142857143,0.9527595884003742
34,0.9816051505578576,0.1055846225,0.9607843137254902,0.9584183095399955
11E,0.7948778195488704,0.0027522146,0.7368421052631579,0.8169642857142857
11A,0.8055234145675965,0.035270243,0.65,0.9101986483719026
11,0.6095918367346953,0.004078269,0.4,0.8530612244897959
11D,0.532828282828283,0.10348146999999999,0.5,0.898989898989899
11B,0.8068759780907653,0.021831393,0.7222222222222222,0.8415492957746479
15A,0.8666283411366886,3.9339065499999996e-4,0.88,0.8221418834824868
9N,0.9857396622962558,0.00347721575,1,0.9575039854247324
15F,0.8450520833333331,0.10357052,0.6666666666666666,1
46,0.6927369668246474,4.1335821499999996e-4,0.625,0.8037914691943128
8,0.9955129772274721,0.005557716,1,0.9847842453540436
18C,0.8736010742863148,4.963875e-4,0.9333333333333333,0.7761026663344132
31,0.978206624180948,0.024844348000000002,1,0.9136522753792299
33D,0.9638285144566298,0.00269523265,1,0.9525423728813559
24F,0.9580465822536757,0.043688298,0.9473684210526315,0.9841786877617497
5,0.9977822908401817,0.098408608,1,0.9931915843518053
