Serotype,n_genomes_without_allcaps
8,2998
19A,2316
3,2148
14,1545
19F,1414
12F,1360
6B,1272
6A,1125
22F,1100
23F,1068
1,1058
9N,967
15A,818
16F,699
23B,651
11A,637
10A,622
24F,575
35B,552
5,549
23A,525
4,522
33F,504
9V,483
7F,426
6C,405
18C,395
34,376
7C,366
17F,354
13,339
35F,310
38,262
31,237
24,215
21,204
15B,191
20B,166
15C,113
20A,103
35A,91
2,88
10B,85
9L,69
18A,66
7B,65
19B,58
29,47
46,47
6E,47
22A,44
28A,41
33,41
11E,40
33D,39
28F,38
39,36
20,31
27,31
33B,31
11B,30
35D,30
10F,29
37,29
24A,27
25F,26
6D,24
40,23
18B,20
18F,18
12B,17
15F,17
35C,16
45,14
48,14
11,12
36,8
17A,7
11C,5
12A,5
33C,5
25A,4
39X,4
11D,3
42,3
10X,2
20C,2
32F,2
33A,2
33E,2
9A,2
10C,1
32,1
33G,1
41F,1
