Serotype,TP,FP,FN,TN,Total,sensitivity,specificity,precision,accuracy,f1
1,73,692,0,7564,73,1,0.9161821705426356,0.09542483660130718,0.9169167967343018,0.17422434367541764
10A,57,678,1,7779,58,0.9827586206896551,0.9198297268534942,0.07755102040816327,0.9202583675866118,0.1437578814627995
10B,31,683,0,7993,31,1,0.9212770862148455,0.04341736694677871,0.921557367635236,0.0832214765100671
10F,18,676,1,8015,19,0.9473684210526315,0.9222183868369578,0.025936599423631124,0.9222732491389207,0.05049088359046283
11,2,658,8,8041,10,0.2,0.9243591217381308,0.0030303030303030303,0.9235273854633138,0.005970149253731343
11A,25,709,16,7875,41,0.6097560975609756,0.9174044734389561,0.0340599455040872,0.9159420289855073,0.06451612903225806
11B,2,679,13,8017,15,0.13333333333333333,0.921918123275069,0.002936857562408223,0.920560211227184,0.005747126436781609
11C,4,665,2,8036,6,0.6666666666666666,0.9235720032180209,0.005979073243647235,0.923394969564718,0.011851851851851853
11D,1,668,1,8036,2,0.5,0.9232536764705882,0.0014947683109118087,0.9231564438318401,0.002980625931445604
11E,3,685,12,8008,15,0.2,0.9212009662947199,0.00436046511627907,0.9199586587046394,0.008534850640113797
12A,5,678,0,8025,5,1,0.9220958290244743,0.007320644216691069,0.922140560404226,0.014534883720930232
12B,0,680,13,8021,13,0,0.9218480634409838,0,0.9204728023869635,0
12F,55,659,12,7530,67,0.8208955223880597,0.9195261936744413,0.07703081232492998,0.9187257751937985,0.14084507042253522
13,40,675,1,7939,41,0.975609756097561,0.921639192013002,0.055944055944055944,0.921894858463316,0.10582010582010581
14,71,648,4,7436,75,0.9466666666666667,0.9198416625432954,0.09874826147426982,0.9200882461085917,0.1788413098236776
15A,34,620,12,7874,46,0.7391304347826086,0.927007299270073,0.05198776758409786,0.9259953161592506,0.09714285714285714
15B,16,655,16,7998,32,0.5,0.9243037096960591,0.02384500745156483,0.9227403569372481,0.04551920341394026
15C,6,663,17,8009,23,0.2608695652173913,0.9235470479704797,0.008968609865470852,0.921794134560092,0.017341040462427744
15F,9,666,0,8033,9,1,0.9234394758018163,0.013333333333333334,0.9235186035829123,0.02631578947368421
16F,47,651,0,7857,47,1,0.9234837799717912,0.0673352435530086,0.9239041496201053,0.1261744966442953
17A,4,715,0,7988,4,1,0.917844421463863,0.005563282336578581,0.917882163776272,0.011065006915629323
17F,23,686,27,7892,50,0.46,0.9200279785497785,0.03244005641748942,0.917362076958739,0.0606060606060606
18A,19,696,0,7990,19,1,0.9198710568731292,0.026573426573426574,0.9200459506031017,0.051771117166212535
18B,12,653,1,8045,13,0.9230769230769231,0.9249252701770522,0.01804511278195489,0.9249225117667317,0.035398230088495575
18C,36,667,7,7938,43,0.8372093023255814,0.9224869262056944,0.051209103840682786,0.9220629047178538,0.09651474530831099
18F,8,694,0,8007,8,1,0.9202390529824158,0.011396011396011397,0.9203123205878976,0.022535211267605635
19A,82,645,3,7635,85,0.9647058823529412,0.9221014492753623,0.11279229711141678,0.9225343693962941,0.2019704433497537
19B,21,699,0,7989,21,1,0.9195441988950276,0.029166666666666667,0.9197382018601447,0.056680161943319846
19F,61,633,19,7596,80,0.7625,0.9230769230769231,0.08789625360230548,0.9215308701408111,0.15762273901808788
2,11,690,0,8002,11,1,0.9206166589967787,0.015691868758915834,0.9207169941399518,0.03089887640449438
20,5,694,6,8003,11,0.45454545454545453,0.9202023686328619,0.00715307582260372,0.9196141479099679,0.01408450704225352
20A,26,690,2,7986,28,0.9285714285714286,0.9204702627939142,0.036312849162011177,0.9204963235294118,0.06989247311827958
20B,25,672,7,7970,32,0.78125,0.9222402221707938,0.035868005738880916,0.9217200830066866,0.06858710562414265
21,35,701,3,7922,38,0.9210526315789473,0.9187057868491244,0.04755434782608696,0.9187160835931186,0.09043927648578812
22A,11,676,1,8016,12,0.9166666666666666,0.922227335480902,0.01601164483260553,0.9222196691176471,0.031473533619456366
22F,64,671,2,7586,66,0.9696969696969697,0.9187356182632918,0.08707482993197278,0.9191397332692539,0.15980024968789014
23A,35,655,9,7974,44,0.7954545454545454,0.9240931741800904,0.050724637681159424,0.9234405626657443,0.09536784741144415
23B,50,656,2,7920,52,0.9615384615384616,0.9235074626865671,0.0708215297450425,0.9237366713027353,0.13192612137203166
23F,44,660,4,7818,48,0.9166666666666666,0.9221514508138712,0.0625,0.9221205723668778,0.11702127659574468
24A,10,711,3,7987,13,0.7692307692307693,0.9182570705909404,0.013869625520110958,0.9180346688095511,0.027247956403269755
24F,16,685,9,7952,25,0.64,0.920690054417043,0.02282453637660485,0.9198799353498037,0.0440771349862259
25A,1,727,3,7976,4,0.25,0.9164655865793404,0.0013736263736263737,0.9161594119673826,0.0027322404371584704
25F,11,679,7,8010,18,0.6111111111111112,0.9218552192427207,0.015942028985507246,0.9212128172734582,0.031073446327683617
27,19,725,0,7969,19,1,0.9166091557395906,0.025537634408602152,0.9167910019511075,0.04980340760157274
28A,15,654,0,8037,15,1,0.9247497411114947,0.02242152466367713,0.9248793935217091,0.043859649122807015
28F,17,672,1,8017,18,0.9444444444444444,0.9226608355391874,0.02467343976777939,0.9227058688411622,0.04809052333804809
29,18,686,1,8008,19,0.9473684210526315,0.9210950080515298,0.02556818181818182,0.9211523011591874,0.04979253112033196
3,56,678,0,7809,56,1,0.92011311417462,0.07629427792915532,0.9206367786491865,0.14177215189873418
31,39,680,0,7970,39,1,0.9213872832369943,0.054242002781641166,0.9217401312003682,0.10290237467018468
33B,13,692,3,8003,16,0.8125,0.9204140310523289,0.018439716312056736,0.920215819079325,0.036061026352288486
33C,4,699,0,8004,4,1,0.9196828679765598,0.005689900426742532,0.919719765705754,0.011315417256011316
33D,18,692,1,7993,19,0.9473684210526315,0.9203223949337939,0.02535211267605634,0.9203814338235294,0.04938271604938272
33F,34,668,4,7863,38,0.8947368421052632,0.9216973391161646,0.04843304843304843,0.9215777803711052,0.09189189189189188
34,39,701,2,7894,41,0.9512195121951219,0.9184409540430483,0.052702702702702706,0.9185965724872627,0.09987195902688861
35A,11,696,6,7998,17,0.6470588235294118,0.9199447895100069,0.015558698727015558,0.9194122374009872,0.030386740331491715
35B,25,662,12,7896,37,0.6756756756756757,0.9226454779154007,0.036390101892285295,0.9215823152995928,0.06906077348066297
35C,10,653,4,8048,14,0.7142857142857143,0.9249511550396506,0.015082956259426848,0.9246127366609295,0.029542097488921715
35D,9,710,6,7986,15,0.6,0.9183532658693653,0.012517385257301807,0.9178050740443118,0.024523160762942777
35F,28,649,1,8018,29,0.9655172413793104,0.9251182646821277,0.0413589364844904,0.9252529898804048,0.0793201133144476
36,5,716,0,7988,5,1,0.9177389705882353,0.006934812760055479,0.9177861981857848,0.013774104683195593
37,15,659,0,8035,15,1,0.9242005981136416,0.02225519287833828,0.9243311516821678,0.04354136429608128
38,42,698,9,7889,51,0.8235294117647058,0.9187143356236172,0.05675675675675676,0.9181523500810372,0.10619469026548672
39,6,684,0,8014,6,1,0.9213612324672339,0.008695652173913044,0.9214154411764706,0.017241379310344827
4,49,632,15,7867,64,0.765625,0.9256383103894575,0.07195301027900147,0.9244423683288567,0.13154362416107382
40,6,690,0,8011,6,1,0.9206987702562924,0.008620689655172414,0.9207534167910876,0.017094017094017096
45,11,718,0,7979,11,1,0.9174427963665632,0.015089163237311385,0.9175470831419384,0.02972972972972973
46,15,683,6,8006,21,0.7142857142857143,0.9213948670733111,0.02148997134670487,0.9208955223880597,0.041724617524339355
48,12,706,0,7992,12,1,0.9188319153828466,0.016713091922005572,0.9189437428243399,0.03287671232876713
5,43,688,0,7791,43,1,0.9188583559382003,0.058823529411764705,0.9192677775170148,0.1111111111111111
6A,50,649,27,7778,77,0.6493506493506493,0.9229856413907678,0.0715307582260372,0.9205079962370649,0.1288659793814433
6B,60,680,32,7721,92,0.6521739130434783,0.91905725508868,0.08108108108108109,0.9161662545625809,0.14423076923076925
6C,75,660,3,7925,78,0.9615384615384616,0.9231217239370996,0.10204081632653061,0.9234676209165417,0.18450184501845018
6D,11,662,7,8032,18,0.6111111111111112,0.9238555325511847,0.01634472511144131,0.9232093663911846,0.03183791606367583
