Serotype,TP,FP,FN,TN,Total,sensitivity,specificity,precision,accuracy,f1,weighted_f1,k
1,130,750,0,3600,130,1,0.8275862068965517,0.14772727272727273,0.8325892857142857,0.25742574257425743,0.7466216216216217,500
10A,82,715,1,3723,83,0.9879518072289156,0.8388913925191528,0.1028858218318695,0.8416279584162796,0.18636363636363634,0.6559999999999999,500
10B,7,701,2,3925,9,0.7777777777777778,0.8484651967142239,0.009887005649717515,0.8483279395900755,0.019525801952580194,0.13967136150234744,500
10C,0,597,0,4030,0,0,0.870974713637346,0,0.870974713637346,0,0,500
10F,0,752,1,3900,1,0,0.8383490971625107,0,0.8381689232753062,0,0,500
10X,0,687,0,3917,0,0,0.8507819287576021,0,0.8507819287576021,0,0,500
11,2,681,3,3999,5,0.4,0.8544871794871794,0.0029282576866764276,0.8540021344717182,0.005813953488372093,0.04456094364351244,500
11A,5,687,0,3816,5,1,0.8474350433044637,0.0072254335260115606,0.8476042590949423,0.014347202295552367,0.11010362694300518,500
11B,0,725,1,3852,1,0,0.8415993008520866,0,0.8414154652686763,0,0,500
11C,0,606,0,4040,0,0,0.8695652173913043,0,0.8695652173913043,0,0,500
11D,0,603,0,4059,0,0,0.8706563706563707,0,0.8706563706563707,0,0,500
11E,1,965,1,3432,2,0.5,0.7805321810325222,0.0010351966873706005,0.7804046374175949,0.002066115702479339,0.017034068136272545,500
12A,0,619,0,3977,0,0,0.8653176675369887,0,0.8653176675369887,0,0,500
12B,0,673,3,4048,3,0,0.8574454564710866,0,0.8569009314140559,0,0,500
12F,29,582,0,3791,29,1,0.8669105876972331,0.04746317512274959,0.8677873693775556,0.090625,0.4586046511627907,500
13,11,688,0,3962,11,1,0.8520430107526882,0.015736766809728183,0.8523921905170564,0.030985915492957747,0.21371428571428572,500
14,126,744,23,3521,149,0.8456375838926175,0.825556858147714,0.14482758620689656,0.8262347077480743,0.24730127576054958,0.6582667486170867,500
15A,19,732,3,3678,22,0.8636363636363636,0.8340136054421768,0.02529960053262317,0.8341606498194946,0.04915912031047866,0.29283771532184955,500
15B,22,476,1,4109,23,0.9565217391304348,0.8961832061068702,0.04417670682730924,0.896484375,0.08445297504798463,0.4318706697459584,500
15B-C,0,644,0,3918,0,0,0.8588338448049101,0,0.8588338448049101,0,0,500
15C,10,668,2,3939,12,0.8333333333333334,0.8550032559149121,0.014749262536873156,0.854946958216064,0.028985507246376812,0.19540229885057472,500
15F,0,719,3,3852,3,0,0.8427040035003281,0,0.8421512898994316,0,0,500
16F,29,712,3,3840,32,0.90625,0.843585237258348,0.03913630229419703,0.8440226876090751,0.07503234152652004,0.39345570630486826,500
17A,0,672,0,4116,0,0,0.8596491228070176,0,0.8596491228070176,0,0,500
17F,13,543,1,3881,14,0.9285714285714286,0.8772603978300181,0.023381294964028777,0.8774222622803064,0.0456140350877193,0.2833333333333333,500
18A,4,997,1,3477,5,0.8,0.7771569065713009,0.003996003996003996,0.7771824067872293,0.007952286282306162,0.06290471785383903,500
18B,0,819,1,3762,1,0,0.8212180746561886,0,0.8210388476647752,0,0,500
18C,1,577,0,3882,1,1,0.8705987889661359,0.0017301038062283738,0.8706278026905829,0.003454231433506045,0.02861952861952862,500
18F,1,766,1,3835,2,0.5,0.8335144533797001,0.001303780964797914,0.8333695416033022,0.002600780234070221,0.02127659574468085,500
