Serotype,TP,FP,FN,TN,Total,sensitivity,specificity,precision,accuracy,f1,weighted_f1,k
1,130,713,0,3952,130,1,0.8471596998928189,0.1542111506524318,0.851303441084463,0.2672147995889003,0.756072528224427,50
10A,89,820,10,3919,99,0.898989898989899,0.8269677147077442,0.09790979097909791,0.8284415047540306,0.1765873015873016,0.6068993180906539,50
10B,7,827,0,4027,7,1,0.8296250515039143,0.008393285371702638,0.8298703970376465,0.016646848989298454,0.12579281183932345,50
10C,0,725,0,4148,0,0,0.8512210137492304,0,0.8512210137492304,0,0,50
10F,4,756,1,4156,5,0.8,0.8460912052117264,0.005263157894736842,0.8460443359772218,0.01045751633986928,0.08095238095238094,50
10X,0,851,0,4033,0,0,0.8257575757575758,0,0.8257575757575758,0,0,50
11,1,767,3,4128,4,0.25,0.8433094994892748,0.0013020833333333333,0.8428250663400694,0.0025906735751295338,0.020432692307692308,50
11A,29,688,0,4053,29,1,0.8548829360894326,0.040446304044630406,0.8557651991614256,0.07774798927613942,0.41744284504657075,50
11B,1,787,0,4136,1,1,0.8401381271582369,0.0012690355329949238,0.8401705930138099,0.0025348542458808617,0.02114427860696517,50
11C,1,851,0,4056,1,1,0.8265742816384757,0.0011737089201877935,0.8266096169519153,0.002344665885111372,0.019585253456221197,50
11D,0,724,0,4152,0,0,0.8515176374077112,0,0.8515176374077112,0,0,50
11E,1,745,1,3935,2,0.5,0.8408119658119658,0.0013404825737265416,0.8406663818880821,0.00267379679144385,0.021850899742930592,50
12A,0,764,0,4074,0,0,0.8420835055808186,0,0.8420835055808186,0,0,50
12B,0,822,3,4120,3,0,0.8336705787130716,0,0.833164812942366,0,0,50
12F,59,754,0,3902,59,1,0.8380584192439863,0.07257072570725707,0.840084835630965,0.13532110091743121,0.5708594194649971,50
13,26,735,0,4176,26,1,0.8503359804520464,0.03416557161629435,0.8511241644723516,0.06607369758576874,0.3755310110450297,50
14,204,708,6,3797,210,0.9714285714285714,0.8428412874583796,0.2236842105263158,0.8485683987274656,0.36363636363636365,0.8117977528089888,50
15A,19,725,0,3949,19,1,0.8448866067608044,0.025537634408602152,0.845514596207117,0.04980340760157274,0.308206106870229,50
15B,10,685,15,4145,25,0.4,0.8581780538302277,0.014388489208633094,0.8558187435633368,0.02777777777777778,0.15525114155251143,50
15B-C,0,715,0,4134,0,0,0.8525469168900804,0,0.8525469168900804,0,0,50
15C,3,725,9,4105,12,0.25,0.849896480331263,0.004120879120879121,0.8484097480380008,0.008108108108108109,0.05543478260869566,50
15F,2,736,1,4059,3,0.6666666666666666,0.8465067778936393,0.0027100271002710027,0.8463943309712381,0.005398110661268556,0.043256997455470736,50
16F,44,737,11,4034,55,0.8,0.8455250471599245,0.056338028169014086,0.8450062163282221,0.10526315789473684,0.45033112582781465,50
17A,0,776,0,4187,0,0,0.843642957888374,0,0.843642957888374,0,0,50
17F,23,724,0,3907,23,1,0.8436622759663139,0.030789825970548863,0.8444348947142243,0.059740259740259746,0.35067264573991036,50
18A,2,737,4,4019,6,0.3333333333333333,0.8450378469301935,0.0027063599458728013,0.8443931121377573,0.005369127516778523,0.0407185628742515,50
18B,1,748,0,4031,1,1,0.8434818999790751,0.0013351134846461949,0.8435146443514644,0.0026666666666666666,0.02222222222222222,50
18C,5,772,0,3923,5,1,0.835569755058573,0.006435006435006435,0.8357446808510638,0.012787723785166238,0.09918319719953325,50
18F,1,777,0,4093,1,1,0.8404517453798768,0.0012853470437017994,0.8404845001026483,0.0025673940949935813,0.02141057934508816,50
19A,238,718,0,3876,238,1,0.8437091858946452,0.2489539748953975,0.8514072847682119,0.39865996649916247,0.8492863140218304,50
19B,5,787,1,3958,6,0.8333333333333334,0.834141201264489,0.006313131313131313,0.8341401810145233,0.012531328320802006,0.09572072072072071,50
19F,96,688,4,3860,100,0.96,0.8487247141600703,0.12244897959183673,0.851118760757315,0.2171945701357466,0.6845637583892618,50
2,4,747,0,4113,4,1,0.8462962962962963,0.005326231691078562,0.846422697368421,0.010596026490066227,0.0834355828220859,50
20,1,792,3,4098,4,0.25,0.838036809815951,0.0012610340479192938,0.8375561912545975,0.0025094102885821834,0.019836639439906652,50
20A,2,782,3,4035,5,0.4,0.8376582935436994,0.002551020408163265,0.8372044794690999,0.005069708491761723,0.03935185185185184,50
20B,19,772,1,4160,20,0.95,0.8434712084347121,0.02402022756005057,0.8439014539579968,0.046855733662145495,0.2907290729072907,50
20C,0,776,0,4045,0,0,0.8390375440779921,0,0.8390375440779921,0,0,50
21,27,787,0,4133,27,1,0.8400406504065041,0.033169533169533166,0.8409136850616535,0.06420927467300831,0.3683788121990369,50
22A,2,729,0,4075,2,1,0.8482514571190675,0.0027359781121751026,0.848314606741573,0.005457025920873123,0.04456094364351245,50
22F,154,825,0,3779,154,1,0.8208079930495221,0.15730337078651685,0.8266078184110971,0.27184466019417475,0.7603833865814696,50
23A,45,761,10,4002,55,0.8181818181818182,0.840226747847995,0.05583126550868486,0.839975093399751,0.10452961672473868,0.45373665480427045,50
23B,63,726,14,3909,77,0.8181818181818182,0.8433656957928802,0.07984790874524715,0.8429541595925297,0.14549653579676677,0.5299356754082138,50
23F,99,722,4,4019,103,0.9611650485436893,0.8477114532798987,0.12058465286236297,0.8501238645747317,0.2142857142857143,0.6816524908869988,50
24,0,796,0,4076,0,0,0.8366174055829229,0,0.8366174055829229,0,0,50
24A,0,733,1,4008,1,0,0.8453912676650496,0,0.8452129902994517,0,0,50
24F,16,731,42,4039,58,0.27586206896551724,0.8467505241090146,0.0214190093708166,0.8398922949461475,0.03975155279503106,0.16238805970149253,50
25A,0,829,0,4119,0,0,0.8324575586095392,0,0.8324575586095392,0,0,50
25F,1,794,6,4099,7,0.14285714285714285,0.8377273656243613,0.0012578616352201257,0.8367346938775511,0.0024937655860349127,0.018743109151047408,50
27,2,836,0,4022,2,1,0.8279127212844792,0.002386634844868735,0.8279835390946502,0.004761904761904762,0.03908045977011495,50
28A,4,702,0,4144,4,1,0.8551382583574082,0.0056657223796034,0.8552577319587629,0.011267605633802816,0.08831168831168831,50
28F,6,716,0,4016,6,1,0.8486897717666948,0.008310249307479225,0.8488813845504433,0.016483516483516487,0.12469437652811736,50
29,4,775,0,4202,4,1,0.8442837050431987,0.005134788189987163,0.8444087532623971,0.010217113665389526,0.08066429418742585,50
3,26,733,0,3831,26,1,0.8393952673093777,0.034255599472990776,0.8403050108932462,0.06624203821656051,0.37617021276595736,50
31,22,789,0,4012,22,1,0.8356592376588211,0.027127003699136867,0.8364088741447232,0.052821128451380546,0.3215821152192605,50
32,0,735,0,3956,0,0,0.8433169899808143,0,0.8433169899808143,0,0,50
32F,0,742,0,4150,0,0,0.848323793949305,0,0.848323793949305,0,0,50
33,0,745,0,4077,0,0,0.8454997926171713,0,0.8454997926171713,0,0,50
33A,0,860,0,3982,0,0,0.8223874432052871,0,0.8223874432052871,0,0,50
33A-33F,0,716,0,4182,0,0,0.8538178848509596,0,0.8538178848509596,0,0,50
33B,4,789,0,4111,4,1,0.8389795918367347,0.005044136191677175,0.839110929853181,0.010037641154328734,0.07934655775962661,50
33C,0,769,0,3987,0,0,0.838309503784693,0,0.838309503784693,0,0,50
33D,5,789,0,4025,5,1,0.8361030328209389,0.006297229219143577,0.8362730857024279,0.012515644555694618,0.09725400457665904,50
33E,0,751,0,4100,0,0,0.8451865594722737,0,0.8451865594722737,0,0,50
33F,12,738,1,3994,13,0.9230769230769231,0.8440405748098055,0.016,0.8442571127502634,0.031454783748361734,0.21294363256784968,50
33G,0,785,0,4071,0,0,0.83834431630972,0,0.83834431630972,0,0,50
34,17,783,0,4064,17,1,0.8384567773880751,0.02125,0.8390213815789473,0.04161566707466341,0.269589552238806,50
35A,0,793,0,4044,0,0,0.8360554062435394,0,0.8360554062435394,0,0,50
35B,18,710,0,4137,18,1,0.8535176397771818,0.024725274725274724,0.8540596094552929,0.0482573726541555,0.30118110236220474,50
35B-35D,0,861,0,4001,0,0,0.8229123817359112,0,0.8229123817359112,0,0,50
35C,0,791,0,4107,0,0,0.8385055124540629,0,0.8385055124540629,0,0,50
35D,0,813,4,4063,4,0,0.833264971287941,0,0.8325819672131147,0,0,50
35F,15,756,0,4128,15,1,0.8452088452088452,0.019455252918287938,0.8456827924066136,0.03816793893129771,0.2522255192878338,50
36,0,849,0,4049,0,0,0.8266639444671294,0,0.8266639444671294,0,0,50
37,0,787,2,4122,2,0,0.8396822163373395,0,0.8393402565668907,0,0,50
38,38,850,0,3969,38,1,0.8236148578543266,0.04279279279279279,0.8249948527897879,0.08207343412526999,0.43181818181818177,50
39,3,809,0,4039,3,1,0.8331270627062707,0.003694581280788177,0.8332302618016904,0.007361963190184048,0.059302325581395345,50
39X,0,810,0,4049,0,0,0.8332990327227825,0,0.8332990327227825,0,0,50
4,53,755,0,4186,53,1,0.8471969236996559,0.0655940594059406,0.8488185822987585,0.12311265969802557,0.5440821256038647,50
40,3,764,0,4021,3,1,0.8403343782654128,0.003911342894393742,0.8404344193817878,0.007792207792207793,0.06257668711656442,50
41F,0,760,0,4141,0,0,0.8449296062028158,0,0.8449296062028158,0,0,50
42,0,744,0,4041,0,0,0.8445141065830721,0,0.8445141065830721,0,0,50
45,1,707,0,3976,1,1,0.8490284005979073,0.0014124293785310734,0.8490606319385141,0.0028208744710860366,0.023480662983425413,50
46,2,763,1,4082,3,0.6666666666666666,0.8425180598555212,0.00261437908496732,0.8424092409240924,0.005208333333333333,0.04182041820418204,50
48,2,879,0,4130,2,1,0.8245158714314235,0.0022701475595913734,0.8245859109958092,0.004530011325028312,0.03723986856516977,50
5,45,751,0,3946,45,1,0.840110708963168,0.056532663316582916,0.8416280050611556,0.1070154577883472,0.5046174142480211,50
6A,46,738,75,4040,121,0.38016528925619836,0.8455420678107995,0.058673469387755105,0.8340477648499693,0.10165745856353593,0.28750000000000003,50
6B,112,839,20,3924,132,0.8484848484848485,0.8238505143816922,0.11777076761303891,0.824514811031665,0.20683287165281625,0.6216127979105452,50
6C,21,717,26,4085,47,0.44680851063829785,0.8506872136609746,0.028455284552845527,0.846772530418643,0.05350318471337579,0.2395973154362416,50
6D,3,698,0,4091,3,1,0.8542493213614534,0.0042796005706134095,0.8543405676126878,0.008522727272727274,0.06809078771695594,50
6E,0,763,2,4174,2,0,0.8454527040712984,0,0.845110346223932,0,0,50
7B,0,757,5,4028,5,0,0.8417972831765935,0,0.8409185803757829,0,0,50
7C,30,771,6,4138,36,0.8333333333333334,0.8429415359543695,0.03745318352059925,0.8428715874620829,0.07168458781362008,0.3703703703703704,50
7F,20,789,0,3981,20,1,0.8345911949685535,0.024721878862793572,0.8352818371607516,0.04825090470446321,0.30115146147032773,50
8,462,746,0,3623,462,1,0.8292515449759671,0.3824503311258278,0.8455806251293728,0.5532934131736527,0.9132558139534883,50
9A,0,742,0,4099,0,0,0.8467258830820078,0,0.8467258830820078,0,0,50
9L,6,808,5,4034,11,0.5454545454545454,0.8331268071045023,0.007371007371007371,0.8324747578817226,0.014545454545454545,0.10303030303030304,50
9N,110,792,0,3883,110,1,0.8305882352941176,0.12195121951219512,0.8344827586206897,0.21739130434782605,0.7024793388429752,50
9V,53,819,0,4057,53,1,0.8320344544708778,0.06077981651376147,0.8338405356055996,0.1145945945945946,0.5238372093023257,50
