benchmark,Serotype,TP,FP,FN,TN,Total,sensitivity,specificity,precision,accuracy,f1,tool
GPS_benchmark,1,130,0,0,107,130,1,1,1,0,1,ALLCAPS
GPS_benchmark,10A,76,0,0,79,76,1,1,1,0,1,ALLCAPS
GPS_benchmark,10B,10,0,0,8,10,1,1,1,0,1,ALLCAPS
GPS_benchmark,10C,0,0,0,1,0,0,1,0,0,0,ALLCAPS
GPS_benchmark,10F,3,0,0,3,3,1,1,1,0,1,ALLCAPS
GPS_benchmark,10X,0,0,0,1,0,0,1,0,0,0,ALLCAPS
GPS_benchmark,11,1,0,0,0,1,1,0,1,0,1,ALLCAPS
GPS_benchmark,11A,73,0,0,65,73,1,1,1,0,1,ALLCAPS
GPS_benchmark,11B,3,0,0,7,3,1,1,1,0,1,ALLCAPS
GPS_benchmark,11E,5,0,0,4,5,1,1,1,0,1,ALLCAPS
GPS_benchmark,12A,0,0,0,1,0,0,1,0,0,0,ALLCAPS
GPS_benchmark,12B,2,0,0,1,2,1,1,1,0,1,ALLCAPS
GPS_benchmark,12F,166,0,0,146,166,1,1,1,0,1,ALLCAPS
GPS_benchmark,13,40,0,0,32,40,1,1,1,0,1,ALLCAPS
GPS_benchmark,14,189,1,0,148,189,1,0.9932885906040269,0.9947368421052631,0,0.9973614775725593,ALLCAPS
GPS_benchmark,15A,96,0,0,83,96,1,1,1,0,1,ALLCAPS
GPS_benchmark,15B,23,0,0,21,23,1,1,1,0,1,ALLCAPS
GPS_benchmark,15B/C,87,0,0,89,87,1,1,1,0,1,ALLCAPS
GPS_benchmark,15C,12,0,0,7,12,1,1,1,0,1,ALLCAPS
GPS_benchmark,15F,2,0,0,1,2,1,1,1,0,1,ALLCAPS
GPS_benchmark,16F,82,1,0,69,82,1,0.9857142857142858,0.9879518072289156,0,0.993939393939394,ALLCAPS
GPS_benchmark,17F,42,0,0,32,42,1,1,1,0,1,ALLCAPS
GPS_benchmark,18A,8,0,0,9,8,1,1,1,0,1,ALLCAPS
GPS_benchmark,18B,2,0,0,2,2,1,1,1,0,1,ALLCAPS
GPS_benchmark,18C,46,0,0,40,46,1,1,1,0,1,ALLCAPS
GPS_benchmark,18F,2,0,0,1,2,1,1,1,0,1,ALLCAPS
GPS_benchmark,19A,265,1,0,230,265,1,0.9956709956709957,0.9962406015037594,0,0.9981167608286252,ALLCAPS
GPS_benchmark,19B,7,0,0,6,7,1,1,1,0,1,ALLCAPS
GPS_benchmark,19F,170,0,0,153,170,1,1,1,0,1,ALLCAPS
GPS_benchmark,2,10,0,0,9,10,1,1,1,0,1,ALLCAPS
GPS_benchmark,20,2,0,0,6,2,1,1,1,0,1,ALLCAPS
GPS_benchmark,20A,12,0,0,17,12,1,1,1,0,1,ALLCAPS
GPS_benchmark,20B,20,0,0,17,20,1,1,1,0,1,ALLCAPS
GPS_benchmark,21,25,0,0,21,25,1,1,1,0,1,ALLCAPS
GPS_benchmark,22A,5,0,0,3,5,1,1,1,0,1,ALLCAPS
GPS_benchmark,22F,135,2,0,124,135,1,0.9841269841269841,0.9854014598540146,0,0.9926470588235294,ALLCAPS
GPS_benchmark,23A,59,0,0,50,59,1,1,1,0,1,ALLCAPS
