fold,genogroup,n_novel,best_k,best_auroc,auroc_at_reference_k,reference_k,delta_vs_reference,best_bal_acc,best_bal_acc_k,best_bal_acc_threshold,deploy_k,deploy_threshold_percentile,deploy_threshold,deploy_tpr,deploy_tnr,deploy_bal_acc
25A,25A_25F_38,4,1000,0.9766029313913943,0.5738023066686382,50,0.40280062472275613,0.9706398787520332,1000,0.7268006205558777,5,99.0,0.31749090552330017,0.0,0.989982256395091,0.4949911281975455
24F,Serogroup 24,24,500,0.9357122274143301,0.6529408099688474,50,0.28277141744548273,0.894082554517134,500,0.38757097721099854,5,99.0,0.3261464834213257,0.0,0.99,0.495
20C,20,2,1000,0.9732294669919421,0.7099273674872477,50,0.2633020995046944,0.9823039106971243,1000,0.7340160608291626,5,99.0,0.32225969433784485,0.0,0.9899829969690249,0.49499149848451246
33E,33E,2,100,0.7985418052783322,0.5527787018555481,50,0.24576310342278407,0.899155392917868,100,0.17564594745635986,5,99.0,0.3411359190940857,0.0,0.9899829969690249,0.49499149848451246
18B,18,13,1000,0.9522196241743612,0.7103209821758746,50,0.24189864199848665,0.9298128836624511,500,0.3804558515548706,5,99.0,0.3257189393043518,0.0,0.989997041638932,0.494998520819466
25F,25A_25F_38,18,1000,0.8803299025442106,0.6561543505653916,50,0.224175551978819,0.8804414186076628,1000,0.568742036819458,5,99.0,0.33571791648864746,0.05555555555555555,0.9900283055519583,0.522791930553757
37,33A_33F_37,15,1,0.9401203511887147,0.7256523133076846,50,0.21446803788103008,0.9557191476768274,1,0.00286024808883667,5,99.0,0.34025174379348755,0.0,0.9899933412252145,0.49499667061260727
9A,9,2,1000,0.7696359268157457,0.5605433376455369,50,0.2090925891702088,0.8848179634078728,1000,0.5700269937515259,5,99.0,0.32801055908203125,0.0,0.9899833672149325,0.49499168360746626
Serogroup 33,Serogroup 33,19,1000,0.7987945598350922,0.6118885001943473,50,0.18690605964074491,0.864660262461362,1000,0.49790167808532715,5,99.0,0.32814690470695496,0.05263157894736842,0.9899864882373628,0.5213090335923656
12B,12_44_46,13,5,0.7748213737157681,0.5949684559635011,50,0.17985291775226697,0.8035644192370268,5,8.511543273925781e-05,5,99.0,0.31921836733818054,0.07692307692307693,0.989997781393285,0.5334604291581809
46,12_44_46,21,1,0.8543448216290922,0.6948396098527516,50,0.15950521177634058,0.8055936030799986,1,0.001344442367553711,5,99.0,0.3252095580101013,0.0,0.9900048124976863,0.4950024062488432
35D,35B_35D,15,1000,0.7566523631610746,0.5990838358056203,50,0.15756852735545435,0.8358210335515851,1000,0.425031840801239,5,99.0,0.32476529479026794,0.0,0.9899937113897829,0.49499685569489144
9L,9,22,1,0.9538942517355586,0.8093848974829139,50,0.14450935425264477,0.9529273397418088,1,0.0032067298889160156,5,99.0,0.33232274651527405,0.0,0.9899983330555092,0.4949991665277546
15F,15,9,1,0.9608649119455382,0.8184432653178609,50,0.1424216466276773,0.9751428201667622,1,0.017756760120391846,5,99.0,0.32452523708343506,0.0,0.9899979663147775,0.49499898315738877
6E,6E,18,1,0.5530131095035163,0.4147234710889912,50,0.13828963841452513,0.675479657347962,1000,0.12230223417282104,5,99.0,0.3223419487476349,0.05555555555555555,0.989990564117745,0.5227730598366502
11,11,10,1000,0.800488999815123,0.673736365317064,50,0.12675263449805896,0.8412645590682196,1000,0.4433549642562866,5,99.0,0.32814353704452515,0.0,0.9899981512294325,0.49499907561471623
33A/33F,33A_33F_37,1,1000,0.6968268928683632,0.5701428545027813,50,0.12668403836558184,0.8484134464341816,1000,0.5044047236442566,5,99.0,0.31238269805908203,0.0,0.9899835523276228,0.4949917761638114
33A,33A_33F_37,2,1,0.8870335803655585,0.7725609418026576,50,0.11447263856290091,0.8917555305032434,1,2.378225326538086e-05,5,99.0,0.3260995149612427,0.0,0.9900016633092461,0.49500083165462305
35C,35A_35C_42,10,1,0.9608626522952911,0.8468967812309343,50,0.11396587106435685,0.9713435264101759,1,0.013742983341217041,5,99.0,0.32695016264915466,0.0,0.9899979663147775,0.49499898315738877
10X,33G,2,1,0.9889295483107857,0.8761920603237969,50,0.1127374879869888,0.9943723663783544,1,0.1934160590171814,5,99.0,0.3320641815662384,0.0,0.9899829969690249,0.49499149848451246
41F,41F,1,500,0.979338766609377,0.8668477758681229,50,0.11249099074125413,0.9896693833046886,500,0.662503719329834,5,99.0,0.3202286660671234,0.0,0.9899835523276228,0.4949917761638114
36,36,5,1,0.9843930208487357,0.8721795061363301,50,0.1122135147124056,0.9916919266597664,1,0.13745683431625366,5,99.0,0.320387065410614,0.0,0.989982256395091,0.4949911281975455
7B,7B_7C_40,13,5,0.8971901292275808,0.7853205211234928,50,0.11186960810408797,0.9152619210628574,10,0.020198464393615723,5,99.0,0.33211126923561096,0.0,0.9899894528431065,0.49499472642155323
10A,10,58,1,0.9779031920734098,0.8787544770071372,50,0.09914871506627265,0.9671658910878147,1,0.022747516632080078,5,99.0,0.316110759973526,0.08620689655172414,0.9899924184988628,0.5380996575252934
11D,11,2,100,0.7694895205707315,0.674837356300595,50,0.09465216427013645,0.8687391416848409,1000,0.5319230556488037,5,99.0,0.3201218247413635,0.0,0.9899826266957454,0.4949913133478727
20,20,11,500,0.9501396312256108,0.8576518079763813,50,0.09248782324922955,0.9523311941706275,500,0.5108945369720459,5,99.0,0.32898610830307007,0.09090909090909091,0.9899946366814004,0.5404518637952457
40,7B_7C_40,6,5,0.9555561718465928,0.8680952292910804,50,0.0874609425555124,0.9705844287906521,5,0.10565859079360962,5,99.0,0.333257257938385,0.16666666666666666,0.9899975964649547,0.5783321315658106
19B,19B_19C,21,1,0.9836200702626695,0.8991470623239576,50,0.08447300793871193,0.9805146718504119,1,0.03847968578338623,5,99.0,0.3196972608566284,0.19047619047619047,0.989984263630473,0.5902302270533317
18F,18,8,1,0.9759388694735673,0.8927973780070635,50,0.08314149146650385,0.9653945008413306,1,0.009039759635925293,5,99.0,0.31367743015289307,0.25,0.9899964867513544,0.6199982433756772
12A,12_44_46,5,1,0.909078811178471,0.8341305633594558,50,0.07494824781901521,0.9345704568978264,10,0.03431802988052368,5,99.0,0.3281439542770386,0.0,0.989982256395091,0.4949911281975455
11E,11,15,1,0.7959253641150864,0.7213770394761182,50,0.07454832463896821,0.8405521230283522,1000,0.5315573215484619,5,99.0,0.3115270435810089,0.06666666666666667,0.9899922305671686,0.5283294486169177
18A,18,19,1,0.9777270587730832,0.903269849035164,50,0.07445720973791914,0.9769381746810599,1,0.02647644281387329,5,99.0,0.3167361915111542,0.15789473684210525,0.9899827800099987,0.573938758426052
10B,10,31,1,0.9835131824597334,0.9170129442351136,50,0.06650023822461981,0.9789570245177073,1,0.027964293956756592,5,99.0,0.3205350339412689,0.2903225806451613,0.9899927725579585,0.6401576766015599
16F,16F,47,1,0.9875420250148322,0.9227543648936974,50,0.0647876601211348,0.9862937353585732,1,0.07029974460601807,5,99.0,0.32426586747169495,0.3617021276595745,0.9899871533287992,0.6758446404941868
33G,33G,1,1,0.9620957309184992,0.8986324154500093,50,0.06346331546848993,0.9810478654592496,1,0.04020655155181885,5,99.0,0.3299439549446106,0.0,0.9900018480872297,0.49500092404361484
20A,20,28,500,0.9530384546138123,0.8905295187613187,50,0.06250893585249362,0.9450200163095857,500,0.41205132007598877,5,99.0,0.31555166840553284,0.03571428571428571,0.9899918452072058,0.5128530654607458
38,25A_25F_38,51,100,0.9882144873193921,0.9264695808638996,50,0.061744906455492465,0.9809815607076802,100,0.43575817346572876,5,99.0,0.32126671075820923,0.2549019607843137,0.9899863620229044,0.622444161403609
4,4,64,5,0.9472692726706784,0.8901644355203833,50,0.05710483715029513,0.9329428434322473,5,0.015562772750854492,5,99.0,0.3156989812850952,0.15625,0.9900205625459828,0.5731352812729914
Serogroup 24,Serogroup 24,33,5,0.8367168563421908,0.7808391677704791,50,0.055877688571711714,0.8286609966750467,5,0.017805874347686768,5,99.0,0.3369029462337494,0.0,0.989982902170681,0.4949914510853405
33D,33B_33D,19,1,0.9770823572042951,0.9248306771258994,50,0.05225168007839576,0.9701282597027632,1,0.013585567474365234,5,99.0,0.31804120540618896,0.5263157894736842,0.9899872295534046,0.7581515095135444
33B,33B_33D,14,1,0.9375396384969082,0.885531948628508,50,0.05200768986840021,0.9425321071824957,5,0.1551225781440735,5,99.0,0.329902708530426,0.2857142857142857,0.9899926008139105,0.6378534432640981
28A,28,15,1,0.9648274245676364,0.9143599042755285,50,0.05046752029210788,0.9650099918584857,1,0.009392321109771729,5,99.0,0.32610297203063965,0.13333333333333333,0.9899896380726815,0.5616614857030074
10F,10,19,1,0.9874204956630457,0.9381959672362286,50,0.04922452842681713,0.9838118848516244,1,0.05218172073364258,5,99.0,0.3301307260990143,0.3157894736842105,0.9899911196625472,0.6528902966733788
2,2,11,1,0.9856983699036347,0.9388200566141254,50,0.04687831328950931,0.9896701099633456,1,0.11225283145904541,5,99.0,0.3336033225059509,0.2727272727272727,0.9899848198748565,0.6313560463010646
23A,23,44,20,0.8736313682579382,0.8271758356214658,50,0.046455532636472396,0.8543379934210527,5,0.0037931203842163086,5,99.0,0.33010560274124146,0.045454545454545456,0.989982057416268,0.5177183014354068
7F,7A_7F,68,1,0.9685365724486891,0.9242046013738804,50,0.044331971074808685,0.9642117510244523,1,0.015210449695587158,5,99.0,0.31198716163635254,0.08823529411764706,0.9899838691525678,0.5391095816351074
35B/35D,35B_35D,3,20,0.917466008711134,0.8745264013898386,50,0.042939607321295425,0.9248988116140241,20,0.06540966033935547,5,99.0,0.3323613703250885,0.0,0.9899828118358068,0.4949914059179034
20B,20,32,500,0.9368130590838928,0.8940384919380335,50,0.042774567145859255,0.944235740454892,200,0.3642107844352722,5,99.0,0.3323523998260498,0.0,0.9899946067582898,0.4949973033791449
21,21,38,5,0.9381668663629714,0.8954962436830928,50,0.042670622679878645,0.936998593954987,5,0.03306388854980469,5,99.0,0.3244987726211548,0.13157894736842105,0.9899959014866426,0.5607874244275318
8,8,68,1,0.9928544157819637,0.9522973278287838,50,0.040557087953179805,0.9842053803467287,1,0.13730943202972412,5,99.0,0.3266049027442932,0.35294117647058826,0.9899973298827203,0.6714692531766543
19A,19A,85,1,0.9508888094634169,0.9110798533447091,50,0.03980895611870783,0.9475430626974428,1,0.00746232271194458,5,99.0,0.3258483409881592,0.11764705882352941,0.9900039200313603,0.5538254894274448
15C,15,23,20,0.7359865538631444,0.6978637732213896,50,0.03812278064175478,0.7679614350607212,1000,0.2935042977333069,5,99.0,0.3330502510070801,0.043478260869565216,0.9900250301288588,0.516751645499212
15B/C,15B/C,67,5,0.9184847935190328,0.880530158371047,50,0.037954635147985805,0.8880465840673214,500,0.3118128180503845,5,99.0,0.32289639115333557,0.07462686567164178,0.9899828006577331,0.5323048331646875
14,14,75,5,0.9532866710042917,0.9163067095171435,50,0.036979961487148105,0.9469921199813351,1,0.02068108320236206,5,99.0,0.3229733109474182,0.32,0.9899840296535815,0.6549920148267907
9N,9,61,1,0.970701500296508,0.9348520007340021,50,0.03584949956250594,0.9703285597147271,1,0.013061463832855225,5,99.0,0.3317471444606781,0.09836065573770492,0.9899887492610744,0.5441747024993897
32,32,1,1,0.9954907504943542,0.9600635730258172,50,0.03542717746853696,0.9977453752471771,1,0.2643875479698181,5,99.0,0.32880696654319763,0.0,0.9899835523276228,0.4949917761638114
33F,33A_33F_37,38,100,0.9599803388917708,0.9248427903329914,50,0.035137548558779375,0.9238107306487572,100,0.26550108194351196,5,99.0,0.3246666491031647,0.39473684210526316,0.9899932285004891,0.6923650353028761
22A,22,12,5,0.9682388802545885,0.9332907785671996,50,0.03494810168738893,0.9738195677915926,5,0.11831504106521606,5,99.0,0.3229820430278778,0.16666666666666666,0.9899903789224394,0.578328522794553
39,39,6,1,0.9876958735559913,0.9540382932031414,50,0.033657580352849936,0.9926582091208345,1,0.16176003217697144,5,99.0,0.33808380365371704,0.0,0.9900136849502533,0.49500684247512666
11A,11,41,100,0.9584364770105859,0.9253455112742167,50,0.03309096573636916,0.9242447775280795,200,0.4472652077674866,5,99.0,0.32328280806541443,0.14634146341463414,0.98998778998779,0.568164626701212
1,1,73,1,0.9823635260255463,0.9501314862240251,50,0.03223203980152123,0.9740405604261502,1,0.04629087448120117,5,99.0,0.32462605834007263,0.2876712328767123,0.9899816620017373,0.6388264474392248
13,13,41,1,0.9889098403589079,0.9592434697456219,50,0.02966637061328603,0.9754715219421102,1,0.02030932903289795,5,99.0,0.32272955775260925,0.5365853658536586,0.9899906629318393,0.763288014392749
45,45,11,1,0.9919852345428324,0.962755210101832,50,0.029230024441000424,0.9839595429163123,1,0.04991626739501953,5,99.0,0.33045509457588196,0.7272727272727273,0.9899966717207204,0.8586346994967238
35F,35F,29,1,0.9937241097074887,0.9659309729041131,50,0.027793136803375584,0.9863555191785409,1,0.07498282194137573,5,99.0,0.32385584712028503,0.6551724137931034,0.9899921872093456,0.8225823005012245
23B,23,52,1,0.9659290208870112,0.9383816180999558,50,0.027547402787055364,0.9431202702038385,5,0.05431145429611206,5,99.0,0.3144850432872772,0.1346153846153846,0.9899815796398632,0.5622984821276239
6C,6,78,5,0.9734541070800404,0.945912764171575,50,0.027541342908465438,0.9506168262602035,20,0.17819219827651978,5,99.0,0.33204999566078186,0.2692307692307692,0.98998671133654,0.6296087402836547
31,31,39,1,0.9917744581807081,0.9668750953907204,50,0.024899362789987722,0.9814732142857143,1,0.039542973041534424,5,99.0,0.32286837697029114,0.23076923076923078,0.9899925595238095,0.6103808951465202
