fold,fold_safe_name,genogroup,n_id,n_novel,k,auroc,bal_acc,bal_acc_threshold
1,1,1,51805,73,1,0.9823635260255463,0.9740405604261502,0.04629087448120117
1,1,1,51805,73,5,0.9649372713534554,0.9488402901819653,0.050575435161590576
1,1,1,51805,73,10,0.9659431508832517,0.9365794807451018,0.051140427589416504
1,1,1,51805,73,20,0.9646149350898324,0.940597842541776,0.13313329219818115
1,1,1,51805,73,50,0.9501314862240251,0.9214587633023205,0.1722511649131775
1,1,1,51805,73,100,0.9461473676973583,0.9151179409614294,0.2751656770706177
1,1,1,51805,73,200,0.9465596090714257,0.927963926896568,0.29514598846435547
1,1,1,51805,73,500,0.9149714485167639,0.8831582607591957,0.33178019523620605
1,1,1,51805,73,1000,0.7628847905673674,0.7863559739962689,0.3166068196296692
10A,10A,10,52760,58,1,0.9779031920734098,0.9671658910878147,0.022747516632080078
10A,10A,10,52760,58,5,0.9485732399152964,0.9426207811560482,0.03230506181716919
10A,10A,10,52760,58,10,0.9305871088337558,0.9243777940446001,0.032305121421813965
10A,10A,10,52760,58,20,0.9129418185145486,0.9042868160309534,0.037682414054870605
10A,10A,10,52760,58,50,0.8787544770071372,0.8651378395336069,0.03958064317703247
10A,10A,10,52760,58,100,0.8695690962327782,0.858753692713916,0.10452842712402344
10A,10A,10,52760,58,200,0.853603827350919,0.837089553214295,0.14250069856643677
10A,10A,10,52760,58,500,0.8332050142479935,0.8125,0.17587625980377197
10A,10A,10,52760,58,1000,0.687797704635173,0.749393479909022,0.20325350761413574
10B,10B,10,53961,31,1,0.9835131824597334,0.9789570245177073,0.027964293956756592
10B,10B,10,53961,31,5,0.9643619555581062,0.9528270417523768,0.032684326171875
10B,10B,10,53961,31,10,0.9510417021612382,0.9345823835733215,0.033417463302612305
10B,10B,10,53961,31,20,0.937595910068861,0.9134682694969067,0.06153064966201782
10B,10B,10,53961,31,50,0.9170129442351136,0.8962243340620556,0.0917094349861145
10B,10B,10,53961,31,100,0.8978838360560285,0.8556857969704523,0.09170949459075928
10B,10B,10,53961,31,200,0.8873917901279957,0.8267545078853246,0.09941983222961426
10B,10B,10,53961,31,500,0.8858070135480164,0.8375493411908601,0.21515023708343506
10B,10B,10,53961,31,1000,0.7399005613970902,0.7880784270121013,0.2848353981971741
10C,10C,10,54111,1,1,0.9844024320378482,0.9922012160189241,0.14025789499282837
10C,10C,10,54111,1,5,0.962928055293748,0.981464027646874,0.18246102333068848
10C,10C,10,54111,1,10,0.9496959952689841,0.974847997634492,0.20928114652633667
10C,10C,10,54111,1,20,0.9296076583319473,0.9648038291659736,0.21824610233306885
10C,10C,10,54111,1,50,0.9838849771765444,0.9919424885882723,0.44870126247406006
10C,10C,10,54111,1,100,0.9905194877196873,0.9952597438598436,0.5540913343429565
10C,10C,10,54111,1,200,0.9884496682744729,0.9942248341372364,0.6124733686447144
10C,10C,10,54111,1,500,0.966938330468851,0.9834691652344255,0.6190985441207886
10C,10C,10,54111,1,1000,0.8686773484134465,0.9343386742067232,0.6563425064086914
10F,10F,10,54052,19,1,0.9874204956630457,0.9838118848516244,0.05218172073364258
10F,10F,10,54052,19,5,0.9765342925136418,0.9701028639088285,0.09795087575912476
10F,10F,10,54052,19,10,0.9686198865030556,0.9706301339450899,0.17542105913162231
10F,10F,10,54052,19,20,0.9600433500683553,0.9591874491230667,0.18795478343963623
10F,10F,10,54052,19,50,0.9381959672362286,0.935599052764005,0.20720261335372925
10F,10F,10,54052,19,100,0.9398561619025733,0.9184859024642936,0.21955865621566772
10F,10F,10,54052,19,200,0.9243301771783117,0.8991463386134989,0.37510979175567627
10F,10F,10,54052,19,500,0.9000007789769696,0.8945104519234888,0.3987310528755188
10F,10F,10,54052,19,1000,0.7349861926332149,0.8079812032857249,0.3959258794784546
10X,10X,33G,54108,2,1,0.9889295483107857,0.9943723663783544,0.1934160590171814
10X,10X,33G,54108,2,5,0.9670473867080651,0.9833943224661787,0.20120161771774292
10X,10X,33G,54108,2,10,0.9528535521549493,0.976158793524063,0.21119558811187744
10X,10X,33G,54108,2,20,0.9283839727951504,0.9638593184002366,0.21300411224365234
10X,10X,33G,54108,2,50,0.8761920603237969,0.9379019738301175,0.21372950077056885
10X,10X,33G,54108,2,100,0.8468248687809566,0.9232091372809936,0.21928870677947998
10X,10X,33G,54108,2,200,0.8074037110963259,0.9031289273305241,0.23278862237930298
10X,10X,33G,54108,2,500,0.9323852295409182,0.964265912619206,0.5114340782165527
10X,10X,33G,54108,2,1000,0.8775781769793746,0.9362755969542397,0.6509415507316589
11,11,11,54090,10,1,0.6795341098169716,0.7116842299870586,2.980232238769531e-07
11,11,11,54090,10,5,0.7320086892216675,0.730671103716029,2.980232238769531e-07
11,11,11,54090,10,10,0.7109058975781104,0.7163801072286929,1.4424324035644531e-05
11,11,11,54090,10,20,0.7057496764651506,0.7297374745794047,0.00020694732666015625
11,11,11,54090,10,50,0.673736365317064,0.6992697356258089,0.02575862407684326
11,11,11,54090,10,100,0.6793067110371602,0.7016638935108153,0.02786386013031006
11,11,11,54090,10,200,0.6240035126640784,0.6492420040672953,0.03833991289138794
11,11,11,54090,10,500,0.6007025328156775,0.687335921612128,0.06500661373138428
11,11,11,54090,10,1000,0.800488999815123,0.8412645590682196,0.4433549642562866
11A,11A,11,53235,41,1,0.8378833382585729,0.804364449392592,4.976987838745117e-05
11A,11A,11,53235,41,5,0.8952823078526642,0.838873425927835,0.05916386842727661
11A,11A,11,53235,41,10,0.8952612324094501,0.8225965404201803,0.05916386842727661
11A,11A,11,53235,41,20,0.8855323954761103,0.826498246385676,0.08689701557159424
11A,11A,11,53235,41,50,0.9253455112742167,0.8902319902319902,0.06358963251113892
11A,11A,11,53235,41,100,0.9584364770105859,0.9179707097155503,0.3766751289367676
11A,11A,11,53235,41,200,0.9565383126358736,0.9242447775280795,0.4472652077674866
11A,11A,11,53235,41,500,0.9431948081103803,0.9095833705589803,0.4870811700820923
11A,11A,11,53235,41,1000,0.8782434992566325,0.8241923180009485,0.48944658041000366
11B,11B,11,54063,15,1,0.9467602611767753,0.939559402918817,0.017307162284851074
11B,11B,11,54063,15,5,0.9842985652541172,0.9523592845384089,0.20895272493362427
11B,11B,11,54063,15,10,0.9880855051822256,0.9632650796293214,0.126886785030365
11B,11B,11,54063,15,20,0.9884381801478522,0.9677690842165622,0.2254907488822937
11B,11B,11,54063,15,50,0.9848941666820807,0.959445461776076,0.292389452457428
11B,11B,11,54063,15,100,0.9800134411088298,0.9457669755655439,0.29754602909088135
11B,11B,11,54063,15,200,0.9754533291406939,0.9382017276140799,0.3198484182357788
11B,11B,11,54063,15,500,0.9530510700479071,0.9085844292769547,0.5750256776809692
11B,11B,11,54063,15,1000,0.9033448630918249,0.8555629543310582,0.6378456354141235
11C,11C,11,54102,6,1,0.9528883713479477,0.9586059665077077,0.003743469715118408
