held_out_serotype,held_out_genogroup,n_query,genogroup_hit_rate,modal_nn_serotype,modal_nn_serotype_frac,modal_nn_genogroup,modal_nn_genogroup_frac,median_nn_distance
11D,11,2,1.0,11A,1.0,11,1.0,0.0364438
10C,10,1,1.0,10F,1.0,10,1.0,0.103406906
18B,18,13,1.0,18C,1.0,18,1.0,0.0021021962
15F,15,9,1.0,15A,1.0,15,1.0,0.00064891577
12B,12_44_46,13,1.0,12F,0.6923076923076923,12_44_46,1.0,0.0
9A,9,2,1.0,9V,1.0,9,1.0,0.0003646016
35D,35B_35D,15,1.0,35B,1.0,35B_35D,1.0,0.00015169382
33A/33F,33A_33F_37,1,1.0,33F,1.0,33A_33F_37,1.0,0.0
25A,25A_25F_38,4,1.0,38,0.75,25A_25F_38,1.0,0.0010357201
20C,20,2,1.0,20B,1.0,20,1.0,0.0002810061023225
25F,25A_25F_38,18,0.9444444444444444,38,0.9444444444444444,25A_25F_38,0.9444444444444444,0.013258696
11B,11,15,0.9333333333333333,11C,0.8666666666666667,11,0.9333333333333333,0.08363587
11,11,10,0.9,11A,0.7,11,0.9,2.63154505e-05
11E,11,15,0.8666666666666667,11A,0.7333333333333333,11,0.8666666666666667,0.00090777874
7B,7B_7C_40,13,0.8461538461538461,7C,0.8461538461538461,7B_7C_40,0.8461538461538461,1.5497208e-05
12A,12_44_46,5,0.8,46,0.4,12_44_46,0.8,0.0005184412
38,25A_25F_38,51,0.7647058823529411,25F,0.45098039215686275,25A_25F_38,0.7647058823529411,0.07010174
20,20,11,0.7272727272727273,20A,0.5454545454545454,20,0.7272727272727273,5.9902668e-05
9L,9,22,0.7272727272727273,9N,0.7272727272727273,9,0.7272727272727273,0.057075292
23A,23,44,0.7272727272727273,23F,0.6363636363636364,23,0.7272727272727273,0.056717098
35B,35B_35D,37,0.7027027027027027,35D,0.7027027027027027,35B_35D,0.7027027027027027,0.021358848
35C,35A_35C_42,10,0.7,42,0.4,35A_35C_42,0.7,0.07679736749999999
11A,11,41,0.6829268292682927,11E,0.34146341463414637,11,0.6829268292682927,0.044995606
24F,Serogroup 24,24,0.6666666666666666,Serogroup 24,0.6666666666666666,Serogroup 24,0.6666666666666666,0.00010454655
42,35A_35C_42,3,0.6666666666666666,35C,0.6666666666666666,35A_35C_42,0.6666666666666666,0.014918864
35B/35D,35B_35D,3,0.6666666666666666,35B,0.6666666666666666,35B_35D,0.6666666666666666,0.030326128
40,7B_7C_40,6,0.6666666666666666,7C,0.6666666666666666,7B_7C_40,0.6666666666666666,0.0142326355
11C,11,6,0.6666666666666666,11B,0.6666666666666666,11,0.6666666666666666,0.03831014
6C,6,78,0.6538461538461539,6A,0.46153846153846156,6,0.6538461538461539,0.08610946
18C,18,43,0.6511627906976745,18B,0.6511627906976745,18,0.6511627906976745,0.038077295
20A,20,28,0.6428571428571429,20B,0.39285714285714285,20,0.6428571428571429,0.053228108999999996
6A,6,77,0.6363636363636364,6B,0.5584415584415584,6,0.6363636363636364,0.06773192
6D,6,18,0.6111111111111112,6C,0.4444444444444444,6,0.6111111111111112,0.0163061915
12F,12_44_46,67,0.5970149253731343,46,0.44776119402985076,12_44_46,0.5970149253731343,0.13128209
15B,15,32,0.59375,15B/C,0.34375,15,0.59375,0.0012960731720000002
6B,6,92,0.5869565217391305,6A,0.4891304347826087,6,0.5869565217391305,0.007492035649999999
35A,35A_35C_42,12,0.5833333333333334,42,0.4166666666666667,35A_35C_42,0.5833333333333334,0.129073263
