sample_id,true_serotype,true_serogroup,ALLCAPS,ProkBERT,benchmark
SRR26931333,8,8,8,8,GPS benchmark
SRR26673471,19A,19,19A,19A,GPS benchmark
ERR979905,19A,19,19A,19A,GPS benchmark
ERR730234,10A,10,10A,10A,GPS benchmark
ERR1202491,23F,23,23F,23F,GPS benchmark
SRR26797944,3,3,3,3,GPS benchmark
ERR3227796,19F,19,19F,19F,GPS benchmark
ERR1202425,3,3,3,3,GPS benchmark
SRR26818646,8,8,8,8,GPS benchmark
ERR730145,34,34,34,34,GPS benchmark
ERR701869,6A,6,6A,6A,GPS benchmark
ERR505639,14,14,14,14,GPS benchmark
SRR26749318,22F,22,22F,22F,GPS benchmark
SRR26672759,23A,23,23A,23A,GPS benchmark
ERR2667549,5,5,5,5,GPS benchmark
ERR1453654,11A,11,11A,11E,GPS benchmark
ERR1065378,19A,19,19A,19A,GPS benchmark
ERR1788368,14,14,14,14,GPS benchmark
ERR909121,17F,17,17F,17F,GPS benchmark
SRR26789254,10A,10,10A,10A,GPS benchmark
ERR913213,19F,19,19F,19F,GPS benchmark
ERR1065498,17F,17,17F,17F,GPS benchmark
SRR26910923,12F,12,12F,12F,GPS benchmark
SRR26883972,8,8,8,8,GPS benchmark
SRR26880231,8,8,8,8,GPS benchmark
ERR14653975,6B,6,6A,6A,GPS benchmark
ERR1065349,11A,11,11A,11A,GPS benchmark
ERR1106757,15A,15,15A,15A,GPS benchmark
SRR26880386,3,3,3,3,GPS benchmark
SRR26818319,9N,9,9N,9N,GPS benchmark
ERR1191943,6A,6,6A,6A,GPS benchmark
SRR26883996,8,8,8,8,GPS benchmark
ERR1453623,6B,6,6B,6E,GPS benchmark
ERR1202133,20A,20,20A,20A,GPS benchmark
SRR26672922,3,3,3,3,GPS benchmark
SRR26818576,3,3,3,3,GPS benchmark
ERR2667830,11A,11,11A,11A,GPS benchmark
ERR2089311,18C,18,18C,18C,GPS benchmark
ERR884371,19F,19,19F,19F,GPS benchmark
SRR26817799,8,8,8,8,GPS benchmark
SRR26834008,9N,9,9N,9N,GPS benchmark
SRR26931756,8,8,8,8,GPS benchmark
ERR1214592,23F,23,23F,23F,GPS benchmark
ERR13374671,33F,33,33F,33F,GPS benchmark
ERR1638463,3,3,3,3,GPS benchmark
SRR26879914,8,8,8,8,GPS benchmark
SRR26714589,12F,12,12F,12F,GPS benchmark
ERR979957,19F,19,19F,19F,GPS benchmark
ERR845739,35F,35,35F,35F,GPS benchmark
ERR1214609,35C,35,35C,35C,GPS benchmark
ERR13366082,11B,11,11B,11B,GPS benchmark
SRR26749685,8,8,8,8,GPS benchmark
SRR26594809,17F,17,17F,17F,GPS benchmark
SRR26817736,16F,16,16F,16F,GPS benchmark
SRR26884345,19A,19,19A,19A,GPS benchmark
SRR26673621,8,8,8,8,GPS benchmark
ERR751016,19F,19,19F,19F,GPS benchmark
SRR26884234,10A,10,10A,10A,GPS benchmark
ERR1202454,23F,23,23F,23F,GPS benchmark
ERR2667518,27,27,27,27,GPS benchmark
ERR742520,4,4,4,4,GPS benchmark
ERR742372,6C,6,6C,6C,GPS benchmark
ERR1066353,7C,7,7C,7C,GPS benchmark
ERR3796772,24F,24,24F,24F,GPS benchmark
ERR925079,16F,16,16F,16F,GPS benchmark
ERR774099,6A,6,6A,6A,GPS benchmark
ERR425405,14,14,14,14,GPS benchmark
SRR26817780,3,3,3,3,GPS benchmark
ERR1453535,6B,6,6A,6A,GPS benchmark
SRR26930274,31,31,31,31,GPS benchmark
ERR449165,18C,18,18C,18C,GPS benchmark
SRR26910453,15A,15,15A,15A,GPS benchmark
ERR13365328,6C,6,6C,6C,GPS benchmark
SRR26673249,8,8,8,8,GPS benchmark
SRR26749969,23B,23,23B,23B,GPS benchmark
ERR714403,1,1,1,1,GPS benchmark
ERR925105,31,31,31,31,GPS benchmark
ERR316640,18C,18,18C,18C,GPS benchmark
SRR26714971,8,8,8,8,GPS benchmark
ERR3831144,24F,24,24F,24F,GPS benchmark
SRR26878331,9N,9,9N,9N,GPS benchmark
ERR925227,4,4,4,4,GPS benchmark
SRR26834287,3,3,3,3,GPS benchmark
SRR26789865,8,8,8,8,GPS benchmark
SRR26797243,8,8,8,8,GPS benchmark
ERR1422598,19A,19,19A,19A,GPS benchmark
SRR26797642,8,8,8,8,GPS benchmark
ERR730902,16F,16,16F,16F,GPS benchmark
SRR26714144,20B,20,20B,20B,GPS benchmark
ERR2681130,6A,6,6A,6A,GPS benchmark
SRR26879599,9N,9,9N,9N,GPS benchmark
SRR26878695,35F,35,35F,35F,GPS benchmark
ERR2091226,14,14,14,14,GPS benchmark
SRR26817975,7C,7,7C,7C,GPS benchmark
SRR26834082,38,38,38,38,GPS benchmark
ERR913223,9V,9,9V,9V,GPS benchmark
ERR600139,38,38,38,25F,GPS benchmark
ERR1202356,6A,6,6A,6A,GPS benchmark
SRR26884391,8,8,8,8,GPS benchmark
ERR3270809,6A,6,6A,6A,GPS benchmark
ERR862451,16F,16,16F,16F,GPS benchmark
SRR26797303,8,8,8,8,GPS benchmark
SRR26930163,19A,19,19A,19A,GPS benchmark
SRR26714725,23B,23,23B,23B,GPS benchmark
SRR26789437,11A,11,11A,11D,GPS benchmark
ERR774139,6A,6,6A,6A,GPS benchmark
ERR3303239,23F,23,23F,23F,GPS benchmark
SRR26880426,3,3,3,3,GPS benchmark
ERR984284,10A,10,10A,10A,GPS benchmark
ERR1540720,14,14,14,14,GPS benchmark
SRR26877910,19A,19,19A,19A,GPS benchmark
SRR26884552,31,31,31,31,GPS benchmark
SRR26749892,8,8,8,8,GPS benchmark
ERR501475,7F,7,7F,7F,GPS benchmark
ERR714541,1,1,1,1,GPS benchmark
ERR3270822,17F,17,17F,17F,GPS benchmark
SRR26883964,8,8,8,8,GPS benchmark
ERR13364597,9V,9,9V,9V,GPS benchmark
ERR750766,5,5,5,5,GPS benchmark
ERR433695,18C,18,18C,18C,GPS benchmark
ERR13364813,19F,19,19F,19F,GPS benchmark
SRR26797868,6C,6,6C,6C,GPS benchmark
SRR26834046,3,3,3,3,GPS benchmark
ERR568447,1,1,1,1,GPS benchmark
ERR980054,9V,9,9V,9V,GPS benchmark
ERR1202509,4,4,4,4,GPS benchmark
ERR773904,19A,19,19A,19A,GPS benchmark
SRR26834261,10A,10,10A,10A,GPS benchmark
ERR316607,9V,9,14,12B,GPS benchmark
ERR870231,33F,33,33F,33F,GPS benchmark
ERR2089419,24F,24,24F,24F,GPS benchmark
SRR26833880,11A,11,11A,9L,GPS benchmark
SRR26714939,19A,19,19A,19A,GPS benchmark
ERR750799,6C,6,6C,6D,GPS benchmark
ERR774477,19A,19,19A,19A,GPS benchmark
ERR1658086,34,34,34,34,GPS benchmark
SRR26878467,9N,9,9N,9N,GPS benchmark
SRR26789386,35B,35,35B,35D,GPS benchmark
ERR505747,19A,19,19A,29,GPS benchmark
SRR26911030,7C,7,7C,7C,GPS benchmark
ERR2091237,1,1,1,1,GPS benchmark
ERR714384,7F,7,7F,7F,GPS benchmark
ERR979995,6A,6,6A,6A,GPS benchmark
SRR26930986,16F,16,16F,4,GPS benchmark
ERR884553,23F,23,23F,23F,GPS benchmark
ERR876469,14,14,14,14,GPS benchmark
ERR1106709,38,38,38,38,GPS benchmark
SRR26931674,8,8,8,8,GPS benchmark
ERR2667382,6B,6,6A,6A,GPS benchmark
ERR870251,13,13,13,13,GPS benchmark
ERR1066017,6A,6,6A,6A,GPS benchmark
ERR2680811,23F,23,23F,23F,GPS benchmark
ERR2090901,5,5,5,5,GPS benchmark
SRR26594873,8,8,8,8,GPS benchmark
SRR26789321,9N,9,9N,9N,GPS benchmark
ERR774019,7C,7,7C,7C,GPS benchmark
ERR1106801,23B,23,23B,23B,GPS benchmark
SRR26789821,23A,23,23A,23A,GPS benchmark
ERR2089355,33D,33,33D,33D,GPS benchmark
ERR449193,4,4,4,4,GPS benchmark
SRR26789450,8,8,8,8,GPS benchmark
ERR4501395,19A,19,19A,19A,GPS benchmark
ERR730575,6B,6,6B,6B,GPS benchmark
SRR26931296,22F,22,22F,22F,GPS benchmark
SRR26818280,7C,7,7C,7C,GPS benchmark
ERR13365795,23B,23,23B,23B,GPS benchmark
ERR980118,11A,11,11A,11A,GPS benchmark
ERR884473,39,39,39,39,GPS benchmark
ERR568706,18C,18,18C,18B,GPS benchmark
SRR26673052,35B,35,35B,35B,GPS benchmark
SRR26749696,12F,12,12F,12F,GPS benchmark
ERR1214395,15A,15,15A,15A,GPS benchmark
ERR13365708,4,4,4,4,GPS benchmark
SRR26930594,23B,23,23B,23B,GPS benchmark
ERR3796850,24F,24,24F,24A,GPS benchmark
SRR26930956,10A,10,10A,10A,GPS benchmark
ERR1836940,28A,28,28A,28A,GPS benchmark
ERR13365307,9N,9,9N,9N,GPS benchmark
ERR3796488,14,14,14,14,GPS benchmark
ERR862383,9V,9,9V,9V,GPS benchmark
ERR568713,6B,6,6B,6A,GPS benchmark
ERR751065,5,5,5,5,GPS benchmark
ERR2090818,12F,12,12F,12F,GPS benchmark
ERR750920,18C,18,18C,18C,GPS benchmark
SRR26749960,3,3,3,3,GPS benchmark
SRR26910317,8,8,8,8,GPS benchmark
ERR909284,16F,16,16F,16F,GPS benchmark
SRR26714486,12F,12,12F,12F,GPS benchmark
SRR26834203,8,8,8,8,GPS benchmark
SRR26789588,8,8,8,8,GPS benchmark
SRR26714721,11E,11,11A,11E,GPS benchmark
SRR26749691,12F,12,12F,12F,GPS benchmark
SRR26931405,8,8,8,8,GPS benchmark
ERR1065935,16F,16,16F,16F,GPS benchmark
SRR26930154,15A,15,15A,15A,GPS benchmark
ERR425476,7F,7,7F,7F,GPS benchmark
ERR876443,14,14,14,14,GPS benchmark
ERR751130,14,14,14,14,GPS benchmark
ERR13364524,19F,19,19F,19F,GPS benchmark
ERR568544,3,3,3,3,GPS benchmark
ERR568437,6A,6,6A,13,GPS benchmark
ERR774628,33F,33,33F,33F,GPS benchmark
ERR1202118,13,13,13,13,GPS benchmark
ERR1288829,10B,10,10B,10B,GPS benchmark
ERR1202569,3,3,3,3,GPS benchmark
ERR751160,35F,35,35F,35F,GPS benchmark
SRR26879500,3,3,3,3,GPS benchmark
ERR884694,19A,19,19A,19A,GPS benchmark
ERR1065624,1,1,1,1,GPS benchmark
ERR2681302,28F,28,28A,28F,GPS benchmark
ERR774481,3,3,3,3,GPS benchmark
SRR26879726,8,8,8,8,GPS benchmark
SRR26910962,17F,17,17F,17F,GPS benchmark
SRR26797219,22F,22,22F,22F,GPS benchmark
SRR26833704,19F,19,19F,19F,GPS benchmark
ERR1788043,12F,12,12F,12F,GPS benchmark
ERR984238,35B,35,35B,35D,GPS benchmark
SRR26880042,8,8,8,8,GPS benchmark
SRR26594437,8,8,8,8,GPS benchmark
SRR26910429,19A,19,19A,19A,GPS benchmark
SRR26878326,19A,19,19A,19A,GPS benchmark
ERR13365680,19F,19,19F,19F,GPS benchmark
SRR26789398,15A,15,15A,15A,GPS benchmark
SRR26911015,15A,15,15A,15A,GPS benchmark
ERR2667901,5,5,5,5,GPS benchmark
ERR1065576,14,14,14,14,GPS benchmark
ERR2667808,4,4,4,4,GPS benchmark
ERR2853516,19A,19,19A,19A,GPS benchmark
ERR2667996,17F,17,17F,17F,GPS benchmark
ERR1540817,10A,10,10A,10A,GPS benchmark
ERR845748,19F,19,19F,19F,GPS benchmark
SRR26673375,19A,19,19A,19A,GPS benchmark
ERR600231,22F,22,22F,22F,GPS benchmark
ERR869902,14,14,14,14,GPS benchmark
SRR26672907,8,8,8,8,GPS benchmark
ERR2853650,19A,19,19A,19A,GPS benchmark
ERR1788282,19A,19,19A,19A,GPS benchmark
ERR3270824,19A,19,19A,19A,GPS benchmark
ERR3270716,21,21,21,21,GPS benchmark
ERR870022,19F,19,19F,9V,GPS benchmark
SRR26834183,15A,15,15A,15A,GPS benchmark
SRR26673098,7C,7,7C,7C,GPS benchmark
ERR701848,6A,6,6A,6A,GPS benchmark
ERR1066002,11A,11,11A,11A,GPS benchmark
ERR714578,14,14,14,14,GPS benchmark
ERR13365402,12F,12,12F,12F,GPS benchmark
ERR870056,5,5,5,5,GPS benchmark
SRR26817911,8,8,8,8,GPS benchmark
SRR26673662,3,3,3,3,GPS benchmark
ERR714676,4,4,4,4,GPS benchmark
ERR1453667,23F,23,23F,23F,GPS benchmark
ERR742784,6A,6,6A,6A,GPS benchmark
SRR26715065,3,3,3,3,GPS benchmark
ERR2213029,14,14,14,14,GPS benchmark
SRR26594493,8,8,8,8,GPS benchmark
SRR26931437,9N,9,9N,9N,GPS benchmark
SRR26789933,8,8,8,8,GPS benchmark
ERR13365193,7F,7,7F,7F,GPS benchmark
SRR26931820,12F,12,12F,12F,GPS benchmark
ERR433637,6C,6,6C,6C,GPS benchmark
ERR13365117,23F,23,23F,23F,GPS benchmark
ERR1192022,11A,11,11A,11A,GPS benchmark
ERR568715,1,1,1,1,GPS benchmark
ERR600130,6C,6,6C,6D,GPS benchmark
ERR884655,15A,15,15A,15A,GPS benchmark
SRR26884719,33F,33,33F,33F,GPS benchmark
ERR2853510,19A,19,19A,19A,GPS benchmark
ERR13365134,9N,9,9N,9N,GPS benchmark
ERR913335,19A,19,19A,19A,GPS benchmark
SRR26931072,3,3,3,3,GPS benchmark
ERR13374969,3,3,3,3,GPS benchmark
SRR26594825,17F,17,17F,17F,GPS benchmark
SRR26818529,11E,11,3,3,GPS benchmark
SRR26878367,10A,10,10A,10A,GPS benchmark
ERR884376,23F,23,23F,23F,GPS benchmark
SRR26749387,8,8,8,8,GPS benchmark
SRR26930252,8,8,8,8,GPS benchmark
SRR26672953,8,8,8,8,GPS benchmark
SRR26833854,3,3,3,3,GPS benchmark
ERR600161,19F,19,19F,19F,GPS benchmark
SRR26749901,8,8,8,8,GPS benchmark
ERR884399,14,14,14,14,GPS benchmark
ERR1756487,1,1,1,1,GPS benchmark
SRR26878047,8,8,8,8,GPS benchmark
ERR2091140,1,1,1,1,GPS benchmark
SRR26879781,3,3,3,3,GPS benchmark
ERR980220,1,1,1,1,GPS benchmark
ERR730403,10A,10,10A,10A,GPS benchmark
SRR26749612,12F,12,12F,12F,GPS benchmark
ERR3796372,14,14,14,14,GPS benchmark
SRR26797715,8,8,8,8,GPS benchmark
ERR13364720,22F,22,22F,22F,GPS benchmark
ERR326700,9V,9,9V,9V,GPS benchmark
ERR13365784,38,38,38,29,GPS benchmark
SRR26930964,8,8,8,8,GPS benchmark
SRR26930266,10A,10,10A,10A,GPS benchmark
ERR13374688,19A,19,19A,19A,GPS benchmark
ERR2090233,19F,19,19F,19F,GPS benchmark
ERR2089459,9V,9,9V,9V,GPS benchmark
ERR980187,3,3,3,3,GPS benchmark
SRR26833814,16F,16,16F,16F,GPS benchmark
ERR884358,23F,23,23F,23F,GPS benchmark
ERR1453684,15A,15,15A,15A,GPS benchmark
ERR2681252,11A,11,11A,11A,GPS benchmark
SRR26877759,8,8,8,8,GPS benchmark
ERR2667394,35B,35,35B,35D,GPS benchmark
ERR884460,19A,19,19A,19A,GPS benchmark
