sample_id,true_serotype,true_serogroup,dataset,benchmark
ERR1788086,19A,19,Training,GPS benchmark
ERR3796576,24F,24,Training,GPS benchmark
ERR2667694,19A,19,Training,GPS benchmark
ERR2667715,23F,23,Training,GPS benchmark
SRR26930632,12F,12,Training,GPS benchmark
SRR26594543,20B,20,Training,GPS benchmark
SRR26749669,3,3,Training,GPS benchmark
SRR26910486,22F,22,Training,GPS benchmark
SRR26878107,33F,33,Training,GPS benchmark
SRR26931333,8,8,Testing,GPS benchmark
ERR568629,6A,6,Training,GPS benchmark
ERR8481615,21,21,Training,GPS benchmark
ERR900672,4,4,Training,GPS benchmark
SRR26749497,15A,15,Training,GPS benchmark
ERR2681127,15B/C,15,Testing,GPS benchmark
SRR26878547,17F,17,Training,GPS benchmark
SRR26673471,19A,19,Testing,GPS benchmark
ERR2090163,2,2,Training,GPS benchmark
ERR2853428,19A,19,Training,GPS benchmark
ERR1788574,19A,19,Training,GPS benchmark
ERR1214325,3,3,Training,GPS benchmark
ERR730772,14,14,Training,GPS benchmark
SRR26930758,7C,7,Training,GPS benchmark
SRR26884672,16F,16,Training,GPS benchmark
SRR26714537,22F,22,Training,GPS benchmark
ERR1422487,19F,19,Training,GPS benchmark
SRR26797019,19A,19,Training,GPS benchmark
SRR26673551,22F,22,Training,GPS benchmark
ERR1422395,7F,7,Training,GPS benchmark
ERR662359,22F,22,Training,GPS benchmark
ERR1065251,6A,6,Training,GPS benchmark
ERR490721,23F,23,Training,GPS benchmark
SRR26883987,12F,12,Training,GPS benchmark
ERR913563,15B/C,15,Training,GPS benchmark
ERR1788386,7F,7,Training,GPS benchmark
SRR26594494,20B,20,Training,GPS benchmark
ERR2090681,5,5,Training,GPS benchmark
ERR13364933,19A,19,Training,GPS benchmark
ERR9796490,19A,19,Training,GPS benchmark
ERR13365273,3,3,Training,GPS benchmark
ERR319399,6C,6,Training,GPS benchmark
ERR876471,14,14,Training,GPS benchmark
ERR1191881,18A,18,Training,GPS benchmark
ERR13366076,16F,16,Training,GPS benchmark
ERR730652,7C,7,Training,GPS benchmark
ERR979905,19A,19,Testing,GPS benchmark
ERR2680688,15B/C,15,Training,GPS benchmark
SRR26714565,19A,19,Training,GPS benchmark
SRR26749751,15A,15,Training,GPS benchmark
SRR26834399,19A,19,Training,GPS benchmark
ERR3796639,24F,24,Training,GPS benchmark
SRR26749196,8,8,Training,GPS benchmark
ERR742667,9V,9,Training,GPS benchmark
ERR1066282,23F,23,Training,GPS benchmark
ERR1214387,19F,19,Training,GPS benchmark
SRR26750019,12F,12,Training,GPS benchmark
ERR600521,19F,19,Training,GPS benchmark
ERR662444,35F,35,Training,GPS benchmark
SRR26673182,3,3,Training,GPS benchmark
SRR26672925,4,4,Training,GPS benchmark
ERR1214642,6B,6,Training,GPS benchmark
ERR326329,6A,6,Training,GPS benchmark
SRR26931030,8,8,Training,GPS benchmark
ERR909316,19F,19,Training,GPS benchmark
ERR13365895,3,3,Training,GPS benchmark
ERR586334,6B,6,Training,GPS benchmark
ERR1540691,7B,7,Training,GPS benchmark
ERR501499,16F,16,Training,GPS benchmark
ERR730234,10A,10,Testing,GPS benchmark
SRR26931235,24,24,Training,GPS benchmark
SRR26818031,22F,22,Training,GPS benchmark
ERR3227790,34,34,Training,GPS benchmark
ERR570406,18B,18,Training,GPS benchmark
SRR26749648,19F,19,Training,GPS benchmark
SRR26797417,8,8,Training,GPS benchmark
ERR1214685,14,14,Training,GPS benchmark
ERR980352,19F,19,Training,GPS benchmark
SRR26797505,16F,16,Training,GPS benchmark
ERR1453742,15B/C,15,Training,GPS benchmark
ERR1065129,17F,17,Training,GPS benchmark
ERR900699,6B,6,Training,GPS benchmark
ERR913085,16F,16,Training,GPS benchmark
SRR26749664,16F,16,Training,GPS benchmark
ERR2091088,14,14,Training,GPS benchmark
SRR26880066,8,8,Training,GPS benchmark
ERR2680984,23F,23,Training,GPS benchmark
ERR1788255,35C,35,Training,GPS benchmark
SRR26673001,22F,22,Training,GPS benchmark
ERR1192107,19A,19,Training,GPS benchmark
SRR26749193,35F,35,Training,GPS benchmark
ERR1430886,15B/C,15,Training,GPS benchmark
SRR26818604,8,8,Training,GPS benchmark
SRR26818385,22F,22,Training,GPS benchmark
ERR1202491,23F,23,Testing,GPS benchmark
SRR26931086,10A,10,Training,GPS benchmark
ERR568653,9V,9,Training,GPS benchmark
ERR13365283,23A,23,Training,GPS benchmark
ERR1453463,21,21,Training,GPS benchmark
ERR3796614,24F,24,Training,GPS benchmark
ERR2667127,3,3,Training,GPS benchmark
ERR730498,9V,9,Training,GPS benchmark
ERR326704,8,8,Training,GPS benchmark
ERR633081,8,8,Training,GPS benchmark
ERR862428,22A,22,Training,GPS benchmark
ERR13366155,22F,22,Training,GPS benchmark
ERR1788291,3,3,Training,GPS benchmark
SRR26884658,35B,35,Training,GPS benchmark
ERR714159,35D,35,Training,GPS benchmark
SRR26878707,10A,10,Training,GPS benchmark
ERR326542,19F,19,Training,GPS benchmark
SRR26595086,6C,6,Training,GPS benchmark
