sample_id,Contig_ID,true_serotype,true_serogroup,dataset,benchmark
ERR1788086,7,19A,19,Training,GPS benchmark
ERR1788086,17,19A,19,Training,GPS benchmark
ERR3796576,2,24F,24,Training,GPS benchmark
ERR2667694,2,19A,19,Training,GPS benchmark
ERR2667715,2,23F,23,Training,GPS benchmark
SRR26930632,1,12F,12,Training,GPS benchmark
SRR26930632,10,12F,12,Training,GPS benchmark
SRR26594543,1,20B,20,Training,GPS benchmark
SRR26594543,8,20B,20,Training,GPS benchmark
SRR26749669,12,3,3,Training,GPS benchmark
SRR26910486,6,22F,22,Training,GPS benchmark
SRR26910486,9,22F,22,Training,GPS benchmark
SRR26878107,2,33F,33,Training,GPS benchmark
SRR26878107,16,33F,33,Training,GPS benchmark
SRR26931333,8,8,8,Testing,GPS benchmark
SRR26931333,15,8,8,Testing,GPS benchmark
ERR568629,4,6A,6,Training,GPS benchmark
ERR8481615,5,21,21,Training,GPS benchmark
ERR8481615,17,21,21,Training,GPS benchmark
ERR900672,6,4,4,Training,GPS benchmark
ERR900672,58,4,4,Training,GPS benchmark
SRR26749497,1,15A,15,Training,GPS benchmark
ERR2681127,2,15B/C,15,Testing,GPS benchmark
SRR26878547,2,17F,17,Training,GPS benchmark
SRR26673471,1,19A,19,Testing,GPS benchmark
ERR2090163,3,2,2,Training,GPS benchmark
ERR2853428,1,19A,19,Training,GPS benchmark
ERR1788574,7,19A,19,Training,GPS benchmark
ERR1214325,4,3,3,Training,GPS benchmark
ERR730772,2,14,14,Training,GPS benchmark
ERR730772,5,14,14,Training,GPS benchmark
SRR26930758,1,7C,7,Training,GPS benchmark
SRR26884672,4,16F,16,Training,GPS benchmark
SRR26884672,35,16F,16,Training,GPS benchmark
SRR26714537,2,22F,22,Training,GPS benchmark
SRR26714537,4,22F,22,Training,GPS benchmark
ERR1422487,2,19F,19,Training,GPS benchmark
ERR1422487,34,19F,19,Training,GPS benchmark
SRR26797019,2,19A,19,Training,GPS benchmark
SRR26673551,1,22F,22,Training,GPS benchmark
SRR26673551,17,22F,22,Training,GPS benchmark
ERR1422395,3,7F,7,Training,GPS benchmark
ERR662359,6,22F,22,Training,GPS benchmark
ERR662359,93,22F,22,Training,GPS benchmark
ERR1065251,1,6A,6,Training,GPS benchmark
ERR490721,11,23F,23,Training,GPS benchmark
ERR490721,18,23F,23,Training,GPS benchmark
SRR26883987,1,12F,12,Training,GPS benchmark
SRR26883987,9,12F,12,Training,GPS benchmark
ERR913563,2,15B/C,15,Training,GPS benchmark
ERR913563,7,15B/C,15,Training,GPS benchmark
ERR1788386,22,7F,7,Training,GPS benchmark
ERR1788386,48,7F,7,Training,GPS benchmark
SRR26594494,1,20B,20,Training,GPS benchmark
SRR26594494,4,20B,20,Training,GPS benchmark
ERR2090681,1,5,5,Training,GPS benchmark
ERR2090681,24,5,5,Training,GPS benchmark
ERR13364933,1,19A,19,Training,GPS benchmark
ERR9796490,1,19A,19,Training,GPS benchmark
ERR13365273,10,3,3,Training,GPS benchmark
ERR319399,15,6C,6,Training,GPS benchmark
ERR319399,102,6C,6,Training,GPS benchmark
ERR876471,12,14,14,Training,GPS benchmark
ERR876471,26,14,14,Training,GPS benchmark
ERR1191881,2,18A,18,Training,GPS benchmark
