benchmark,analysis,tool,class,TP,FP,FN,TN,Total,sensitivity,specificity,precision,accuracy,f1
GPS_benchmark,serotype_exact,ALLCAPS,15B,18,4,5,3641,23,0.782608695652174,0.9989026063100136,0.8181818181818182,0.997546346782988,0.8
GPS_benchmark,serotype_exact,ALLCAPS,15C,8,0,5,3655,13,0.6153846153846154,1,1,0.9986368593238822,0.761904761904762
GPS_benchmark,serotype_exact,ALLCAPS,20A,10,1,2,3655,12,0.8333333333333334,0.99972647702407,0.9090909090909092,0.9991821155943292,0.8695652173913043
GPS_benchmark,serotype_exact,ALLCAPS,20B,19,5,1,3643,20,0.95,0.9986293859649122,0.7916666666666666,0.9983642311886588,0.8636363636363635
GPS_benchmark,serotype_exact,ALLCAPS,24A,2,2,1,3663,3,0.6666666666666666,0.9994542974079128,0.5,0.9991821155943292,0.5714285714285715
GPS_benchmark,serotype_exact,ALLCAPS,24F,62,0,2,3604,64,0.96875,1,1,0.9994547437295528,0.984126984126984
GPS_benchmark,serotype_exact,PfaSTer,15B,21,1,2,3644,23,0.9130434782608696,0.9997256515775036,0.9545454545454546,0.9991821155943292,0.9333333333333332
GPS_benchmark,serotype_exact,PfaSTer,15C,11,2,2,3653,13,0.8461538461538461,0.999452804377565,0.8461538461538461,0.9989094874591058,0.8461538461538461
GPS_benchmark,serotype_exact,PfaSTer,20A,0,0,12,3656,12,0,1,0,0.9967284623773174,0
GPS_benchmark,serotype_exact,PfaSTer,20B,0,0,20,3648,20,0,1,0,0.9945474372955287,0
GPS_benchmark,serotype_exact,PfaSTer,24A,0,0,3,3665,3,0,1,0,0.9991821155943292,0
GPS_benchmark,serotype_exact,PfaSTer,24F,53,1,11,3603,64,0.828125,0.9997225305216426,0.9814814814814816,0.9967284623773174,0.8983050847457628
GPS_benchmark,serotype_exact,PneumoCaT,15B,12,8,11,3637,23,0.5217391304347826,0.9978052126200274,0.6,0.9948200654307524,0.5581395348837209
GPS_benchmark,serotype_exact,PneumoCaT,15C,5,11,8,3644,13,0.38461538461538464,0.9969904240766074,0.3125,0.9948200654307524,0.3448275862068966
GPS_benchmark,serotype_exact,PneumoCaT,20A,0,0,12,3656,12,0,1,0,0.9967284623773174,0
GPS_benchmark,serotype_exact,PneumoCaT,20B,0,0,20,3648,20,0,1,0,0.9945474372955287,0
GPS_benchmark,serotype_exact,PneumoCaT,24A,0,0,3,3665,3,0,1,0,0.9991821155943292,0
GPS_benchmark,serotype_exact,PneumoCaT,24F,5,2,59,3602,64,0.078125,0.9994450610432852,0.7142857142857143,0.9833696837513632,0.14084507042253522
GPS_benchmark,serotype_exact,PneumoKITy,15B,0,0,23,3645,23,0,1,0,0.9937295528898582,0
GPS_benchmark,serotype_exact,PneumoKITy,15C,0,0,13,3655,13,0,1,0,0.9964558342420938,0
GPS_benchmark,serotype_exact,PneumoKITy,20A,0,0,12,3656,12,0,1,0,0.9967284623773174,0
GPS_benchmark,serotype_exact,PneumoKITy,20B,0,0,20,3648,20,0,1,0,0.9945474372955287,0
GPS_benchmark,serotype_exact,PneumoKITy,24A,0,0,3,3665,3,0,1,0,0.9991821155943292,0
GPS_benchmark,serotype_exact,PneumoKITy,24F,0,0,64,3604,64,0,1,0,0.9825517993456924,0
GPS_benchmark,serotype_exact,Pneumo-Typer,15B,21,1,2,3644,23,0.9130434782608696,0.9997256515775036,0.9545454545454546,0.9991821155943292,0.9333333333333332
GPS_benchmark,serotype_exact,Pneumo-Typer,15C,3,0,10,3655,13,0.2307692307692308,1,1,0.9972737186477644,0.375
GPS_benchmark,serotype_exact,Pneumo-Typer,20A,0,0,12,3656,12,0,1,0,0.9967284623773174,0
GPS_benchmark,serotype_exact,Pneumo-Typer,20B,0,0,20,3648,20,0,1,0,0.9945474372955287,0
GPS_benchmark,serotype_exact,Pneumo-Typer,24A,0,0,3,3665,3,0,1,0,0.9991821155943292,0
GPS_benchmark,serotype_exact,Pneumo-Typer,24F,5,2,59,3602,64,0.078125,0.9994450610432852,0.7142857142857143,0.9833696837513632,0.14084507042253522
GPS_benchmark,serotype_exact,SeroBA,15B,23,0,0,3645,23,1,1,1,1,1
GPS_benchmark,serotype_exact,SeroBA,15C,13,0,0,3655,13,1,1,1,1,1
GPS_benchmark,serotype_exact,SeroBA,20A,9,0,3,3656,12,0.75,1,1,0.9991821155943292,0.8571428571428571
