label,predicted_serogroup,final_serogroup_prediction,n,Proportion,GPSC_total
12,3,3,5864,0.998977853492334,5870
1,19,19,5417,0.962851048702453,5626
3,8,8,1767,0.3144128113879,5615
5;539,23,23,2738,0.622414185042055,4399
6,14,14,1066,0.282085207726912,3779
19,22,22,3320,0.988095238095238,3360
235;904;9,15,15,1826,0.553668890236507,3265
590;16,9,9,1654,0.5,3260
7,23,23,2979,0.972893533638145,3062
4,19,19,1659,0.556524656155652,2979
27,4,4,1795,0.627841902763204,2854
2,1,1,2402,0.878887669227955,2733
10,24,24,603,0.237682301931415,2537
18,14,14,1154,0.62176724137931,1855
36,10,10,955,0.562426383981154,1698
928;11,21,21,975,0.57556080283353,1692
32,9,9,325,0.19963144963145,1627
768;22;857;882;880,11,11,471,0.3273106323836,1438
46,16,16,1198,0.951548848292295,1258
23;821,6,6,1153,0.929838709677419,1240
13;825;811,6,6,1040,0.851760851760852,1221
124,20,20,1008,0.850632911392405,1182
8,5,5,1138,0.980189491817399,1161
17,19,19,1150,0.992234685073339,1159
24,6,6,884,0.765367965367965,1155
15,7,7,1057,0.965296803652968,1095
14,23,23,887,0.836792452830189,1060
25,15,15,836,0.795432921027593,1050
38,38,38,959,0.980572597137014,972
57,31,31,911,0.955928646379853,953
49;323,17,17,717,0.766025641025641,936
45,34,34,771,0.884174311926605,872
98,8,8,842,0.996449704142012,845
21,19,19,791,0.963459196102314,821
48,15,15,725,0.922391857506361,785
119,19,19,713,0.944370860927152,755
31,1,1,493,0.657333333333333,749
11,15,15,667,0.900134952766532,741
44,19,19,459,0.619433198380567,741
47,6,6,143,0.209677419354839,682
55,12,12,161,0.251170046801872,641
34,34,34,522,0.893835616438356,584
20,23,23,529,0.934628975265018,566
43,9,9,203,0.358024691358025,566
30,10,10,190,0.347349177330896,547
135,16,16,495,0.984095427435388,503
35,10,10,470,0.951417004048583,494
33,16,16,463,0.970649895178197,477
52,13,13,434,0.909853249475891,477
29,6,6,413,0.873150105708245,473
83,3,3,465,0.987261146496815,471
427,4,4,437,0.937768240343348,466
771;61,22,22,222,0.476394849785408,465
156,16,16,422,0.983682983682984,429
65,13,13,308,0.771929824561403,399
39,14,14,377,0.964194373401535,391
53,19,19,382,0.994791666666667,384
205,19,19,364,0.975871313672922,373
102,23,23,353,0.954054054054054,370
132,15,15,227,0.644886363636364,352
51,3,3,333,0.997005988023952,334
76,6,6,274,0.822822822822823,333
96,2,2,262,0.793939393939394,330
28,14,14,107,0.347402597402597,307
54,9,9,287,0.93485342019544,307
75,35,35,134,0.458904109589041,292
89,6,6,239,0.847517730496454,281
92,7,7,165,0.6,275
41,6,6,245,0.900735294117647,272
69,15,15,207,0.784090909090909,264
84,19,19,215,0.873983739837398,246
64,6,6,215,0.892116182572614,241
61,17,17,177,0.766233766233766,231
nan,19,19,147,0.636363636363636,230
162,4,4,171,0.766816143497758,223
126,35,35,214,0.97716894977169,219
178,6,6,194,0.941747572815534,206
62,6,6,196,0.96078431372549,204
116,23,23,195,0.984848484848485,198
93,7,7,170,0.965909090909091,176
175,19,19,157,0.902298850574713,174
355,10,10,126,0.754491017964072,167
58,6,6,141,0.927631578947368,152
63,6,6,137,0.901315789473684,152
217,34,34,148,0.986666666666667,150
376,6,6,118,0.797297297297297,148
137,9,9,142,1,142
268,16,16,122,0.865248226950355,141
140,15,15,122,0.897058823529412,136
95,18,18,109,0.807407407407407,135
104,16,16,128,0.962406015037594,133
224,8,8,123,0.931818181818182,132
170,23,23,115,0.942622950819672,122
111,6,6,109,0.956140350877193,114
103,16,16,107,0.955357142857143,112
321,6,6,110,0.990990990990991,111
90,19,19,102,0.935779816513762,109
