label,predicted_serotype,predicted_serogroup,nn_serogroup,final_serogroup_prediction,n,Proportion,GPSC_total
12,3,3,3,Novel,1,0.000170357751277683,5870
1,14,14,14,Novel,1,0.000177746178457163,5626
1,16F,16,16,Novel,1,0.000177746178457163,5626
1,19A,19,19,Novel,35,0.00622111624600071,5626
1,19F,19,19,Novel,159,0.0282616423746889,5626
1,20A,20,20,Novel,1,0.000177746178457163,5626
1,3,3,3,Novel,2,0.000355492356914326,5626
1,34,34,34,Novel,1,0.000177746178457163,5626
1,35B,35,35,Novel,1,0.000177746178457163,5626
1,9L,9,9,Novel,1,0.000177746178457163,5626
1,9V,9,46,Novel,1,0.000177746178457163,5626
3,10F,10,10,Novel,1,0.000178030977390066,5617
3,11A,11,11,Novel,33,0.00587502225387217,5617
3,15A,15,15,Novel,1,0.000178030977390066,5617
3,22F,22,22,Novel,12,0.00213637172868079,5617
3,23A,23,21,Novel,1,0.000178030977390066,5617
3,23F,23,23,Novel,1,0.000178030977390066,5617
3,3,3,3,Novel,1,0.000178030977390066,5617
3,33F,33,33,Novel,40,0.00712123909560263,5617
3,33F,33,37,Novel,1,0.000178030977390066,5617
3,6C,6,31,Novel,1,0.000178030977390066,5617
3,8,8,8,Novel,2,0.000356061954780132,5617
6,10A,10,10,Novel,1,0.000264620269912675,3779
6,11A,11,11,Novel,42,0.0111140513363324,3779
6,14,14,14,Novel,50,0.0132310134956338,3779
6,15A,15,15,Novel,7,0.00185234188938873,3779
6,15B,15,15,Novel,2,0.000529240539825351,3779
6,16F,16,15,Novel,1,0.000264620269912675,3779
6,16F,16,16,Novel,1,0.000264620269912675,3779
6,19A,19,19,Novel,1,0.000264620269912675,3779
6,19F,19,19,Novel,20,0.00529240539825351,3779
6,3,3,3,Novel,1,0.000264620269912675,3779
6,33F,33,33,Novel,1,0.000264620269912675,3779
6,35B,35,35,Novel,13,0.00344006350886478,3779
6,6B,6,6,Novel,1,0.000264620269912675,3779
6,8,8,8,Novel,1,0.000264620269912675,3779
6,9N,9,9,Novel,1,0.000264620269912675,3779
6,9V,9,11,Novel,3,0.000793860809738026,3779
6,9V,9,14,Novel,2,0.000529240539825351,3779
6,9V,9,9,Novel,27,0.00714474728764223,3779
19,16F,16,16,Novel,1,0.000297619047619048,3360
19,22F,22,22,Novel,27,0.00803571428571428,3360
19,9V,9,9,Novel,1,0.000297619047619048,3360
7,1,1,6,Novel,1,0.000326583932070542,3062
7,11A,11,11,Novel,1,0.000326583932070542,3062
7,13,13,13,Novel,1,0.000326583932070542,3062
7,14,14,14,Novel,1,0.000326583932070542,3062
7,14,14,20,Novel,1,0.000326583932070542,3062
7,15A,15,15,Novel,3,0.000979751796211626,3062
7,15A,15,3,Novel,1,0.000326583932070542,3062
7,16F,16,16,Novel,1,0.000326583932070542,3062
7,23A,23,17,Novel,1,0.000326583932070542,3062
7,23A,23,23,Novel,44,0.0143696930111039,3062
7,23B,23,23,Novel,18,0.00587851077726976,3062
7,23F,23,23,Novel,12,0.00391900718484651,3062
7,25F,25,25,Novel,1,0.000326583932070542,3062
7,6A,6,6,Novel,3,0.000979751796211626,3062
7,8,8,23,Novel,1,0.000326583932070542,3062
4,1,1,1,Novel,1,0.000335570469798658,2980
4,11A,11,11,Novel,3,0.00100671140939597,2980
4,14,14,14,Novel,2,0.000671140939597315,2980
4,14,14,15,Novel,1,0.000335570469798658,2980
4,14,14,20,Novel,2,0.000671140939597315,2980
4,15A,15,15,Novel,4,0.00134228187919463,2980
4,15B,15,15,Novel,12,0.00402684563758389,2980
4,15C,15,15,Novel,10,0.00335570469798658,2980
4,19A,19,19,Novel,62,0.0208053691275168,2980
4,19F,19,19,Novel,4,0.00134228187919463,2980
4,19F,19,23,Novel,1,0.000335570469798658,2980
4,19F,19,6,Novel,1,0.000335570469798658,2980
4,23B,23,16,Novel,1,0.000335570469798658,2980
4,23B,23,23,Novel,7,0.0023489932885906,2980
4,23F,23,19,Novel,1,0.000335570469798658,2980
4,23F,23,23,Novel,1,0.000335570469798658,2980
4,27,27,27,Novel,1,0.000335570469798658,2980
4,3,3,15,Novel,1,0.000335570469798658,2980
4,3,3,19,Novel,1,0.000335570469798658,2980
4,3,3,23,Novel,1,0.000335570469798658,2980
4,3,3,3,Novel,2,0.000671140939597315,2980
4,35A,35,35,Novel,1,0.000335570469798658,2980
4,35F,35,16,Novel,1,0.000335570469798658,2980
4,35F,35,19,Novel,1,0.000335570469798658,2980
4,35F,35,35,Novel,8,0.00268456375838926,2980
4,35F,35,6,Novel,2,0.000671140939597315,2980
4,4,4,15,Novel,1,0.000335570469798658,2980
4,4,4,4,Novel,1,0.000335570469798658,2980
4,6A,6,6,Novel,11,0.00369127516778523,2980
4,6B,6,35,Novel,1,0.000335570469798658,2980
4,6B,6,6,Novel,22,0.00738255033557047,2980
4,7C,7,7,Novel,2,0.000671140939597315,2980
4,8,8,23,Novel,1,0.000335570469798658,2980
4,8,8,8,Novel,3,0.00100671140939597,2980
4,9V,9,9,Novel,1,0.000335570469798658,2980
27,14,14,4,Novel,1,0.000350385423966363,2854
27,19A,19,19,Novel,7,0.00245269796776454,2854
27,19F,19,15,Novel,4,0.00140154169586545,2854
27,19F,19,19,Novel,1,0.000350385423966363,2854
27,21,21,21,Novel,1,0.000350385423966363,2854
27,4,4,4,Novel,32,0.0112123335669236,2854
27,9V,9,9,Novel,1,0.000350385423966363,2854
2,1,1,1,Novel,105,0.0384193194291987,2733
2,1,1,6,Novel,1,0.000365898280278083,2733
2,14,14,14,Novel,1,0.000365898280278083,2733
2,19B,19,19,Novel,1,0.000365898280278083,2733
2,19F,19,1,Novel,3,0.00109769484083425,2733
2,3,3,22,Novel,1,0.000365898280278083,2733
2,34,34,31,Novel,1,0.000365898280278083,2733
2,35B,35,35,Novel,1,0.000365898280278083,2733
