label,predicted_serotype,predicted_serogroup,nn_serogroup,final_serogroup_prediction,n,Proportion,GPSC_total
12,3,3,3,3,5868,0.999659284497445,5870
12,6C,6,6,6,1,0.000170357751277683,5870
1,14,14,14,14,22,0.00391041592605759,5626
1,15B,15,15,15,4,0.000710984713828653,5626
1,18C,18,Serogroup 24,18,1,0.000177746178457163,5626
1,19A,19,19,19,1938,0.344472093849982,5626
1,19A,19,34,19,2,0.000355492356914326,5626
1,19F,19,19,19,3355,0.596338428723782,5626
1,23F,23,23,23,3,0.00053323853537149,5626
1,3,3,3,3,93,0.0165303945965162,5626
1,35B,35,35,35,1,0.000177746178457163,5626
1,6B,6,6,6,1,0.000177746178457163,5626
1,6C,6,6,6,1,0.000177746178457163,5626
1,8,8,21,8,1,0.000177746178457163,5626
1,8,8,8,8,1,0.000177746178457163,5626
3,11A,11,11,11,1765,0.314224675093466,5617
3,15A,15,15,15,58,0.0103257966886238,5617
3,18C,18,18,18,48,0.00854548691472316,5617
3,19A,19,19,19,1,0.000178030977390066,5617
3,20A,20,20,20,1,0.000178030977390066,5617
3,22F,22,22,22,147,0.0261705536763397,5617
3,23A,23,23,23,1,0.000178030977390066,5617
3,23B,23,23,23,3,0.000534092932170198,5617
3,23F,23,23,23,3,0.000534092932170198,5617
3,29,29,29,29,1,0.000178030977390066,5617
3,3,3,3,3,42,0.00747730105038277,5617
3,31,31,31,31,2,0.000356061954780132,5617
3,33F,33,33,33,1639,0.291792771942318,5617
3,33F,33,Serogroup 33,33,31,0.00551896029909204,5617
3,35A,35,35,35,7,0.00124621684173046,5617
3,35C,35,35,35,1,0.000178030977390066,5617
3,35F,35,35,35,3,0.000534092932170198,5617
3,6C,6,6,6,3,0.000534092932170198,5617
3,8,8,8,8,1767,0.314580737048246,5617
6,10A,10,8,10,6,0.00158772161947605,3779
6,11A,11,11,11,269,0.0711828526065097,3779
6,13,13,13,13,4,0.0010584810796507,3779
6,14,14,14,14,1043,0.27599894151892,3779
6,14,14,15,14,2,0.000529240539825351,3779
6,14,14,9,14,1,0.000264620269912675,3779
6,15A,15,15,15,294,0.0777983593543265,3779
6,15B,15,15,15,121,0.0320190526594337,3779
6,15C,15,15,15,85,0.0224927229425774,3779
6,16F,16,16,16,1,0.000264620269912675,3779
6,17F,17,17,17,2,0.000529240539825351,3779
6,19A,19,19,19,74,0.019581899973538,3779
6,19F,19,19,19,86,0.0227573432124901,3779
6,19F,19,Serogroup 24,19,1,0.000264620269912675,3779
6,20A,20,19,20,1,0.000264620269912675,3779
6,21,21,21,21,2,0.000529240539825351,3779
6,22F,22,22,22,4,0.0010584810796507,3779
6,22F,22,34,22,1,0.000264620269912675,3779
6,23A,23,23,23,62,0.0164064567345859,3779
6,23B,23,23,23,13,0.00344006350886478,3779
6,23F,23,23,23,7,0.00185234188938873,3779
6,24A,24,24,24,14,0.00370468377877745,3779
6,24A,24,Serogroup 24,24,33,0.00873246890711829,3779
6,24F,24,24,24,280,0.0740936755755491,3779
6,24F,24,Serogroup 24,24,30,0.00793860809738026,3779
6,3,3,15,3,1,0.000264620269912675,3779
6,3,3,3,3,1,0.000264620269912675,3779
6,31,31,31,31,3,0.000793860809738026,3779
6,35B,35,35,35,217,0.0574225985710505,3779
6,35F,35,15,35,3,0.000793860809738026,3779
6,39,39,Serogroup 24,39,1,0.000264620269912675,3779
6,48,48,48,48,1,0.000264620269912675,3779
6,6A,6,6,6,1,0.000264620269912675,3779
6,7F,7,7,7,2,0.000529240539825351,3779
6,8,8,8,8,2,0.000529240539825351,3779
6,9V,9,11,9,8,0.0021169621593014,3779
6,9V,9,23,9,18,0.00476316485842816,3779
6,9V,9,28,9,1,0.000264620269912675,3779
6,9V,9,7,9,5,0.00132310134956338,3779
6,9V,9,9,9,904,0.239216724001058,3779
19,11A,11,11,11,2,0.000595238095238095,3360
19,22F,22,22,22,3294,0.980357142857143,3360
19,23B,23,23,23,13,0.00386904761904762,3360
19,31,31,31,31,10,0.00297619047619048,3360
19,35C,35,35,35,4,0.00119047619047619,3360
19,35C,35,42,35,6,0.00178571428571429,3360
19,35F,35,35,35,1,0.000297619047619048,3360
19,6C,6,6,6,1,0.000297619047619048,3360
7,14,14,14,14,2,0.000653167864141084,3062
7,16F,16,16,16,1,0.000326583932070542,3062
7,18C,18,18,18,1,0.000326583932070542,3062
7,19A,19,24,19,3,0.000979751796211626,3062
7,22F,22,22,22,1,0.000326583932070542,3062
7,22F,22,23,22,27,0.00881776616590464,3062
7,23A,23,23,23,1412,0.461136512083606,3062
7,23B,23,23,23,987,0.322338340953625,3062
7,23F,23,23,23,538,0.175702155453952,3062
4,10A,10,10,10,12,0.00402684563758389,2980
4,11A,11,15,11,1,0.000335570469798658,2980
4,14,14,14,14,50,0.0167785234899329,2980
4,15A,15,15,15,87,0.0291946308724832,2980
4,15B,15,15,15,608,0.204026845637584,2980
4,15C,15,15,15,374,0.125503355704698,2980
4,19A,19,19,19,1474,0.494630872483221,2980
4,19B,19,19,19,156,0.0523489932885906,2980
4,19F,19,15,19,5,0.00167785234899329,2980
4,19F,19,19,19,15,0.00503355704697987,2980
4,22F,22,22,22,3,0.00100671140939597,2980
4,22F,22,23,22,1,0.000335570469798658,2980
4,23B,23,23,23,1,0.000335570469798658,2980
4,23F,23,23,23,2,0.000671140939597315,2980
4,3,3,15,3,1,0.000335570469798658,2980
4,3,3,3,3,1,0.000335570469798658,2980
4,35F,35,15,35,2,0.000671140939597315,2980
4,35F,35,35,35,2,0.000671140939597315,2980
4,6A,6,15,6,2,0.000671140939597315,2980
4,6A,6,19,6,3,0.00100671140939597,2980
4,6C,6,15,6,4,0.00134228187919463,2980
4,9N,9,9,9,1,0.000335570469798658,2980
27,13,13,Serogroup 24,13,1,0.000350385423966363,2854
27,14,14,14,14,1,0.000350385423966363,2854
27,15B,15,15,15,1,0.000350385423966363,2854
27,15C,15,15,15,2,0.000700770847932726,2854
27,16F,16,16,16,1,0.000350385423966363,2854
27,19A,19,19,19,337,0.118079887876664,2854
27,19F,19,19,19,3,0.00105115627189909,2854
27,23B,23,23,23,1,0.000350385423966363,2854
27,37,37,37,37,1,0.000350385423966363,2854
27,4,4,4,4,2458,0.86124737210932,2854
27,6B,6,6,6,1,0.000350385423966363,2854
2,1,1,1,1,2610,0.954994511525796,2733
2,22F,22,34,22,1,0.000365898280278083,2733
10,10A,10,10,10,103,0.040599132834056,2537
10,11A,11,11,11,3,0.00118249901458415,2537
10,13,13,13,13,3,0.00118249901458415,2537
10,13,13,Serogroup 24,13,2,0.000788332676389436,2537
10,14,14,14,14,326,0.128498226251478,2537
10,14,14,Serogroup 24,14,1,0.000394166338194718,2537
10,15A,15,15,15,1,0.000394166338194718,2537
10,15B,15,15,15,16,0.00630666141111549,2537
10,15C,15,15,15,10,0.00394166338194718,2537
10,17F,17,17,17,90,0.0354749704375246,2537
10,19A,19,10,19,1,0.000394166338194718,2537
10,19A,19,19,19,493,0.194324004729996,2537
10,19A,19,23,19,1,0.000394166338194718,2537
10,19F,19,14,19,1,0.000394166338194718,2537
10,19F,19,19,19,83,0.0327158060701616,2537
10,19F,19,Serogroup 24,19,1,0.000394166338194718,2537
10,20B,20,20,20,12,0.00472999605833662,2537
10,22F,22,22,22,6,0.00236499802916831,2537
10,23A,23,23,23,52,0.0204966495861253,2537
10,23B,23,23,23,7,0.00275916436736303,2537
10,23F,23,23,23,38,0.0149783208513993,2537
10,24A,24,24,24,11,0.0043358297201419,2537
10,24A,24,Serogroup 24,24,7,0.00275916436736303,2537
10,24F,24,14,24,3,0.00118249901458415,2537
10,24F,24,19,24,1,0.000394166338194718,2537
10,24F,24,24,24,746,0.29404808829326,2537
10,24F,24,7,24,1,0.000394166338194718,2537
10,24F,24,Serogroup 24,24,32,0.012613322822231,2537
10,3,3,3,3,227,0.089475758770201,2537
10,6A,6,6,6,10,0.00394166338194718,2537
10,6C,6,6,6,4,0.00157666535277887,2537
10,7B,7,7,7,184,0.0725266062278281,2537
10,7B,7,Serogroup 24,7,1,0.000394166338194718,2537
10,8,8,8,8,1,0.000394166338194718,2537
10,9V,9,9,9,1,0.000394166338194718,2537
622,19A,19,19,19,1,0.000510725229826353,1958
622,19F,19,19,19,1,0.000510725229826353,1958
622,2,2,2,2,879,0.448927477017365,1958
622,22F,22,2,22,6,0.00306435137895812,1958
622,31,31,2,31,957,0.48876404494382,1958
622,34,34,34,34,3,0.00153217568947906,1958
622,4,4,4,4,1,0.000510725229826353,1958
18,11A,11,11,11,1,0.000539083557951483,1855
18,14,14,14,14,1122,0.604851752021563,1855
18,14,14,15,14,1,0.000539083557951483,1855
18,16F,16,16,16,12,0.00646900269541779,1855
18,19A,19,19,19,86,0.0463611859838275,1855
18,19B,19,19,19,2,0.00107816711590297,1855
18,19F,19,19,19,71,0.0382749326145553,1855
18,19F,19,23,19,16,0.00862533692722372,1855
18,22F,22,22,22,1,0.000539083557951483,1855
18,24F,24,24,24,3,0.00161725067385445,1855
18,24F,24,Serogroup 24,24,1,0.000539083557951483,1855
18,6A,6,19,6,2,0.00107816711590297,1855
18,6C,6,19,6,2,0.00107816711590297,1855
18,7C,7,7,7,58,0.031266846361186,1855
36,10A,10,10,10,935,0.550647820965842,1698
36,11A,11,11,11,1,0.000588928150765607,1698
36,35F,35,35,35,734,0.432273262661955,1698
36,39,39,39,39,1,0.000588928150765607,1698
36,6B,6,6,6,3,0.00176678445229682,1698
36,6C,6,6,6,1,0.000588928150765607,1698
36,8,8,8,8,1,0.000588928150765607,1698
32,12F,12,12,12,845,0.519360786724032,1627
32,3,3,3,3,4,0.00245851259987707,1627
32,4,4,4,4,1,0.000614628149969269,1627
32,7F,7,7,7,238,0.146281499692686,1627
32,8,8,14,8,2,0.00122925629993854,1627
32,8,8,8,8,6,0.00368776889981561,1627
32,9N,9,9,9,322,0.197910264290104,1627
59,19A,19,19,19,2,0.00141643059490085,1412
59,35B,35,23,35,2,0.00141643059490085,1412
59,35B,35,35,35,1194,0.845609065155807,1412
59,6B,6,6,6,2,0.00141643059490085,1412
46,14,14,14,14,1,0.000794912559618442,1258
46,16F,16,16,16,1240,0.985691573926868,1258
46,23F,23,23,23,6,0.00476947535771065,1258
46,4,4,16,4,1,0.000794912559618442,1258
124,10A,10,33,10,3,0.00253807106598985,1182
124,20A,20,20,20,2,0.00169204737732657,1182
124,20B,20,20,20,728,0.61590524534687,1182
124,21,21,21,21,1,0.000846023688663283,1182
124,23F,23,6,23,4,0.00338409475465313,1182
124,37,37,31,37,8,0.00676818950930626,1182
124,37,37,34,37,1,0.000846023688663283,1182
124,8,8,34,8,5,0.00423011844331641,1182
124,9N,9,9,9,106,0.089678510998308,1182
8,5,5,5,5,1159,0.998277347114556,1161
17,14,14,14,14,2,0.00172562553925798,1159
17,19A,19,19,19,1139,0.98274374460742,1159
17,19F,19,19,19,3,0.00258843830888697,1159
17,3,3,3,3,1,0.00086281276962899,1159
24,11A,11,11,11,1,0.000865800865800866,1155
24,13,13,13,13,1,0.000865800865800866,1155
24,17F,17,17,17,1,0.000865800865800866,1155
24,19A,19,19,19,3,0.0025974025974026,1155
24,19F,19,19,19,1,0.000865800865800866,1155
24,19F,19,23,19,1,0.000865800865800866,1155
24,23A,23,23,23,1,0.000865800865800866,1155
24,23B,23,23,23,2,0.00173160173160173,1155
24,23F,23,23,23,82,0.070995670995671,1155
24,24A,24,Serogroup 24,24,1,0.000865800865800866,1155
24,3,3,3,3,2,0.00173160173160173,1155
24,35F,35,35,35,2,0.00173160173160173,1155
24,6A,6,6,6,61,0.0528138528138528,1155
24,6B,6,6,6,774,0.67012987012987,1155
24,6C,6,6,6,170,0.147186147186147,1155
24,6D,6,6,6,2,0.00173160173160173,1155
24,7B,7,7,7,1,0.000865800865800866,1155
15,19F,19,19,19,1,0.00091324200913242,1095
15,7F,7,7,7,1090,0.995433789954338,1095
14,11A,11,11,11,1,0.000943396226415094,1060
14,11A,11,15,11,1,0.000943396226415094,1060
14,14,14,14,14,2,0.00188679245283019,1060
14,15B,15,15,15,1,0.000943396226415094,1060
14,19A,19,19,19,20,0.0188679245283019,1060
14,19A,19,23,19,1,0.000943396226415094,1060
14,19F,19,19,19,5,0.00471698113207547,1060
14,23B,23,23,23,3,0.00283018867924528,1060
14,23F,23,23,23,923,0.870754716981132,1060
14,27,27,27,27,1,0.000943396226415094,1060
14,3,3,3,3,1,0.000943396226415094,1060
14,6A,6,6,6,15,0.0141509433962264,1060
14,6B,6,6,6,16,0.0150943396226415,1060
14,6C,6,6,6,2,0.00188679245283019,1060
25,10A,10,10,10,21,0.0199809705042816,1051
25,10F,10,15,10,1,0.000951474785918173,1051
25,13,13,19,13,1,0.000951474785918173,1051
25,14,14,14,14,1,0.000951474785918173,1051
25,14,14,15,14,19,0.0180780209324453,1051
25,15A,15,15,15,11,0.0104662226450999,1051
25,15B,15,15,15,475,0.451950523311132,1051
25,15C,15,15,15,404,0.384395813510942,1051
25,18C,18,15,18,2,0.00190294957183635,1051
25,18C,18,Serogroup 24,18,1,0.000951474785918173,1051
25,21,21,10,21,1,0.000951474785918173,1051
25,21,21,21,21,42,0.0399619410085633,1051
25,4,4,15,4,44,0.0418648905803996,1051
25,6C,6,15,6,2,0.00190294957183635,1051
38,38,38,25,38,7,0.00720164609053498,972
38,38,38,38,38,938,0.965020576131687,972
57,15A,15,15,15,1,0.00104931794333683,953
57,20B,20,20,20,14,0.0146904512067156,953
57,22A,22,22,22,1,0.00104931794333683,953
57,23B,23,23,23,1,0.00104931794333683,953
57,31,31,31,31,923,0.968520461699895,953
45,15A,15,15,15,5,0.00573394495412844,872
45,15B,15,15,15,1,0.00114678899082569,872
45,15C,15,15,15,1,0.00114678899082569,872
45,2,2,2,2,1,0.00114678899082569,872
45,23B,23,23,23,1,0.00114678899082569,872
45,34,34,34,34,823,0.943807339449541,872
45,35F,35,35,35,7,0.00802752293577982,872
45,6B,6,6,6,3,0.00344036697247706,872
45,6C,6,6,6,16,0.018348623853211,872
45,6D,6,6,6,1,0.00114678899082569,872
45,9N,9,9,9,1,0.00114678899082569,872
98,8,8,8,8,836,0.989349112426036,845
21,14,14,14,14,10,0.0121802679658952,821
21,15A,15,15,15,3,0.00365408038976857,821
21,15C,15,15,15,1,0.00121802679658952,821
21,16F,16,16,16,4,0.0048721071863581,821
21,19A,19,19,19,8,0.0097442143727162,821
21,19F,19,19,19,782,0.952496954933009,821
21,23F,23,23,23,1,0.00121802679658952,821
21,3,3,3,3,2,0.00243605359317905,821
26,12F,12,12,12,694,0.849449204406365,817
26,15A,15,15,15,1,0.00122399020807834,817
26,19F,19,19,19,1,0.00122399020807834,817
26,40,40,40,40,1,0.00122399020807834,817
26,46,46,12,46,15,0.018359853121175,817
26,46,46,46,46,46,0.0563035495716034,817
26,9L,9,9,9,4,0.00489596083231334,817
26,9N,9,9,9,2,0.00244798041615667,817
26,9V,9,9,9,1,0.00122399020807834,817
48,15B,15,15,15,371,0.472010178117048,786
48,15C,15,15,15,357,0.454198473282443,786
48,19A,19,19,19,3,0.00381679389312977,786
48,19F,19,15,19,4,0.00508905852417303,786
48,19F,19,19,19,41,0.0521628498727735,786
48,23F,23,23,23,1,0.00127226463104326,786
48,35F,35,15,35,4,0.00508905852417303,786
48,5,5,5,5,2,0.00254452926208651,786
119,13,13,29,13,1,0.00132450331125828,755
119,19F,19,19,19,704,0.932450331125828,755
119,23B,23,23,23,1,0.00132450331125828,755
119,3,3,3,3,1,0.00132450331125828,755
119,6C,6,19,6,1,0.00132450331125828,755
119,9N,9,9,9,1,0.00132450331125828,755
31,1,1,1,1,743,0.991989319092123,749
31,23F,23,27,23,1,0.00133511348464619,749
11,11A,11,11,11,26,0.0350877192982456,741
11,14,14,14,14,1,0.00134952766531714,741
11,15B,15,15,15,379,0.511470985155196,741
11,15C,15,15,15,317,0.427800269905533,741
11,16F,16,16,16,2,0.00269905533063428,741
11,19F,19,19,19,2,0.00269905533063428,741
11,22F,22,22,22,1,0.00134952766531714,741
11,23A,23,23,23,1,0.00134952766531714,741
11,35B,35,35,35,2,0.00269905533063428,741
11,35F,35,15,35,1,0.00134952766531714,741
11,6C,6,6,6,1,0.00134952766531714,741
44,11A,11,11,11,1,0.00134952766531714,741
44,15A,15,15,15,1,0.00134952766531714,741
44,15B,15,15,15,2,0.00269905533063428,741
44,15C,15,15,15,6,0.00809716599190283,741
44,17F,17,17,17,2,0.00269905533063428,741
44,19A,19,19,19,19,0.0256410256410256,741
44,19F,19,19,19,449,0.605937921727395,741
44,19F,19,24,19,4,0.00539811066126856,741
44,19F,19,Serogroup 24,19,24,0.0323886639676113,741
44,21,21,21,21,2,0.00269905533063428,741
44,23B,23,23,23,9,0.0121457489878543,741
44,23F,23,23,23,1,0.00134952766531714,741
44,24A,24,24,24,2,0.00269905533063428,741
44,24F,24,19,24,1,0.00134952766531714,741
44,24F,24,24,24,47,0.0634278002699055,741
44,24F,24,Serogroup 24,24,23,0.0310391363022942,741
44,6B,6,6,6,5,0.0067476383265857,741
44,7B,7,7,7,1,0.00134952766531714,741
44,7C,7,7,7,78,0.105263157894737,741
47,13,13,13,13,1,0.00146627565982405,682
47,19A,19,19,19,3,0.00439882697947214,682
47,21,21,21,21,1,0.00146627565982405,682
47,23B,23,6,23,1,0.00146627565982405,682
47,23F,23,23,23,2,0.00293255131964809,682
47,6A,6,6,6,34,0.0498533724340176,682
47,6B,6,6,6,465,0.681818181818182,682
47,6C,6,6,6,141,0.206744868035191,682
47,9V,9,9,9,5,0.00733137829912024,682
55,12F,12,12,12,601,0.937597503900156,641
34,13,13,13,13,1,0.00171232876712329,584
34,22F,22,22,22,44,0.0753424657534247,584
34,23F,23,23,23,3,0.00513698630136986,584
34,34,34,34,34,526,0.900684931506849,584
20,13,13,13,13,5,0.0088339222614841,566
20,14,14,14,14,1,0.00176678445229682,566
20,15C,15,15,15,1,0.00176678445229682,566
20,19F,19,19,19,2,0.00353356890459364,566
20,19F,19,7,19,1,0.00176678445229682,566
20,23F,23,23,23,448,0.791519434628975,566
20,3,3,3,3,1,0.00176678445229682,566
43,11A,11,11,11,60,0.106007067137809,566
43,11B,11,11,11,1,0.00176678445229682,566
43,11C,11,11,11,1,0.00176678445229682,566
43,13,13,13,13,4,0.00706713780918728,566
43,17A,17,17,17,2,0.00353356890459364,566
43,17F,17,17,17,3,0.00530035335689046,566
43,18A,18,18,18,2,0.00353356890459364,566
43,18C,18,18,18,10,0.0176678445229682,566
43,18C,18,22,18,1,0.00176678445229682,566
43,18F,18,18,18,1,0.00176678445229682,566
43,19A,19,19,19,2,0.00353356890459364,566
43,19F,19,19,19,1,0.00176678445229682,566
43,20B,20,20,20,38,0.0671378091872792,566
43,22A,22,22,22,2,0.00353356890459364,566
43,23B,23,23,23,1,0.00176678445229682,566
43,3,3,3,3,58,0.102473498233216,566
43,34,34,34,34,1,0.00176678445229682,566
43,35A,35,35,35,149,0.263250883392226,566
43,35C,35,35,35,1,0.00176678445229682,566
43,9N,9,9,9,3,0.00530035335689046,566
43,9V,9,9,9,195,0.34452296819788,566
30,10A,10,10,10,154,0.281535648994516,547
30,10A,10,33,10,1,0.00182815356489945,547
30,10B,10,10,10,59,0.107861060329068,547
30,10F,10,10,10,104,0.190127970749543,547
30,19A,19,19,19,1,0.00182815356489945,547
30,19B,19,10,19,2,0.0036563071297989,547
30,19F,19,19,19,1,0.00182815356489945,547
30,33D,33,33,33,81,0.148080438756856,547
30,35B,35,35,35,34,0.0621572212065814,547
30,35F,35,35,35,4,0.00731261425959781,547
30,39,39,39,39,1,0.00182815356489945,547
30,6A,6,6,6,7,0.0127970749542962,547
30,6C,6,6,6,33,0.0603290676416819,547
30,7F,7,7,7,1,0.00182815356489945,547
30,9V,9,9,9,1,0.00182815356489945,547
37,23F,23,23,23,3,0.00578034682080925,519
37,6B,6,6,6,504,0.971098265895954,519
37,6C,6,6,6,7,0.0134874759152216,519
135,16F,16,16,16,500,0.99403578528827,503
135,35B,35,35,35,1,0.00198807157057654,503
35,10A,10,10,10,458,0.927125506072874,494
35,16F,16,16,16,1,0.00202429149797571,494
35,17F,17,17,17,1,0.00202429149797571,494
35,6C,6,6,6,4,0.00809716599190283,494
35,8,8,10,8,1,0.00202429149797571,494
33,16F,16,16,16,472,0.989517819706499,477
33,19A,19,19,19,1,0.00209643605870021,477
33,19F,19,19,19,1,0.00209643605870021,477
52,13,13,13,13,450,0.943396226415094,477
52,6B,6,6,6,25,0.0524109014675052,477
29,19F,19,19,19,1,0.00211416490486258,473
29,6A,6,6,6,40,0.0845665961945032,473
29,6B,6,6,6,37,0.0782241014799154,473
29,6C,6,6,6,364,0.769556025369979,473
29,8,8,6,8,1,0.00211416490486258,473
83,3,3,3,3,471,1,471
427,4,4,4,4,212,0.454935622317597,466
