sample_id,knn_distance,nn_distance,nn_serotype,nn_genogroup,is_novel
ERR1422487#34,0.12070805,0.12070805,19A,19A,False
ERR1214387#4,0.42554224,0.42554224,6B,6,True
ERR600521#38,1.7881393e-07,1.7881393e-07,19A,19A,False
SRR26749648#27,0.02716589,0.02716589,35B,35B_35D,False
ERR980352#64,0.08386409,0.08386409,6B,6,False
ERR3227796#1,0.29403478,0.29403478,35F,35F,True
ERR1788547#18,0.27120143,0.27120143,16F,16F,True
SRR26883991#27,0.406304,0.406304,15B/C,15B/C,True
SRR26818566#26,0.4087665,0.4087665,15B/C,15B/C,True
ERR1065715#14,0.0,0.0,35B,35B_35D,False
ERR662360#6,0.32670617,0.32670617,6A,6,True
ERR913213#7,0.28481042,0.28481042,16F,16F,True
ERR884354#16,0.11016315,0.11016315,17F,17F,False
ERR7568060#20,0.3576399,0.3576399,19A,19A,True
ERR884497#22,0.1245541,0.1245541,6A,6,False
ERR774704#44,1.7881393e-07,1.7881393e-07,19A,19A,False
SRR26878615#25,0.034291387,0.034291387,7C,7B_7C_40,False
ERR774634#31,0.1538248,0.1538248,6B,6,False
ERR979957#36,0.10809451,0.10809451,6B,6,False
ERR751016#12,0.0,0.0,14,14,False
ERR646608#32,0.3078826,0.3078826,17F,17F,True
ERR2089762#5,0.11219728,0.11219728,17F,17F,False
ERR570450#11,0.0068421364,0.0068421364,7C,7B_7C_40,False
SRR26594497#49,0.29626834,0.29626834,4,4,True
ERR516650#74,0.18986946,0.18986946,10A,10,False
ERR326487#128,0.090075135,0.090075135,14,14,False
SRR26879881#33,0.023465157,0.023465157,23B,23,False
ERR13364813#14,0.34416652,0.34416652,17F,17F,True
ERR876450#60,0.23512286,0.23512286,4,4,True
ERR600302#42,1.7881393e-07,1.7881393e-07,19A,19A,False
ERR338204#24,0.37819064,0.37819064,23A,23,True
ERR438952#17,0.31509894,0.31509894,9V,9,True
ERR505576#23,0.07820594,0.07820594,Serogroup 24,Serogroup 24,False
ERR577969#69,1.7881393e-07,1.7881393e-07,19A,19A,False
ERR326476#127,0.011487067,0.011487067,9V,9,False
SRR26878173#51,0.1750018,0.1750018,23F,23,False
ERR730600#41,1.7881393e-07,1.7881393e-07,19A,19A,False
ERR433866#40,1.7881393e-07,1.7881393e-07,19A,19A,False
ERR326520#136,0.0075331926,0.0075331926,6C,6,False
ERR742440#52,0.2709322,0.2709322,4,4,True
SRR26749405#75,0.41686356,0.41686356,4,4,True
SRR26750118#59,0.11865747,0.11865747,14,14,False
SRR26714604#154,0.03548956,0.03548956,Serogroup 24,Serogroup 24,False
ERR570446#39,1.7881393e-07,1.7881393e-07,19A,19A,False
ERR505554#46,1.7881393e-07,1.7881393e-07,19A,19A,False
ERR490707#28,0.33079875,0.33079875,16F,16F,True
ERR568541#35,1.7881393e-07,1.7881393e-07,19A,19A,False
SRR26884698#54,0.19991255,0.19991255,14,14,True
SRR26833654#43,0.1541838,0.1541838,23F,23,False
SRR26714787#53,0.19991255,0.19991255,14,14,True
SRR26833682#25,0.41355473,0.41355473,15B/C,15B/C,True
ERR433870#48,1.7881393e-07,1.7881393e-07,19A,19A,False
SRR26673619#96,0.07094312,0.07094312,Serogroup 24,Serogroup 24,False
ERR600415#37,1.7881393e-07,1.7881393e-07,19A,19A,False
ERR900663#30,0.3078826,0.3078826,17F,17F,True
ERR577979#50,1.7881393e-07,1.7881393e-07,19A,19A,False
SRR26714324#55,0.19991255,0.19991255,14,14,True
ERR13365746#56,0.082853496,0.082853496,21,21,False
ERR1658194#45,0.34672928,0.34672928,18A,18,True
ERR909167#91,0.34097588,0.34097588,18F,18,True
SRR26749336#78,0.1922338,0.1922338,15B/C,15B/C,True
SRR26749705#58,0.1750018,0.1750018,23F,23,False
SRR26930289#57,0.11865747,0.11865747,14,14,False
SRR26880275#47,0.17238468,0.17238468,6C,6,False
SRR26884654#83,0.090075135,0.090075135,14,14,False
ERR326461#227,0.105680525,0.105680525,14,14,False
ERR326577#126,1.7881393e-07,1.7881393e-07,19A,19A,False
ERR326560#130,0.27184564,0.27184564,6A,6,True
ERR730630#106,0.0,0.0,14,14,False
ERR326555#119,0.090075135,0.090075135,14,14,False
ERR13375036#63,0.10247564,0.10247564,21,21,False
ERR433880#105,0.0049256682,0.0049256682,19A,19A,False
ERR352005#113,0.038806558,0.038806558,14,14,False
ERR884613#138,0.24861932,0.24861932,35B,35B_35D,True
ERR1065786#71,0.051477134,0.051477134,14,14,False
ERR326561#133,0.24450308,0.24450308,14,14,True
SRR26910323#79,0.08206093,0.08206093,14,14,False
ERR884629#90,0.14377457,0.14377457,Serogroup 24,Serogroup 24,False
ERR862359#93,0.0002630949,0.0002630949,6B,6,False
SRR26714343#73,0.14525181,0.14525181,Serogroup 24,Serogroup 24,False
