sample_id,knn_distance,nn_distance,nn_serotype,nn_genogroup,is_novel
SRR26714870#6,0.20137095,0.20137095,35B/35D,35B_35D,True
SRR26594639#37,0.056779027,0.056779027,15B,15,False
ERR2089866#7,0.16100448,0.16100448,11A,11,False
SRR26930408#5,0.19520533,0.19520533,9L,9,True
ERR925224#11,0.06262475,0.06262475,11A,11,False
SRR26833562#43,0.20517439,0.20517439,35B/35D,35B_35D,True
SRR26834008#3,0.20517439,0.20517439,35B/35D,35B_35D,True
SRR26930306#24,0.20517439,0.20517439,35B/35D,35B_35D,True
SRR26910494#22,0.20517439,0.20517439,35B/35D,35B_35D,True
SRR26673133#4,0.0017362833,0.0017362833,9L,9,False
SRR26878331#23,0.21609837,0.21609837,11A,11,True
ERR1065910#15,0.16100448,0.16100448,11A,11,False
ERR600610#26,0.20517439,0.20517439,35B/35D,35B_35D,True
SRR26879923#10,0.0016173124,0.0016173124,9L,9,False
ERR1788400#18,0.0009714365,0.0009714365,9L,9,False
SRR26878669#62,0.21609837,0.21609837,11A,11,True
SRR26818600#25,0.20517439,0.20517439,35B/35D,35B_35D,True
SRR26878467#12,0.0016166568,0.0016166568,9L,9,False
ERR13365307#20,0.15367538,0.15367538,15C,15,False
SRR26750125#78,0.040486395,0.040486395,11A,11,False
SRR26879456#51,0.20517439,0.20517439,35B/35D,35B_35D,True
SRR26673500#98,0.083277345,0.083277345,11A,11,False
SRR26673214#32,0.27592742,0.27592742,19F,19F,True
SRR26878437#34,0.20517439,0.20517439,35B/35D,35B_35D,True
SRR26594483#26,0.20517439,0.20517439,35B/35D,35B_35D,True
SRR26877989#27,0.20137095,0.20137095,35B/35D,35B_35D,True
SRR26594806#8,0.0016166568,0.0016166568,9L,9,False
SRR26817805#9,0.0016166568,0.0016166568,9L,9,False
SRR26749333#16,0.0058038235,0.0058038235,9L,9,False
SRR26884513#41,0.20517439,0.20517439,35B/35D,35B_35D,True
SRR26749887#231,0.107495785,0.107495785,11A,11,False
SRR26673412#33,0.20517439,0.20517439,35B/35D,35B_35D,True
SRR26749569#147,0.17354882,0.17354882,11A,11,False
SRR26749708#93,0.083277345,0.083277345,11A,11,False
SRR26749902#182,0.083277345,0.083277345,11A,11,False
ERR2089520#19,0.01800096,0.01800096,9L,9,False
SRR26879867#28,0.20517439,0.20517439,35B/35D,35B_35D,True
SRR26880034#39,0.20137095,0.20137095,35B/35D,35B_35D,True
SRR26878463#49,0.21604061,0.21604061,9L,9,True
ERR13365215#14,0.011707842,0.011707842,9L,9,False
SRR26714773#29,0.21609837,0.21609837,11A,11,True
SRR26879910#83,0.122588456,0.122588456,11B,11,False
SRR26673353#59,0.21604061,0.21604061,9L,9,True
SRR26910310#54,0.21609837,0.21609837,11A,11,True
SRR26884193#31,0.12157053,0.12157053,11A,11,False
SRR26749675#68,0.040486395,0.040486395,11A,11,False
SRR26750120#44,0.20517439,0.20517439,35B/35D,35B_35D,True
SRR26749286#192,0.041439295,0.041439295,11A,11,False
ERR13375001#40,0.055756807,0.055756807,15C,15,False
SRR26673236#238,0.122588456,0.122588456,11B,11,False
SRR26750044#126,0.083277345,0.083277345,11A,11,False
SRR26673012#115,0.122588456,0.122588456,11B,11,False
ERR13366038#30,0.11475277,0.11475277,11E,11,False
ERR13366066#35,0.0016177297,0.0016177297,9L,9,False
SRR26673208#112,0.33984023,0.33984023,6A,6,True
SRR26714820#85,0.055234432,0.055234432,11B,11,False
SRR26594854#71,0.21604061,0.21604061,9L,9,True
ERR662347#36,0.0015036464,0.0015036464,9L,9,False
SRR26714107#75,0.21604061,0.21604061,9L,9,True
SRR26931508#48,0.20517439,0.20517439,35B/35D,35B_35D,True
ERR326366#72,0.056779027,0.056779027,15B,15,False
