predicted_serotype,tip,is_cbl,is_novel_serogroup,is_novel_energy,tool,predicted_serogroup,GPSC,final_serotype_prediction,final_serogroup_prediction,Name,Genogroup,SeroBA_Unknown,SeroBA_Type
1,SAMEA1012459,TRUE,FALSE,FALSE,ALLCAPS,1,2,1,1,1,1,1,ref
1,SAMEA1012479,TRUE,FALSE,FALSE,ALLCAPS,1,2,1,1,1,1,1,ref
1,SAMEA1012484,TRUE,FALSE,FALSE,ALLCAPS,1,2,1,1,1,1,1,ref
1,SAMEA1012549,TRUE,FALSE,FALSE,ALLCAPS,1,2,1,1,1,1,1,ref
1,SAMEA10254559,TRUE,FALSE,FALSE,ALLCAPS,1,2,1,1,1,1,1,ref
1,SAMEA10254560,TRUE,FALSE,FALSE,ALLCAPS,1,2,1,1,1,1,1,ref
1,SAMEA1012521,TRUE,FALSE,FALSE,ALLCAPS,1,2,1,1,1,1,1,ref
1,SAMEA1012439,TRUE,FALSE,FALSE,ALLCAPS,1,2,1,1,1,1,1,ref
1,SAMEA1012442,TRUE,FALSE,FALSE,ALLCAPS,1,2,1,1,1,1,1,ref
1,SAMEA10254663,TRUE,FALSE,FALSE,ALLCAPS,1,2,1,1,1,1,1,ref
1,SAMEA10254669,TRUE,FALSE,FALSE,ALLCAPS,1,2,1,1,1,1,1,ref
1,SAMEA10254670,TRUE,FALSE,FALSE,ALLCAPS,1,2,1,1,1,1,1,ref
1,SAMEA10254671,TRUE,FALSE,FALSE,ALLCAPS,1,2,1,1,1,1,1,ref
1,SAMEA10254672,TRUE,FALSE,FALSE,ALLCAPS,1,2,1,1,1,1,1,ref
1,SAMEA1012600,TRUE,FALSE,FALSE,ALLCAPS,1,2,1,1,1,1,1,ref
1,SAMEA1012604,TRUE,FALSE,FALSE,ALLCAPS,1,2,1,1,1,1,1,ref
1,SAMEA1012618,TRUE,FALSE,FALSE,ALLCAPS,1,2,1,1,1,1,1,ref
1,SAMEA1012619,TRUE,FALSE,FALSE,ALLCAPS,1,2,1,1,1,1,1,ref
1,SAMEA102199918,TRUE,FALSE,FALSE,ALLCAPS,1,2,1,1,1,1,1,ref
1,SAMEA102205918,TRUE,FALSE,FALSE,ALLCAPS,1,2,1,1,1,1,1,ref
1,SAMEA102207418,TRUE,FALSE,FALSE,ALLCAPS,1,2,1,1,1,1,1,ref
1,SAMEA102208168,TRUE,FALSE,FALSE,ALLCAPS,1,2,1,1,1,1,1,ref
1,SAMEA1023905,TRUE,FALSE,FALSE,ALLCAPS,1,2,1,1,1,1,1,ref
1,SAMEA1024019,TRUE,FALSE,FALSE,ALLCAPS,1,2,1,1,1,1,1,ref
1,SAMEA10254518,TRUE,FALSE,FALSE,ALLCAPS,1,2,1,1,1,1,1,ref
1,SAMEA10254524,TRUE,FALSE,FALSE,ALLCAPS,1,2,1,1,1,1,1,ref
1,SAMEA10254532,TRUE,FALSE,FALSE,ALLCAPS,1,2,1,1,1,1,1,ref
1,SAMEA10254539,TRUE,FALSE,FALSE,ALLCAPS,1,2,1,1,1,1,1,ref
1,SAMEA10254544,TRUE,FALSE,FALSE,ALLCAPS,1,2,1,1,1,1,1,ref
1,SAMEA10254556,TRUE,FALSE,FALSE,ALLCAPS,1,2,1,1,1,1,1,ref
1,SAMEA10254557,TRUE,FALSE,FALSE,ALLCAPS,1,2,1,1,1,1,1,ref
1,SAMEA10254800,TRUE,FALSE,FALSE,ALLCAPS,1,2,1,1,1,1,1,ref
1,SAMEA10254805,TRUE,FALSE,FALSE,ALLCAPS,1,2,1,1,1,1,1,ref
1,SAMEA10254810,TRUE,FALSE,FALSE,ALLCAPS,1,2,1,1,1,1,1,ref
1,SAMEA10254894,TRUE,FALSE,FALSE,ALLCAPS,1,2,1,1,1,1,1,ref
1,SAMEA10254895,TRUE,FALSE,FALSE,ALLCAPS,1,2,1,1,1,1,1,ref
1,SAMEA10254902,TRUE,FALSE,FALSE,ALLCAPS,1,2,1,1,1,1,1,ref
1,SAMEA10254909,TRUE,FALSE,FALSE,ALLCAPS,1,2,1,1,1,1,1,ref
1,SAMEA10254920,TRUE,FALSE,FALSE,ALLCAPS,1,2,1,1,1,1,1,ref
1,SAMEA10254923,TRUE,FALSE,FALSE,ALLCAPS,1,2,1,1,1,1,1,ref
1,SAMEA10254931,TRUE,FALSE,FALSE,ALLCAPS,1,2,1,1,1,1,1,ref
1,SAMEA10254933,TRUE,FALSE,FALSE,ALLCAPS,1,2,1,1,1,1,1,ref
1,SAMEA1026550,TRUE,FALSE,FALSE,ALLCAPS,1,31,1,1,1,1,1,ref
1,SAMEA1029267,TRUE,FALSE,FALSE,ALLCAPS,1,2,1,1,1,1,1,ref
1,SAMEA1033506,TRUE,FALSE,FALSE,ALLCAPS,1,2,1,1,1,1,1,ref
1,SAMEA1033544,TRUE,FALSE,FALSE,ALLCAPS,1,2,1,1,1,1,1,ref
1,SAMEA1033562,TRUE,FALSE,FALSE,ALLCAPS,1,2,1,1,1,1,1,ref
1,SAMEA1033577,TRUE,FALSE,FALSE,ALLCAPS,1,2,1,1,1,1,1,ref
1,SAMEA1033587,TRUE,FALSE,FALSE,ALLCAPS,1,2,1,1,1,1,1,ref
1,SAMEA1033598,TRUE,FALSE,FALSE,ALLCAPS,1,2,1,1,1,1,1,ref
1,SAMEA1033600,TRUE,FALSE,FALSE,ALLCAPS,1,2,1,1,1,1,1,ref
1,SAMEA1033610,TRUE,FALSE,FALSE,ALLCAPS,1,2,1,1,1,1,1,ref
1,SAMEA1033612,TRUE,FALSE,FALSE,ALLCAPS,1,2,1,1,1,1,1,ref
1,SAMEA1033633,TRUE,FALSE,FALSE,ALLCAPS,1,2,1,1,1,1,1,ref
1,SAMEA10254674,TRUE,FALSE,FALSE,ALLCAPS,1,2,1,1,1,1,1,ref
1,SAMEA10254676,TRUE,FALSE,FALSE,ALLCAPS,1,2,1,1,1,1,1,ref
1,SAMEA10254687,TRUE,FALSE,FALSE,ALLCAPS,1,2,1,1,1,1,1,ref
1,SAMEA10254691,TRUE,FALSE,FALSE,ALLCAPS,1,2,1,1,1,1,1,ref
1,SAMEA10254692,TRUE,FALSE,FALSE,ALLCAPS,1,2,1,1,1,1,1,ref
1,SAMEA10254699,TRUE,FALSE,FALSE,ALLCAPS,1,2,1,1,1,1,1,ref
1,SAMEA10254700,TRUE,FALSE,FALSE,ALLCAPS,1,2,1,1,1,1,1,ref
1,SAMEA10254702,TRUE,FALSE,FALSE,ALLCAPS,1,2,1,1,1,1,1,ref
1,SAMEA10254718,TRUE,FALSE,FALSE,ALLCAPS,1,2,1,1,1,1,1,ref
1,SAMEA10254731,TRUE,FALSE,FALSE,ALLCAPS,1,2,1,1,1,1,1,ref
1,SAMEA10254743,TRUE,FALSE,FALSE,ALLCAPS,1,2,1,1,1,1,1,ref
1,SAMEA10254744,TRUE,FALSE,FALSE,ALLCAPS,1,2,1,1,1,1,1,ref
1,SAMEA10254750,TRUE,FALSE,FALSE,ALLCAPS,1,2,1,1,1,1,1,ref
1,SAMEA10254762,TRUE,FALSE,FALSE,ALLCAPS,1,2,1,1,1,1,1,ref
1,SAMEA10254768,TRUE,FALSE,FALSE,ALLCAPS,1,2,1,1,1,1,1,ref
1,SAMEA10254774,TRUE,FALSE,FALSE,ALLCAPS,1,2,1,1,1,1,1,ref
1,SAMEA10254791,TRUE,FALSE,FALSE,ALLCAPS,1,2,1,1,1,1,1,ref
1,SAMEA103953431,TRUE,FALSE,FALSE,ALLCAPS,1,2,1,1,1,1,1,ref
1,SAMEA103953482,TRUE,FALSE,FALSE,ALLCAPS,1,2,1,1,1,1,1,ref
1,SAMEA103953496,TRUE,FALSE,FALSE,ALLCAPS,1,2,1,1,1,1,1,ref
1,SAMEA103953504,TRUE,FALSE,FALSE,ALLCAPS,1,2,1,1,1,1,1,ref
1,SAMEA104034601,TRUE,FALSE,FALSE,ALLCAPS,1,31,1,1,1,1,1,ref
1,SAMEA104034752,TRUE,FALSE,FALSE,ALLCAPS,1,31,1,1,1,1,1,ref
1,SAMEA104034810,TRUE,FALSE,FALSE,ALLCAPS,1,31,1,1,1,1,1,ref
1,SAMEA104034966,TRUE,FALSE,FALSE,ALLCAPS,1,31,1,1,1,1,1,ref
