sample_id,knn_distance,nn_distance,nn_serotype,nn_genogroup,is_novel
ERR980349#23,0.15204221,0.15204221,18C,18,False
ERR13365343#40,0.0,0.0,6C,6,False
ERR980077#22,0.15204221,0.15204221,18C,18,False
ERR980315#20,0.0,0.0,15A,15,False
ERR2681324#7,0.12205291,0.12205291,6C,6,False
ERR2681117#1,0.022218466,0.022218466,6C,6,False
ERR2090309#2,0.075900614,0.075900614,6A,6,False
ERR2681059#10,0.12205291,0.12205291,6C,6,False
ERR2681135#8,0.017783284,0.017783284,6C,6,False
ERR980124#16,0.0,0.0,15A,15,False
ERR980008#19,0.0,0.0,15A,15,False
SRR26714923#5,0.0071478486,0.0071478486,6C,6,False
ERR3303285#16,0.010346472,0.010346472,15A,15,False
ERR2681044#27,0.12205291,0.12205291,6C,6,False
ERR750778#24,5.9604645e-08,5.9604645e-08,6B,6,False
ERR2090277#3,0.06893486,0.06893486,6A,6,False
SRR26714767#49,0.014829099,0.014829099,6C,6,False
ERR980309#18,0.0,0.0,15A,15,False
