sample_id,knn_distance,nn_distance,nn_serotype,nn_genogroup,is_novel
SRR26714950#1,0.38025582,0.38025582,10A,10,True
ERR13374848#61,0.13199115,0.13199115,10A,10,False
ERR925105#18,0.06706548,0.06706548,16F,16F,False
SRR26880119#2,0.38028276,0.38028276,10A,10,True
SRR26818336#19,0.34672445,0.34672445,16F,16F,True
ERR774190#15,0.067460775,0.067460775,16F,16F,False
ERR2090738#9,0.38028276,0.38028276,10A,10,True
SRR26749384#121,0.23277617,0.23277617,19F,19F,True
ERR3270755#22,0.27633208,0.27633208,10A,10,True
ERR1788284#27,0.28864276,0.28864276,10A,10,True
SRR26789736#15,0.36991245,0.36991245,16F,16F,True
ERR13365140#59,0.32183677,0.32183677,10A,10,True
SRR26749707#20,0.2937432,0.2937432,2,2,True
ERR1756466#16,0.061540604,0.061540604,16F,16F,False
SRR26714973#21,0.26032132,0.26032132,22F,22,True
SRR26878128#13,0.34458137,0.34458137,16F,16F,True
ERR568584#59,0.2729333,0.2729333,20B,20,True
ERR316743#54,0.2729333,0.2729333,20B,20,True
ERR1202153#4,0.061537206,0.061537206,16F,16F,False
ERR862418#48,0.2729333,0.2729333,20B,20,True
ERR1288826#41,0.28864276,0.28864276,10A,10,True
SRR26833629#23,0.42265522,0.42265522,6A,6,True
ERR316934#16,0.067563295,0.067563295,16F,16F,False
SRR26910338#25,0.24653411,0.24653411,6A,6,True
SRR26833873#42,0.4270708,0.4270708,33B,33B_33D,True
SRR26595066#8,0.38028318,0.38028318,10A,10,True
ERR632870#32,0.2729333,0.2729333,20B,20,True
SRR26931258#7,0.3802747,0.3802747,10A,10,True
ERR600105#28,0.2729333,0.2729333,20B,20,True
SRR26594648#58,0.3076824,0.3076824,20B,20,True
ERR662346#70,0.27530926,0.27530926,20B,20,True
ERR909311#34,0.06706548,0.06706548,16F,16F,False
ERR909098#53,0.10961652,0.10961652,11A,11,False
ERR742601#33,0.25436074,0.25436074,6A,6,True
ERR662423#63,0.2729333,0.2729333,20B,20,True
SRR26879893#84,0.26894724,0.26894724,19F,19F,True
SRR26673218#97,0.29978138,0.29978138,10A,10,True
SRR26714150#70,0.3076824,0.3076824,20B,20,True
SRR26714416#45,0.035321176,0.035321176,11A,11,False
