sample_id,knn_distance,nn_distance,nn_serotype,nn_genogroup,is_novel
ERR2681127#2,0.008309305,0.008309305,15C,15,False
ERR913563#7,0.0074177384,0.0074177384,15B,15,False
ERR2680688#4,0.0002632141,0.0002632141,15B,15,False
ERR1453742#1,0.0,0.0,15B,15,False
ERR1430886#47,0.21100938,0.21100938,11A,11,True
ERR1066363#24,0.45146394,0.45146394,19B,19B_19C,True
ERR884409#5,0.0,0.0,15C,15,False
ERR1065299#22,0.40735018,0.40735018,10A,10,True
ERR2091264#8,0.03935063,0.03935063,15C,15,False
ERR1540676#96,0.16386998,0.16386998,7C,7B_7C_40,False
ERR1453738#22,0.03935063,0.03935063,15C,15,False
ERR730330#55,0.14362413,0.14362413,7C,7B_7C_40,False
ERR925377#30,0.0009701252,0.0009701252,15C,15,False
ERR600448#15,0.028401136,0.028401136,15C,15,False
ERR730640#12,0.0,0.0,15C,15,False
ERR425494#56,0.11467236,0.11467236,15B,15,False
ERR1540681#17,0.13685507,0.13685507,9N,9,False
ERR909310#59,0.049861312,0.049861312,3,3,False
ERR730211#14,0.00527972,0.00527972,15B,15,False
ERR1453651#23,0.0,0.0,15C,15,False
ERR1430868#20,0.17463714,0.17463714,9N,9,False
ERR1453340#50,0.16386998,0.16386998,7C,7B_7C_40,False
ERR909191#42,1.1920929e-07,1.1920929e-07,21,21,False
ERR2090041#45,0.16386998,0.16386998,7C,7B_7C_40,False
ERR1453740#21,0.008347511,0.008347511,15C,15,False
ERR845779#26,0.25831473,0.25831473,6A,6,True
ERR909281#11,0.013707876,0.013707876,15C,15,False
ERR730487#66,0.14362413,0.14362413,7C,7B_7C_40,False
ERR913345#62,0.14362413,0.14362413,7C,7B_7C_40,False
ERR913306#57,0.14362413,0.14362413,7C,7B_7C_40,False
ERR884398#27,0.016474366,0.016474366,15C,15,False
ERR2090044#44,0.16386998,0.16386998,7C,7B_7C_40,False
ERR1192124#51,0.16386998,0.16386998,7C,7B_7C_40,False
ERR997567#60,0.28734744,0.28734744,7C,7B_7C_40,True
ERR730179#61,0.14362413,0.14362413,7C,7B_7C_40,False
ERR908898#41,1.1920929e-07,1.1920929e-07,21,21,False
ERR913076#43,1.1920929e-07,1.1920929e-07,21,21,False
ERR646606#36,1.1920929e-07,1.1920929e-07,21,21,False
ERR2089991#52,0.16386998,0.16386998,7C,7B_7C_40,False
ERR870077#86,0.14362413,0.14362413,7C,7B_7C_40,False
ERR730174#54,0.14362413,0.14362413,7C,7B_7C_40,False
ERR1658090#46,0.16386998,0.16386998,7C,7B_7C_40,False
ERR2089996#49,0.16386998,0.16386998,7C,7B_7C_40,False
ERR1191934#69,0.22191179,0.22191179,7C,7B_7C_40,True
ERR1430900#19,0.17463714,0.17463714,9N,9,False
ERR1453351#48,0.16386998,0.16386998,7C,7B_7C_40,False
ERR909260#88,1.1920929e-07,1.1920929e-07,21,21,False
ERR913442#63,0.28734744,0.28734744,7C,7B_7C_40,True
ERR730217#58,0.14362413,0.14362413,7C,7B_7C_40,False
ERR774184#33,0.17106783,0.17106783,6A,6,False
ERR884633#156,0.017192066,0.017192066,15B,15,False
ERR730273#53,0.14362413,0.14362413,7C,7B_7C_40,False
ERR870047#64,0.14362413,0.14362413,7C,7B_7C_40,False
ERR331153#109,0.0005489588,0.0005489588,15C,15,False
ERR909325#34,0.13685602,0.13685602,6B,6,False
ERR909099#39,1.1920929e-07,1.1920929e-07,21,21,False
ERR326414#108,0.021671355,0.021671355,19F,19F,False
ERR884611#143,0.23575729,0.23575729,6B,6,True
ERR869866#38,0.3331694,0.3331694,19F,19F,True
ERR862284#312,0.14362413,0.14362413,7C,7B_7C_40,False
ERR1065451#32,0.03412062,0.03412062,21,21,False
ERR884594#115,0.23575729,0.23575729,6B,6,True
ERR326440#120,0.057192445,0.057192445,10A,10,False
ERR326531#114,0.35733807,0.35733807,10A,10,True
ERR1788338#31,0.25498784,0.25498784,1,1,True
ERR2089058#65,0.16386998,0.16386998,7C,7B_7C_40,False
ERR862445#98,0.2855476,0.2855476,19A,19A,True
