sample_id,knn_distance,nn_distance,nn_serotype,nn_genogroup,is_novel
ERR730331#10,0.07325673,0.07325673,9N,9,False
ERR984269#12,0.032854617,0.032854617,9N,9,False
ERR997484#1,0.0042868257,0.0042868257,9N,9,False
ERR913215#38,0.0021120906,0.0021120906,19A,19A,False
ERR433833#23,0.098528326,0.098528326,14,14,False
ERR980270#16,0.0035741925,0.0035741925,9N,9,False
ERR980306#4,0.06082052,0.06082052,9N,9,False
ERR1453462#36,0.075151026,0.075151026,9N,9,False
ERR730244#11,0.029846787,0.029846787,9N,9,False
ERR2667267#9,0.016398966,0.016398966,9N,9,False
ERR913263#13,0.029846787,0.029846787,9N,9,False
ERR2090478#13,0.029956877,0.029956877,9N,9,False
ERR1658250#38,0.075151026,0.075151026,9N,9,False
ERR751017#24,0.099110246,0.099110246,4,4,False
ERR316659#30,0.31181985,0.31181985,10A,10,True
ERR742751#25,0.053330064,0.053330064,9N,9,False
ERR1106746#19,0.0034964085,0.0034964085,9N,9,False
SRR26797977#10,0.0070651174,0.0070651174,9N,9,False
ERR1422333#17,0.1623739,0.1623739,17F,17F,False
ERR742741#18,0.068264544,0.068264544,9N,9,False
ERR1453787#22,0.45166057,0.45166057,12F,12_44_46,True
ERR1453452#39,0.075151026,0.075151026,9N,9,False
