sample_id,knn_distance,nn_distance,nn_serotype,nn_genogroup,is_novel
ERR13365283#4,0.15137398,0.15137398,23F,23,False
SRR26749815#2,0.1561265,0.1561265,23F,23,False
SRR26672759#12,0.15892202,0.15892202,23F,23,False
ERR774588#3,0.056717098,0.056717098,23F,23,False
SRR26749444#1,0.1561265,0.1561265,23F,23,False
ERR505672#16,0.15894276,0.15894276,23F,23,False
ERR13366099#5,0.16074497,0.16074497,23F,23,False
SRR26879918#23,0.20766002,0.20766002,13,13,True
ERR774188#6,0.056717098,0.056717098,23F,23,False
SRR26789650#15,0.1561265,0.1561265,23F,23,False
SRR26715032#13,0.15396535,0.15396535,23F,23,False
ERR568765#97,0.0,0.0,23F,23,False
ERR326361#126,0.0,0.0,23F,23,False
ERR742846#22,0.018563211,0.018563211,23B,23,False
ERR730794#8,0.14428109,0.14428109,23F,23,False
SRR26878168#19,0.037144065,0.037144065,23B,23,False
ERR13365350#7,0.15852857,0.15852857,23F,23,False
SRR26790004#11,1.1920929e-07,1.1920929e-07,Serogroup 24,Serogroup 24,False
ERR1065197#9,0.16313535,0.16313535,23F,23,False
ERR568755#14,0.10139334,0.10139334,23F,23,False
SRR26673225#46,0.009932518,0.009932518,23B,23,False
ERR2681064#21,0.029397964,0.029397964,19A,19A,False
SRR26714762#154,0.14175647,0.14175647,18C,18,False
SRR26750040#53,0.012461722,0.012461722,23F,23,False
SRR26879479#33,0.04331845,0.04331845,23F,23,False
ERR506038#49,0.23387903,0.23387903,6B,6,True
ERR326426#128,0.0,0.0,23F,23,False
SRR26749580#111,0.20619124,0.20619124,23F,23,True
ERR13365216#20,0.0,0.0,11A,11,False
ERR13374865#52,0.0,0.0,23F,23,False
ERR2681057#36,0.029397964,0.029397964,19A,19A,False
ERR326369#126,0.0,0.0,23F,23,False
SRR26880339#77,0.0016797781,0.0016797781,22F,22,False
SRR26911200#40,0.065008104,0.065008104,23F,23,False
SRR26880376#35,0.0,0.0,23F,23,False
ERR13366043#64,0.0043894053,0.0043894053,23F,23,False
ERR13374840#58,0.0,0.0,23F,23,False
ERR884597#65,0.023526251,0.023526251,23B,23,False
ERR13365581#31,0.27667248,0.27667248,24F,Serogroup 24,True
SRR26884714#26,0.10994744,0.10994744,23F,23,False
ERR13374885#99,0.3459767,0.3459767,27,27,True
SRR26878400#43,0.0016797781,0.0016797781,22F,22,False
SRR26714826#151,0.14175647,0.14175647,18C,18,False
ERR13374789#45,0.023078859,0.023078859,23F,23,False
