sample_id,Serotype,Is_capsule,knn_distance,nn_distance,nn_serotype,nn_genogroup,is_novel
ERR1788086#7,19A,1,0.0,0.0,19A,19A,False
ERR1788086#17,19A,1,0.00019013882,0.00019013882,19A,19A,False
ERR3796576#2,24F,1,0.0,0.0,24F,Serogroup 24,False
ERR2667694#2,19A,1,3.3438206e-05,3.3438206e-05,19A,19A,False
ERR2667715#2,23F,1,4.3272972e-05,4.3272972e-05,23F,23,False
SRR26930632#1,12F,1,0.0,0.0,12F,12_44_46,False
SRR26930632#10,12F,1,5.9604645e-08,5.9604645e-08,12F,12_44_46,False
SRR26594543#1,20B,1,1.7881393e-07,1.7881393e-07,20B,20,False
SRR26594543#8,20B,1,0.0,0.0,20B,20,False
SRR26749669#12,3,1,0.0,0.0,3,3,False
SRR26910486#6,22F,1,0.0,0.0,22F,22,False
SRR26910486#9,22F,1,0.0,0.0,22F,22,False
SRR26878107#2,33F,1,0.0,0.0,33F,33A_33F_37,False
SRR26878107#16,33F,1,0.0,0.0,Serogroup 33,Serogroup 33,False
ERR568629#4,6A,1,0.0,0.0,6A,6,False
ERR8481615#5,21,1,0.0,0.0,21,21,False
ERR8481615#17,21,1,0.0,0.0,21,21,False
ERR900672#6,4,1,1.1920929e-07,1.1920929e-07,4,4,False
ERR900672#58,4,1,0.0,0.0,4,4,False
SRR26749497#1,15A,1,5.9604645e-08,5.9604645e-08,15A,15,False
SRR26878547#2,17F,1,5.9604645e-08,5.9604645e-08,17F,17F,False
ERR2090163#3,2,1,0.0001912117,0.0001912117,2,2,False
ERR2853428#1,19A,1,0.0,0.0,19A,19A,False
ERR1788574#7,19A,1,9.638071e-05,9.638071e-05,19A,19A,False
ERR1214325#4,3,1,0.0,0.0,3,3,False
ERR730772#2,14,1,1.7881393e-07,1.7881393e-07,14,14,False
ERR730772#5,14,1,0.0,0.0,14,14,False
SRR26930758#1,7C,1,0.0,0.0,7C,7B_7C_40,False
SRR26884672#4,16F,1,0.24977702,0.24977702,6A,6,True
SRR26884672#35,16F,1,0.0,0.0,16F,16F,False
SRR26714537#2,22F,1,0.0,0.0,22F,22,False
SRR26714537#4,22F,1,1.5079975e-05,1.5079975e-05,22F,22,False
ERR1422487#2,19F,1,1.1920929e-07,1.1920929e-07,19F,19F,False
ERR1422487#34,19F,1,1.7881393e-07,1.7881393e-07,19F,19F,False
SRR26797019#2,19A,1,0.00026971102,0.00026971102,19A,19A,False
SRR26673551#1,22F,1,0.002713561,0.002713561,22F,22,False
SRR26673551#17,22F,1,5.9604645e-08,5.9604645e-08,22F,22,False
ERR1422395#3,7F,1,0.00040209293,0.00040209293,7F,7A_7F,False
ERR662359#6,22F,1,5.9604645e-08,5.9604645e-08,22F,22,False
ERR662359#93,22F,1,0.0,0.0,22F,22,False
ERR1065251#1,6A,1,0.0,0.0,6A,6,False
ERR490721#11,23F,1,0.0,0.0,23F,23,False
ERR490721#18,23F,1,1.7881393e-07,1.7881393e-07,23F,23,False
SRR26883987#1,12F,1,1.1920929e-07,1.1920929e-07,12F,12_44_46,False
SRR26883987#9,12F,1,5.9604645e-08,5.9604645e-08,12F,12_44_46,False
ERR913563#2,15B/C,1,0.0,0.0,15B/C,15B/C,False
ERR913563#7,15B/C,1,0.0,0.0,15B/C,15B/C,False
ERR1788386#22,7F,1,5.4895878e-05,5.4895878e-05,7F,7A_7F,False
ERR1788386#48,7F,1,0.0,0.0,7F,7A_7F,False
SRR26594494#1,20B,1,1.7881393e-07,1.7881393e-07,20B,20,False
SRR26594494#4,20B,1,9.536743e-07,9.536743e-07,20B,20,False
ERR2090681#1,5,1,1.7881393e-07,1.7881393e-07,5,5,False
ERR2090681#24,5,1,0.0,0.0,5,5,False
ERR13364933#1,19A,1,1.692772e-05,1.692772e-05,19A,19A,False
ERR9796490#1,19A,1,1.7881393e-06,1.7881393e-06,19A,19A,False
ERR13365273#10,3,1,0.0,0.0,3,3,False
ERR319399#15,6C,1,0.0,0.0,6C,6,False
ERR319399#102,6C,1,5.9604645e-08,5.9604645e-08,6C,6,False
ERR876471#12,14,1,0.0,0.0,14,14,False
ERR876471#26,14,1,0.0,0.0,14,14,False
ERR1191881#2,18A,1,0.020114005,0.020114005,18A,18,False
ERR1191881#9,18A,1,0.0926221,0.0926221,18A,18,False
ERR13366076#3,16F,1,0.0020671487,0.0020671487,16F,16F,False
ERR13366076#12,16F,1,0.031543255,0.031543255,16F,16F,False
ERR730652#22,7C,1,0.008219719,0.008219719,7C,7B_7C_40,False
ERR730652#53,7C,1,0.29149252,0.29149252,18F,18,True
ERR2680688#4,15B/C,1,0.0,0.0,15B/C,15B/C,False
SRR26714565#3,19A,1,0.0,0.0,19A,19A,False
SRR26749751#1,15A,1,1.7285347e-06,1.7285347e-06,15A,15,False
