predicted_serotype,tip,predicted_serogroup,is_cps,nn_serotype,nn_serogroup,nn_genogroup,nn_distance,tool,threshold,is_novel_serogroup,GPSC,final_serotype_prediction,final_serogroup_prediction,Name,Genogroup,SeroBA_Unknown,SeroBA_Type
12F,SAMN11117344,12,TRUE,15B/C,15,15B/C,0.208168387244948,ALLCAPS,0.0560859747107625,TRUE,38,Novel,Novel,12F,12A,1,ref
25F,SAMEA4931248,25,TRUE,25F,25,25A_25F_38,0.0433303397870465,ALLCAPS,4.51792531455109e-5,TRUE,38,Novel,Novel,25F,25A,1,ref
25F,SAMEA6500716,25,TRUE,25F,25,25A_25F_38,0.065302151878037007,ALLCAPS,4.51792531455109e-5,TRUE,38,Novel,Novel,25F,25A,1,ref
31,SAMN11116586,31,TRUE,31,31,31,0.25427717949194,ALLCAPS,0.0834530962777698,TRUE,38,Novel,Novel,31,31,1,ref
31,SAMN11116644,31,TRUE,9N,9,9,0.195553941819319,ALLCAPS,0.0019420714847999,TRUE,38,Novel,Novel,31,31,1,ref
38,SAMEA1028689,38,TRUE,25A,25,25A_25F_38,6.2410730325146e-4,ALLCAPS,4.60093985018006e-5,TRUE,38,Novel,Novel,38,25A,1,ref
38,SAMEA111352056,38,TRUE,38,38,25A_25F_38,1.7398045016248e-4,ALLCAPS,4.99756673245644e-5,TRUE,38,Novel,Novel,38,25A,1,ref
38,SAMEA1028659,38,TRUE,25A,25,25A_25F_38,9.0093345374997e-4,ALLCAPS,4.60093985018006e-5,TRUE,38,Novel,Novel,38,25A,1,ref
38,SAMEA111351850,38,TRUE,38,38,25A_25F_38,0.00753217642149728,ALLCAPS,4.99756673245644e-5,TRUE,38,Novel,Novel,38,25A,1,ref
38,SAMEA104035050,38,TRUE,38,38,25A_25F_38,1.7398045016248e-4,ALLCAPS,4.99756673245644e-5,TRUE,38,Novel,Novel,38,25A,1,ref
38,SAMEA104035127,38,TRUE,38,38,25A_25F_38,0.00194664812594569,ALLCAPS,4.99756673245644e-5,TRUE,38,Novel,Novel,38,25A,1,ref
38,SAMEA114211740,38,TRUE,38,38,25A_25F_38,2.6519707480265e-4,ALLCAPS,4.99756673245644e-5,TRUE,38,Novel,Novel,38,25A,1,ref
38,SAMEA114211744,38,TRUE,38,38,25A_25F_38,3.5529100142506e-4,ALLCAPS,4.99756673245644e-5,TRUE,38,Novel,Novel,38,25A,1,ref
38,SAMEA114211878,38,TRUE,38,38,25A_25F_38,7.22980372712678e-5,ALLCAPS,4.99756673245644e-5,TRUE,38,Novel,Novel,38,25A,1,ref
38,SAMEA114212000,38,TRUE,38,38,25A_25F_38,3.3269013233649e-4,ALLCAPS,4.99756673245644e-5,TRUE,38,Novel,Novel,38,25A,1,ref
38,SAMEA114212203,38,TRUE,38,38,25A_25F_38,6.5614943346048e-4,ALLCAPS,4.99756673245644e-5,TRUE,38,Novel,Novel,38,25A,1,ref
38,SAMEA1028859,38,TRUE,25A,25,25A_25F_38,6.2410730325146e-4,ALLCAPS,4.60093985018006e-5,TRUE,38,Novel,Novel,38,25A,1,ref
38,SAMEA1028888,38,TRUE,25A,25,25A_25F_38,6.2410730325146e-4,ALLCAPS,4.60093985018006e-5,TRUE,38,Novel,Novel,38,25A,1,ref
