sample_id,Serotype,Is_capsule,knn_distance,nn_distance,nn_serotype,nn_genogroup,is_novel
ERR1788086#7,19A,1,0.0,0.0,19A,19A,False
ERR1788086#17,19A,1,4.4703484e-05,4.4703484e-05,19A,19A,False
ERR3796576#2,24F,1,0.0,0.0,Serogroup 24,Serogroup 24,False
ERR2667694#2,19A,1,9.179115e-06,9.179115e-06,19A,19A,False
ERR2667715#2,23F,1,3.927946e-05,3.927946e-05,23F,23,False
SRR26930632#1,12F,1,0.0,0.0,12F,12_44_46,False
SRR26930632#10,12F,1,0.0,0.0,12F,12_44_46,False
SRR26594543#1,20B,1,0.0,0.0,20B,20,False
SRR26594543#8,20B,1,0.0,0.0,20B,20,False
SRR26749669#12,3,1,0.0,0.0,3,3,False
SRR26910486#6,22F,1,5.9604645e-08,5.9604645e-08,22F,22,False
SRR26910486#9,22F,1,0.0,0.0,22F,22,False
SRR26878107#2,33F,1,0.0,0.0,33F,33A_33F_37,False
SRR26878107#16,33F,1,0.0,0.0,Serogroup 33,Serogroup 33,False
ERR568629#4,6A,1,7.390976e-06,7.390976e-06,6A,6,False
ERR8481615#5,21,1,0.0,0.0,21,21,False
ERR8481615#17,21,1,0.0,0.0,21,21,False
ERR900672#6,4,1,0.0,0.0,4,4,False
ERR900672#58,4,1,2.3841858e-07,2.3841858e-07,4,4,False
SRR26749497#1,15A,1,0.0,0.0,15A,15,False
SRR26878547#2,17F,1,5.9604645e-08,5.9604645e-08,17F,17F,False
ERR2090163#3,2,1,1.257658e-05,1.257658e-05,2,2,False
ERR2853428#1,19A,1,0.0,0.0,19A,19A,False
ERR1788574#7,19A,1,1.5437603e-05,1.5437603e-05,19A,19A,False
ERR1214325#4,3,1,0.0,0.0,3,3,False
ERR730772#2,14,1,0.0,0.0,14,14,False
ERR730772#5,14,1,0.0,0.0,14,14,False
SRR26930758#1,7C,1,5.9604645e-08,5.9604645e-08,7C,7B_7C_40,False
SRR26884672#4,16F,1,0.10310161,0.10310161,15A,15,False
SRR26884672#35,16F,1,1.7881393e-07,1.7881393e-07,16F,16F,False
SRR26714537#2,22F,1,0.0,0.0,22F,22,False
SRR26714537#4,22F,1,3.9339066e-05,3.9339066e-05,22F,22,False
ERR1422487#2,19F,1,0.0,0.0,19F,19F,False
ERR1422487#34,19F,1,0.0,0.0,19F,19F,False
SRR26797019#2,19A,1,1.5079975e-05,1.5079975e-05,19A,19A,False
SRR26673551#1,22F,1,0.002496481,0.002496481,22F,22,False
SRR26673551#17,22F,1,5.9604645e-08,5.9604645e-08,22F,22,False
