sample,GPSC
SAMEA115370522,12
SAMN11116896,12
SAMN41762382,12
SAMN37512516,12
SAMEA1020062,12
SAMN05222005,12
SAMEA6914932,12
SAMEA3714003,12
SAMN11117207,12
SAMN14169345,12
SAMN11116831,12
SAMN11117010,12
SAMEA115532128,12
SAMN41761448,12
SAMEA114332534,12
SAMEA4926941,12
SAMEA6098134,12
SAMN33606435,12
SAMN14158562,12
SAMEA2796453,12
SAMEA114442015,12
SAMN27737921,12
SAMN41790636,12
SAMN09224819,12
SAMN41762450,12
SAMN09230623,12
SAMN41759840,12
SAMEA3323353,12
SAMEA112299408,12
SAMEA104141952,12
SAMEA115531937,12
SAMN14169199,12
SAMN20408517,12
SAMN11117099,12
SAMN05220945,12
SAMEA6914871,12
SAMN37512530,12
SAMEA114332575,12
SAMEA6097772,12
SAMEA115796535,12
SAMN05222782,12
SAMN05220967,12
SAMEA115532041,12
SAMEA3145749,12
SAMN20332670,12
SAMN05221229,12
SAMEA5786197,12
SAMN05223119,12
SAMN25119015,12
SAMEA6914864,12
SAMN14150942,12
SAMN14168803,12
SAMN41751203,12
SAMN41768383,12
SAMN05222719,12
SAMEA114479395,12
SAMEA112824274,12
SAMEA114332678,12
SAMEA6098021,12
SAMEA2612818,12
SAMEA114520532,12
SAMEA2239122,12
SAMN11121586,12
SAMN14169068,12
SAMEA3180816,12
SAMN41760989,12
SAMN09231051,12
SAMEA3430869,12
SAMEA6098231,12
SAMN41760520,12
SAMEA970213,12
SAMN41765364,12
SAMEA115376592,12
SAMN41762342,12
SAMN11116961,12
SAMN41759603,12
SAMN20408396,12
SAMN41768462,12
SAMEA5084240,12
SAMN41751075,12
SAMN41768273,12
SAMN37512486,12
SAMN41765760,12
SAMEA104035532,12
SAMEA3221182,12
SAMN33606396,12
SAMEA6914808,12
SAMN05935836,12
SAMN14168758,12
SAMN41751373,12
SAMN33606382,12
SAMN20331826,12
SAMN33606431,12
SAMN05223159,12
SAMN41765381,12
SAMEA4387979,12
SAMEA115531985,12
SAMEA115092523,12
SAMN05222198,12
SAMEA115795669,12
SAMN05221292,12
SAMN05222791,12
SAMEA2203938,12
SAMN42206864,12
