sample_id,knn_distance,nn_distance,nn_serotype,nn_genogroup,is_novel
SRR26880118#2,0.0,0.0,33F,33A_33F_37,False
SRR26880039#18,9.5427036e-05,9.5427036e-05,33F,33A_33F_37,False
SRR26789474#20,0.0,0.0,33F,33A_33F_37,False
SRR26880425#13,1.7881393e-07,1.7881393e-07,33F,33A_33F_37,False
SRR26594213#21,0.013207257,0.013207257,33F,33A_33F_37,False
SRR26931839#23,0.013207257,0.013207257,33F,33A_33F_37,False
SRR26714842#21,9.9122524e-05,9.9122524e-05,33F,33A_33F_37,False
SRR26798006#22,5.9604645e-08,5.9604645e-08,33F,33A_33F_37,False
SRR26749872#17,8.5413456e-05,8.5413456e-05,33F,33A_33F_37,False
SRR26714693#34,0.18863964,0.18863964,33F,33A_33F_37,False
SRR26817763#19,0.0,0.0,33F,33A_33F_37,False
SRR26673145#69,0.1285823,0.1285823,33F,33A_33F_37,False
SRR26797552#18,6.54459e-05,6.54459e-05,33F,33A_33F_37,False
SRR26910217#16,0.0,0.0,33E,33E,False
SRR26749946#33,0.0,0.0,33F,33A_33F_37,False
SRR26880185#19,0.0,0.0,33F,33A_33F_37,False
SRR26714698#103,0.25462204,0.25462204,33F,33A_33F_37,True
SRR26594557#20,0.0,0.0,33F,33A_33F_37,False
ERR326694#29,1.7881393e-07,1.7881393e-07,33F,33A_33F_37,False
