sample_id,knn_distance,nn_distance,nn_serotype,nn_genogroup,is_novel
SRR26930758#1,0.029731274,0.029731274,40,7B_7C_40,False
ERR730652#53,0.29322058,0.29322058,13,13,True
ERR596385#16,0.1205861,0.1205861,35F,35F,False
ERR8481847#6,0.07811183,0.07811183,7B,7B_7C_40,False
ERR701780#8,0.033433974,0.033433974,7B,7B_7C_40,False
SRR26880149#13,0.09958923,0.09958923,24F,Serogroup 24,False
SRR26931346#27,0.0,0.0,23B,23,False
SRR26834441#40,0.11406803,0.11406803,19A,19A,False
SRR26878645#5,0.07880354,0.07880354,7B,7B_7C_40,False
ERR913520#9,0.033433974,0.033433974,7B,7B_7C_40,False
SRR26931771#21,0.09958923,0.09958923,24F,Serogroup 24,False
SRR26817975#7,0.033219635,0.033219635,7B,7B_7C_40,False
SRR26879741#20,0.15602762,0.15602762,Serogroup 24,Serogroup 24,False
ERR1430908#15,0.2750675,0.2750675,5,5,True
SRR26910535#12,0.09958923,0.09958923,24F,Serogroup 24,False
SRR26911030#24,0.1510961,0.1510961,24F,Serogroup 24,False
ERR774019#14,0.0,0.0,19F,19F,False
SRR26878743#23,0.09958923,0.09958923,24F,Serogroup 24,False
SRR26879941#11,0.1510961,0.1510961,24F,Serogroup 24,False
ERR505998#61,0.10215449,0.10215449,16F,16F,False
SRR26749697#19,0.3118289,0.3118289,19F,19F,True
SRR26673295#34,0.1510961,0.1510961,24F,Serogroup 24,False
SRR26749856#10,0.09958923,0.09958923,24F,Serogroup 24,False
SRR26911072#8,0.17407066,0.17407066,6A,6,False
ERR662449#41,0.010100126,0.010100126,19F,19F,False
SRR26749467#25,0.3118289,0.3118289,19F,19F,True
ERR909102#32,0.025646329,0.025646329,19F,19F,False
ERR862447#18,0.07379329,0.07379329,7B,7B_7C_40,False
SRR26672882#29,0.08234209,0.08234209,15B/C,15B/C,False
ERR2090229#26,0.28943914,0.28943914,6A,6,True
SRR26833685#31,0.08234209,0.08234209,15B/C,15B/C,False
SRR26750050#33,0.123360574,0.123360574,23A,23,False
SRR26673209#117,0.1510961,0.1510961,24F,Serogroup 24,False
ERR908857#52,0.025646329,0.025646329,19F,19F,False
SRR26834023#58,0.028303564,0.028303564,Serogroup 24,Serogroup 24,False
SRR26750043#242,0.14856392,0.14856392,19A,19A,False
ERR600188#17,0.1205861,0.1205861,35F,35F,False
SRR26880342#81,0.12011945,0.12011945,19A,19A,False
SRR26594664#70,0.18256944,0.18256944,6B,6,False
