sample_id,knn_distance,nn_distance,nn_serotype,nn_genogroup,is_novel
ERR2090722#12,0.118368566,0.118368566,33B,33B_33D,False
ERR1788259#3,0.10568136,0.10568136,35A,35A_35C_42,False
ERR3303360#1,0.08039367,0.08039367,10A,10,False
ERR1214506#14,0.2948013,0.2948013,19B,19B_19C,True
ERR997616#19,0.11969048,0.11969048,35A,35A_35C_42,False
ERR862503#48,0.18754482,0.18754482,19A,19A,False
ERR1288829#2,0.0106529,0.0106529,10A,10,False
ERR869997#23,0.20229042,0.20229042,19A,19A,True
ERR1799704#11,0.11502278,0.11502278,35A,35A_35C_42,False
ERR316709#76,0.22512436,0.22512436,6A,6,True
ERR876706#26,0.12947416,0.12947416,6B,6,False
ERR909022#17,0.08374095,0.08374095,10A,10,False
ERR13374720#5,0.081355095,0.081355095,35A,35A_35C_42,False
SRR26878604#15,0.092793226,0.092793226,35A,35A_35C_42,False
ERR1422348#43,0.118368566,0.118368566,33B,33B_33D,False
ERR862514#21,0.23825032,0.23825032,19A,19A,True
ERR316575#18,0.22942811,0.22942811,19A,19A,True
ERR3270800#11,0.24122,0.24122,12F,12_44_46,True
SRR26910678#13,0.092793226,0.092793226,35A,35A_35C_42,False
ERR3303224#9,0.11569846,0.11569846,10A,10,False
SRR26594580#41,0.14326048,0.14326048,19B,19B_19C,False
ERR316848#22,0.24998134,0.24998134,22F,22,True
SRR26749680#35,0.14326048,0.14326048,19B,19B_19C,False
ERR909157#20,0.08804846,0.08804846,19A,19A,False
ERR501593#70,0.22512436,0.22512436,6A,6,True
ERR862330#56,0.22512436,0.22512436,6A,6,True
ERR316704#38,0.18754482,0.18754482,19A,19A,False
ERR13364479#33,0.08250147,0.08250147,35A,35A_35C_42,False
ERR862441#33,0.18754482,0.18754482,19A,19A,False
ERR869832#52,0.22512436,0.22512436,6A,6,True
SRR26834121#28,0.037608027,0.037608027,19F,19F,False
