sample_id,knn_distance,nn_distance,nn_serotype,nn_genogroup,is_novel
ERR742667#51,0.044231474,0.044231474,11A,11,False
ERR568653#27,0.0,0.0,23F,23,False
ERR730498#1,0.12244499,0.12244499,9A,9,False
SRR26834376#18,0.13480884,0.13480884,9N,9,False
ERR742356#25,0.014239728,0.014239728,14,14,False
ERR2667595#26,0.12869841,0.12869841,19A,19A,False
ERR751077#28,0.20682889,0.20682889,19F,19F,True
ERR13374630#30,0.12869841,0.12869841,19A,19A,False
ERR1799747#33,0.16146725,0.16146725,19F,19F,False
ERR714675#26,0.011594117,0.011594117,14,14,False
SRR26594759#20,0.18371141,0.18371141,23F,23,False
ERR600082#64,0.0,0.0,14,14,False
ERR876473#45,0.18777627,0.18777627,19F,19F,False
ERR730749#22,0.0,0.0,14,14,False
ERR1422674#17,0.1323402,0.1323402,9N,9,False
ERR13364597#34,0.12869841,0.12869841,19A,19A,False
ERR326715#50,0.0,0.0,19A,19A,False
SRR26931667#14,0.1323402,0.1323402,9N,9,False
ERR956304#54,0.0,0.0,19A,19A,False
ERR1065391#13,0.332564,0.332564,9N,9,True
ERR862383#58,0.18240976,0.18240976,14,14,False
ERR326585#132,0.0,0.0,14,14,False
ERR1288885#16,0.14611715,0.14611715,9N,9,False
ERR501622#8,0.3747192,0.3747192,9A,9,True
SRR26818615#32,0.2762153,0.2762153,15C,15,True
ERR2667789#14,0.13133681,0.13133681,9N,9,False
ERR568558#12,0.00063604116,0.00063604116,19F,19F,False
ERR869828#61,0.20364267,0.20364267,33D,33B_33D,True
ERR568551#44,0.0,0.0,28F,28,False
ERR326718#48,0.0,0.0,19A,19A,False
ERR326700#46,0.0,0.0,19A,19A,False
ERR730897#39,0.0,0.0,19A,19A,False
ERR750863#49,0.044231474,0.044231474,11A,11,False
ERR13365103#31,0.043871045,0.043871045,14,14,False
ERR13374606#36,0.12869841,0.12869841,19A,19A,False
ERR326489#127,0.0,0.0,14,14,False
ERR876503#42,0.0,0.0,19A,19A,False
ERR326575#176,0.049936414,0.049936414,11,11,False
ERR13365009#37,0.12869841,0.12869841,19A,19A,False
SRR26880152#43,0.28115118,0.28115118,35C,35A_35C_42,True
ERR13364615#51,0.16105747,0.16105747,9N,9,False
ERR1756388#41,0.1982432,0.1982432,19F,19F,False
ERR505810#57,0.0,0.0,19A,19A,False
ERR326541#134,0.009570718,0.009570718,14,14,False
ERR331471#47,0.0052484274,0.0052484274,19A,19A,False
ERR862435#76,0.18240976,0.18240976,14,14,False
ERR316933#52,0.20364267,0.20364267,33D,33B_33D,True
ERR13364375#35,0.12869841,0.12869841,19A,19A,False
ERR326463#126,0.0,0.0,14,14,False
ERR909188#151,0.13435632,0.13435632,33D,33B_33D,False
ERR326535#95,0.0,0.0,14,14,False
ERR869818#53,0.0,0.0,28F,28,False
ERR884569#117,0.29288203,0.29288203,35C,35A_35C_42,True
ERR326482#127,0.0007971525,0.0007971525,14,14,False
ERR326481#140,0.0,0.0,14,14,False
ERR326441#120,0.0,0.0,14,14,False
