CLJNKN_008,pdxS
CLJNKN_009,pdxT
CLJNKN_016,tcyN
CLJNKN_019,rlmB
CLJNKN_026,eamA
CLJNKN_031,tnpB
CLJNKN_035,aliA
GLIGEG_010,birA
GLIGEG_014,msmF
GLIGEG_015,msmG
GLIGEG_019,aliA
GLIGEG_020,amiC
GLIGEG_022,amiE
GLIGEG_023,oppF
GLIGEG_031,aliA
FHPJIP_003,ssbA
FHPJIP_016,aliD
FHPJIP_026,greA
FHPJIP_029,aliA
MOJKLO_019,eamA
MOJKLO_023,ytxH
MOJKLO_030,mdxF
MOJKLO_031,aliA
DLMFHI_015,sufD
DLMFHI_017,iscU
DLMFHI_018,sufB
DLMFHI_026,ftsK
DLMFHI_035,aliA
ELHJAH_003,nupQ
ELHJAH_004,nupB
ELHJAH_023,folD
ELHJAH_028,clpE
ELHJAH_031,orfA
ELHJAH_034,aliA
AGDDOD_014,clpX
AGDDOD_015,engB
AGDDOD_019,whiA
AGDDOD_025,degV
AGDDOD_029,mntE
AGDDOD_039,cpsD
AGDDOD_040,orfA
AGDDOD_043,cpsB
AGDDOD_060,orfA
AGDDOD_063,aliA
GGNNCF_011,recJ
GGNNCF_014,murM
GGNNCF_015,murN
GGNNCF_027,yhfE
GGNNCF_032,aliA
ABGFOF_005,ybeY
ABGFOF_006,pavA
ABGFOF_016,celB
ABGFOF_022,tfoX
ABGFOF_026,cvfB
ABGFOF_030,orfA
ABGFOF_033,aliA
SPC38_0001,dexB
SPC38_0002,aliB
SPC38_0003,tnp
SPC38_0004,tnp
SPC38_0005,tnp
SPC38_0006,glf
SPC38_0007,wzd
SPC38_0008,wze
SPC38_0009,tnp
SPC38_0010,wzg
SPC38_0011,wzh
SPC38_0012,wciI
SPC38_0013,wcyA
SPC38_0014,wzy
SPC38_0015,wcyB
SPC38_0016,wcyC
SPC38_0017,wcyD
SPC38_0018,wcyV
SPC38_0019,wzx
SPC38_0020,wcyF
SPC38_0021,gla
SPC38_0022,ugd
SPC38_0023,tnp
SPC38_0024,intron
SPC38_0025,tnp
SPC38_0026,tnp
SPC38_0027,tnp
SPC38_0028,aliA
