sample_id,knn_distance,nn_distance,nn_serotype,nn_genogroup,is_novel
ERR7568057#17,0.0,0.0,6B,6,False
SRR26880040#11,0.0,0.0,6B,6,False
ERR13364526#3,0.0017718077,0.0017718077,6B,6,False
ERR13364411#8,0.0,0.0,6B,6,False
ERR13365170#12,1.7106533e-05,1.7106533e-05,6B,6,False
ERR13366238#7,3.194809e-05,3.194809e-05,6B,6,False
ERR13365116#9,0.0,0.0,6B,6,False
ERR7567875#16,0.0,0.0,6B,6,False
ERR13364885#14,0.0,0.0,6B,6,False
ERR14654028#13,3.7550926e-06,3.7550926e-06,6B,6,False
ERR14653983#20,0.0,0.0,6B,6,False
ERR13365934#10,0.0,0.0,6B,6,False
ERR13365077#25,0.0,0.0,6B,6,False
ERR8481705#3,0.0,0.0,6B,6,False
ERR13375060#29,1.7881393e-07,1.7881393e-07,19F,19F,False
ERR7567940#21,0.0,0.0,6B,6,False
ERR13364603#1,0.0,0.0,6B,6,False
ERR13365172#24,0.0,0.0,6B,6,False
