sample_id,knn_distance,nn_distance,nn_serotype,nn_genogroup,is_novel
SAMEA115377450#2,4.6264889519753716e-05,4.6264889519753716e-05,3,3,False
SAMEA3175979#2,4.6264889519753716e-05,4.6264889519753716e-05,3,3,False
SAMEA6097800#1,4.6264889519753716e-05,4.6264889519753716e-05,3,3,False
SAMEA6914896#5,6.60727189428778e-05,6.60727189428778e-05,3,3,False
SAMEA114479097#3,4.6264889519753716e-05,4.6264889519753716e-05,3,3,False
SAMEA6097795#1,6.60727189428778e-05,6.60727189428778e-05,3,3,False
SAMN14150885#4,4.6264889519753716e-05,4.6264889519753716e-05,3,3,False
SAMEA115795076#3,4.6264889519753716e-05,4.6264889519753716e-05,3,3,False
SAMN41751173#3,4.6264889519753716e-05,4.6264889519753716e-05,3,3,False
SAMN14168984#13,6.60727189428778e-05,6.60727189428778e-05,3,3,False
SAMEA2238637#2,7.289427920864622e-05,7.289427920864622e-05,3,3,False
SAMEA115794720#2,4.6264889519753716e-05,4.6264889519753716e-05,3,3,False
SAMN05221502#1,4.6264889519753716e-05,4.6264889519753716e-05,3,3,False
SAMN05223261#5,6.60727189428778e-05,6.60727189428778e-05,3,3,False
SAMEA6097893#3,6.60727189428778e-05,6.60727189428778e-05,3,3,False
SAMN14151297#3,4.6264889519753716e-05,4.6264889519753716e-05,3,3,False
SAMN05223030#8,6.60727189428778e-05,6.60727189428778e-05,3,3,False
SAMEA3180816#2,4.6264889519753716e-05,4.6264889519753716e-05,3,3,False
SAMEA3431410#1,6.60727189428778e-05,6.60727189428778e-05,3,3,False
SAMN37512590#5,6.60727189428778e-05,6.60727189428778e-05,3,3,False
SAMEA115376603#3,4.6264889519753716e-05,4.6264889519753716e-05,3,3,False
SAMN36507142#3,6.60727189428778e-05,6.60727189428778e-05,3,3,False
SAMEA3323270#2,4.6264889519753716e-05,4.6264889519753716e-05,3,3,False
SAMEA114520626#3,4.6264889519753716e-05,4.6264889519753716e-05,3,3,False
SAMN05222425#1,4.6264889519753716e-05,4.6264889519753716e-05,3,3,False
SAMEA6098092#3,4.6264889519753716e-05,4.6264889519753716e-05,3,3,False
SAMEA6097815#2,4.6264889519753716e-05,4.6264889519753716e-05,3,3,False
SAMN37512559#6,6.60727189428778e-05,6.60727189428778e-05,3,3,False
SAMN41764936#5,6.60727189428778e-05,6.60727189428778e-05,3,3,False
SAMEA4387950#1,4.6264889519753716e-05,4.6264889519753716e-05,3,3,False
SAMEA6098141#1,4.6264889519753716e-05,4.6264889519753716e-05,3,3,False
SAMEA114520994#6,6.60727189428778e-05,6.60727189428778e-05,3,3,False
SAMN37512516#5,6.60727189428778e-05,6.60727189428778e-05,3,3,False
SAMN20409345#6,6.60727189428778e-05,6.60727189428778e-05,3,3,False
SAMEA115092427#2,6.60727189428778e-05,6.60727189428778e-05,3,3,False
SAMN27737924#5,6.60727189428778e-05,6.60727189428778e-05,3,3,False
SAMEA6098156#2,4.6264889519753716e-05,4.6264889519753716e-05,3,3,False
SAMN14158683#5,6.60727189428778e-05,6.60727189428778e-05,3,3,False
SAMN20332605#5,6.60727189428778e-05,6.60727189428778e-05,3,3,False
SAMN33606449#1,4.6264889519753716e-05,4.6264889519753716e-05,3,3,False
SAMEA6097665#5,6.60727189428778e-05,6.60727189428778e-05,3,3,False
SAMEA6914873#3,4.6264889519753716e-05,4.6264889519753716e-05,3,3,False
SAMN20397975#4,6.60727189428778e-05,6.60727189428778e-05,3,3,False
SAMN14157986#3,4.6264889519753716e-05,4.6264889519753716e-05,3,3,False
SAMEA115795930#6,4.6264889519753716e-05,4.6264889519753716e-05,3,3,False
SAMEA104035447#1,4.6264889519753716e-05,4.6264889519753716e-05,3,3,False
SAMEA114332627#16,6.60727189428778e-05,6.60727189428778e-05,3,3,False
SAMEA114332575#3,4.6264889519753716e-05,4.6264889519753716e-05,3,3,False
SAMN09230619#1,6.60727189428778e-05,6.60727189428778e-05,3,3,False
SAMEA6914887#2,6.60727189428778e-05,6.60727189428778e-05,3,3,False
SAMEA6914796#2,4.6264889519753716e-05,4.6264889519753716e-05,3,3,False
SAMN37512476#4,4.6264889519753716e-05,4.6264889519753716e-05,3,3,False
SAMN14168601#5,6.60727189428778e-05,6.60727189428778e-05,3,3,False
SAMEA114490245#3,4.6264889519753716e-05,4.6264889519753716e-05,3,3,False
SAMN20408815#1,6.60727189428778e-05,6.60727189428778e-05,3,3,False
SAMEA104154627#4,7.289427920864622e-05,7.289427920864622e-05,3,3,False
SAMEA6097767#2,4.6264889519753716e-05,4.6264889519753716e-05,3,3,False
SAMN20408939#7,6.60727189428778e-05,6.60727189428778e-05,3,3,False
SAMEA2383064#1,4.6264889519753716e-05,4.6264889519753716e-05,3,3,False
SAMN11117414#2,4.6264889519753716e-05,4.6264889519753716e-05,3,3,False
SAMN09223878#3,4.6264889519753716e-05,4.6264889519753716e-05,3,3,False
SAMEA114332544#3,4.6264889519753716e-05,4.6264889519753716e-05,3,3,False
SAMN20332228#5,6.60727189428778e-05,6.60727189428778e-05,3,3,False
SAMEA104034728#2,4.6264889519753716e-05,4.6264889519753716e-05,3,3,False
SAMN09224783#5,6.60727189428778e-05,6.60727189428778e-05,3,3,False
SAMEA6914898#4,6.60727189428778e-05,6.60727189428778e-05,3,3,False
SAMEA970261#3,4.6264889519753716e-05,4.6264889519753716e-05,3,3,False
SAMN20408806#4,6.60727189428778e-05,6.60727189428778e-05,3,3,False
SAMEA6097663#2,6.60727189428778e-05,6.60727189428778e-05,3,3,False
SAMEA114346218#2,6.60727189428778e-05,6.60727189428778e-05,3,3,False
SAMEA115795301#2,4.6264889519753716e-05,4.6264889519753716e-05,3,3,False
SAMEA115796912#3,4.6264889519753716e-05,4.6264889519753716e-05,3,3,False
SAMN14157744#5,6.60727189428778e-05,6.60727189428778e-05,3,3,False
SAMN14150575#4,6.60727189428778e-05,6.60727189428778e-05,3,3,False
SAMN14169210#3,6.60727189428778e-05,6.60727189428778e-05,3,3,False
SAMEA114441268#3,6.60727189428778e-05,6.60727189428778e-05,3,3,False
SAMN14169050#3,6.60727189428778e-05,6.60727189428778e-05,3,3,False
SAMN41768462#3,6.60727189428778e-05,6.60727189428778e-05,3,3,False
SAMEA115606577#3,6.60727189428778e-05,6.60727189428778e-05,3,3,False
SAMN41761158#3,4.6264889519753716e-05,4.6264889519753716e-05,3,3,False
SAMN14169133#6,6.60727189428778e-05,6.60727189428778e-05,3,3,False
SAMN05222839#6,6.60727189428778e-05,6.60727189428778e-05,3,3,False
SAMN41761559#4,4.6264889519753716e-05,4.6264889519753716e-05,3,3,False
SAMN33314445#1,4.6264889519753716e-05,4.6264889519753716e-05,3,3,False
SAMEA5084024#1,4.6264889519753716e-05,4.6264889519753716e-05,3,3,False
SAMN14150580#1,4.6264889519753716e-05,4.6264889519753716e-05,3,3,False
SAMEA115795723#3,4.6264889519753716e-05,4.6264889519753716e-05,3,3,False
SAMN41768271#5,6.60727189428778e-05,6.60727189428778e-05,3,3,False
SAMN41762424#4,4.6264889519753716e-05,4.6264889519753716e-05,3,3,False
SAMEA115606332#3,0.022549081826757855,0.022549081826757855,3,3,True
SAMN05222583#5,4.6264889519753716e-05,4.6264889519753716e-05,3,3,False
SAMEA6914997#3,6.60727189428778e-05,6.60727189428778e-05,3,3,False
SAMEA6097746#3,4.6264889519753716e-05,4.6264889519753716e-05,3,3,False
SAMEA6097902#3,4.6264889519753716e-05,4.6264889519753716e-05,3,3,False
SAMEA115376655#3,4.6264889519753716e-05,4.6264889519753716e-05,3,3,False
SAMEA2238597#2,0.00026664904157880365,0.00026664904157880365,3,3,False
SAMN20398057#4,4.6264889519753716e-05,4.6264889519753716e-05,3,3,False
SAMEA970248#1,4.6264889519753716e-05,4.6264889519753716e-05,3,3,False
SAMN33606608#1,4.6264889519753716e-05,4.6264889519753716e-05,3,3,False
SAMN41759840#12,6.60727189428778e-05,6.60727189428778e-05,3,3,False
SAMN11117418#6,6.60727189428778e-05,6.60727189428778e-05,3,3,False
SAMN41760285#3,6.60727189428778e-05,6.60727189428778e-05,3,3,False
SAMN11121036#3,4.6264889519753716e-05,4.6264889519753716e-05,3,3,False
SAMN09230946#4,4.6264889519753716e-05,4.6264889519753716e-05,3,3,False
SAMN11117145#3,4.6264889519753716e-05,4.6264889519753716e-05,3,3,False
SAMEA114479106#3,4.6264889519753716e-05,4.6264889519753716e-05,3,3,False
SAMEA2612810#2,4.6264889519753716e-05,4.6264889519753716e-05,3,3,False
SAMN14169042#1,4.6264889519753716e-05,4.6264889519753716e-05,3,3,False
SAMN11121281#4,6.60727189428778e-05,6.60727189428778e-05,3,3,False
SAMEA3145630#2,4.6264889519753716e-05,4.6264889519753716e-05,3,3,False
SAMN37512581#5,6.60727189428778e-05,6.60727189428778e-05,3,3,False
SAMN41762106#4,6.60727189428778e-05,6.60727189428778e-05,3,3,False
SAMN41394573#1,6.60727189428778e-05,6.60727189428778e-05,3,3,False
SAMN41761079#4,6.60727189428778e-05,6.60727189428778e-05,3,3,False
SAMN11116964#4,6.60727189428778e-05,6.60727189428778e-05,3,3,False
SAMEA114520373#2,4.6264889519753716e-05,4.6264889519753716e-05,3,3,False
SAMEA114332496#4,4.6264889519753716e-05,4.6264889519753716e-05,3,3,False
SAMEA114211902#1,6.60727189428778e-05,6.60727189428778e-05,3,3,False
SAMN20409277#8,6.60727189428778e-05,6.60727189428778e-05,3,3,False
SAMEA114332804#2,4.6264889519753716e-05,4.6264889519753716e-05,3,3,False
SAMEA6914850#1,4.6264889519753716e-05,4.6264889519753716e-05,3,3,False
SAMN09224189#3,4.6264889519753716e-05,4.6264889519753716e-05,3,3,False
SAMN14157771#1,6.60727189428778e-05,6.60727189428778e-05,3,3,False
SAMN09230818#5,4.6264889519753716e-05,4.6264889519753716e-05,3,3,False
SAMEA1026614#1,4.6264889519753716e-05,4.6264889519753716e-05,3,3,False
SAMEA3145749#2,4.6264889519753716e-05,4.6264889519753716e-05,3,3,False
SAMEA6097854#2,4.6264889519753716e-05,4.6264889519753716e-05,3,3,False
