sample_id,is_cbl,is_novel_serogroup,is_novel_energy,is_novel_openmax,serotype_confidence,novelty_confidence,openmax_pred,openmax_prob_unknown,pred_genogroup,pred_argmax
SAMEA115377450#2,True,False,False,False,1.0,-13.846,3,0.0052,36,3
SAMEA3175979#2,True,False,False,False,1.0,-13.846,3,0.0052,36,3
SAMEA6097800#1,True,False,False,False,1.0,-13.846,3,0.0052,36,3
SAMEA6914896#5,True,False,False,False,1.0,-13.875,3,0.004701,36,3
SAMEA114479097#3,True,False,False,False,1.0,-13.846,3,0.0052,36,3
SAMEA6097795#1,True,False,False,False,1.0,-13.875,3,0.004701,36,3
SAMN14150885#4,True,False,False,False,1.0,-13.846,3,0.0052,36,3
SAMEA115795076#3,True,False,False,False,1.0,-13.846,3,0.0052,36,3
SAMN41751173#3,True,False,False,False,1.0,-13.846,3,0.0052,36,3
SAMN14168984#13,True,False,False,False,1.0,-13.875,3,0.004701,36,3
SAMEA2238637#2,True,False,False,False,1.0,-13.901,3,0.005802,36,3
SAMEA115794720#2,True,False,False,False,1.0,-13.846,3,0.0052,36,3
SAMN05221502#1,True,False,False,False,1.0,-13.846,3,0.0052,36,3
SAMN05223261#5,True,False,False,False,1.0,-13.875,3,0.004701,36,3
SAMEA6097893#3,True,False,False,False,1.0,-13.875,3,0.004701,36,3
SAMN14151297#3,True,False,False,False,1.0,-13.846,3,0.0052,36,3
SAMN05223030#8,True,False,False,False,1.0,-13.875,3,0.004701,36,3
SAMEA3180816#2,True,False,False,False,1.0,-13.846,3,0.0052,36,3
SAMEA3431410#1,True,False,False,False,1.0,-13.875,3,0.004701,36,3
SAMN37512590#5,True,False,False,False,1.0,-13.875,3,0.004701,36,3
SAMEA115376603#3,True,False,False,False,1.0,-13.846,3,0.0052,36,3
SAMN36507142#3,True,False,False,False,1.0,-13.875,3,0.004701,36,3
SAMEA3323270#2,True,False,False,False,1.0,-13.846,3,0.0052,36,3
SAMEA114520626#3,True,False,False,False,1.0,-13.846,3,0.0052,36,3
SAMN05222425#1,True,False,False,False,1.0,-13.846,3,0.0052,36,3
SAMEA6098092#3,True,False,False,False,1.0,-13.846,3,0.0052,36,3
SAMEA6097815#2,True,False,False,False,1.0,-13.846,3,0.0052,36,3
SAMN37512559#6,True,False,False,False,1.0,-13.875,3,0.004701,36,3
SAMN41764936#5,True,False,False,False,1.0,-13.875,3,0.004701,36,3
SAMEA4387950#1,True,False,False,False,1.0,-13.846,3,0.0052,36,3
SAMEA6098141#1,True,False,False,False,1.0,-13.846,3,0.0052,36,3
SAMEA114520994#6,True,False,False,False,1.0,-13.875,3,0.004701,36,3
SAMN37512516#5,True,False,False,False,1.0,-13.875,3,0.004701,36,3
SAMN20409345#6,True,False,False,False,1.0,-13.875,3,0.004701,36,3
SAMEA115092427#2,True,False,False,False,1.0,-13.875,3,0.004701,36,3
SAMN27737924#5,True,False,False,False,1.0,-13.875,3,0.004701,36,3
SAMEA6098156#2,True,False,False,False,1.0,-13.846,3,0.0052,36,3
SAMN14158683#5,True,False,False,False,1.0,-13.875,3,0.004701,36,3
SAMN20332605#5,True,False,False,False,1.0,-13.875,3,0.004701,36,3
SAMN33606449#1,True,False,False,False,1.0,-13.846,3,0.0052,36,3
SAMEA6097665#5,True,False,False,False,1.0,-13.875,3,0.004701,36,3
SAMEA6914873#3,True,False,False,False,1.0,-13.846,3,0.0052,36,3
SAMN20397975#4,True,False,False,False,1.0,-13.875,3,0.004701,36,3
SAMN14157986#3,True,False,False,False,1.0,-13.846,3,0.0052,36,3
SAMEA115795930#6,True,False,False,False,1.0,-13.846,3,0.0052,36,3
SAMEA104035447#1,True,False,False,False,1.0,-13.846,3,0.0052,36,3
SAMEA114332627#16,True,False,False,False,1.0,-13.875,3,0.004701,36,3
SAMEA114332575#3,True,False,False,False,1.0,-13.846,3,0.0052,36,3
SAMN09230619#1,True,False,False,False,1.0,-13.875,3,0.004701,36,3
SAMEA6914887#2,True,False,False,False,1.0,-13.875,3,0.004701,36,3
